Mapping parameters for Acanthaster planci (crown-of-thorns)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51 |  57 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,33,65
Temperature (°C),1,13.46,25.2,29.3,33.5
Salinity (psu),1,28.91,32.32,35.63,39
Primary Production (mgC·m-3·day-1) ,1,-0.14,0.86,15.77,54.06
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,78.99,208.3,325.25
Distance to Land (km),0,1,13,179,791
 

Map data (HSPEC) for predicted occurrences (n = 6339): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acanthaster,planci,34.75,-120.25,7312:140:3,0.01
Acanthaster,planci,34.25,-120.25,7312:140:1,0.04
Acanthaster,planci,33.75,-120.25,7312:130:3,0.09
Acanthaster,planci,34.25,-119.75,7311:249:2,0.03
Acanthaster,planci,34.25,-119.25,7311:249:1,0.02
Acanthaster,planci,34.25,-118.75,7311:248:2,0.02
Acanthaster,planci,34.25,-118.25,7311:248:1,0.07
Acanthaster,planci,33.75,-119.75,7311:239:4,0.14
Acanthaster,planci,33.75,-119.25,7311:239:3,0.17
Acanthaster,planci,33.25,-119.75,7311:239:2,0.16
Acanthaster,planci,33.75,-118.75,7311:238:4,0.09
Acanthaster,planci,33.75,-118.25,7311:238:3,0.04
Acanthaster,planci,33.75,-117.75,7311:237:4,0.12
Acanthaster,planci,33.25,-117.75,7311:237:2,0.12
Acanthaster,planci,32.75,-119.25,7311:229:3,0.11
Acanthaster,planci,32.75,-117.25,7311:227:3,0.06
Acanthaster,planci,32.25,-117.25,7311:227:1,0.13
Acanthaster,planci,32.25,-116.75,7311:226:2,0.14
Acanthaster,planci,31.75,-116.75,7311:216:4,0.05
Acanthaster,planci,31.25,-116.75,7311:216:2,0.12
Acanthaster,planci,31.25,-116.25,7311:216:1,0.15
Acanthaster,planci,30.75,-116.25,7311:206:3,0.05
Acanthaster,planci,30.25,-116.25,7311:206:1,0.16
Acanthaster,planci,30.25,-115.75,7311:205:2,0.18
Acanthaster,planci,24.25,-166.75,7216:246:2,0.13
Acanthaster,planci,23.75,-165.75,7216:235:4,0.02
Acanthaster,planci,23.25,-162.75,7216:132:2,0.04
Acanthaster,planci,29.75,-115.75,7211:495:4,0.02
Acanthaster,planci,29.25,-115.25,7211:495:1,0.11
Acanthaster,planci,27.75,-113.75,7211:373:4,0.17
Acanthaster,planci,25.25,-107.75,7210:457:2,0.17
Acanthaster,planci,19.75,-156.25,7115:496:3,0.03
Acanthaster,planci,16.25,-93.75,7109:363:2,0.12
Acanthaster,planci,15.75,-94.75,7109:354:4,0.12
Acanthaster,planci,13.75,-90.25,7109:130:3,0.06
Acanthaster,planci,13.25,-90.25,7109:130:1,0.02
Acanthaster,planci,13.25,-88.75,7108:238:2,0.19
Acanthaster,planci,12.75,-89.25,7108:229:3,0.14
Acanthaster,planci,11.75,-87.25,7108:217:3,0.15
Acanthaster,planci,11.25,-86.25,7108:216:1,0.15
Acanthaster,planci,10.75,-86.25,7108:206:3,0.18
Acanthaster,planci,10.25,-86.25,7108:206:1,0.14
Acanthaster,planci,0.75,-80.25,7008:100:3,0.19
Acanthaster,planci,8.75,-78.75,7007:488:4,0.13
Acanthaster,planci,8.25,-77.75,7007:487:2,0.06
Acanthaster,planci,7.75,-79.25,7007:479:3,0.02
Acanthaster,planci,4.25,-77.75,7007:247:2,0.03
Acanthaster,planci,3.75,-77.25,7007:237:3,0.17
