Mapping parameters for Acanthurus leucosternon (Powderblue surgeonfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 ,
Bounding Box (NSWE): ,26,-30,31,129

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,25,25
Temperature (°C),1,23.42,25.81,29.22,33.42
Salinity (psu),1,25.97,32.06,35.26,38.52
Primary Production (mgC·m-3·day-1) ,1,0.51,2.09,20.87,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,64.92,205.02,304.37
Distance to Land (km),0,5,16,129,790
 

Map data (HSPEC) for predicted occurrences (n = 1472): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acanthurus,leucosternon,-25.75,112.75,3211:352:4,0.07
Acanthurus,leucosternon,-25.25,112.75,3211:352:2,0.16
Acanthurus,leucosternon,-21.25,55.75,3205:215:2,0.19
Acanthurus,leucosternon,-20.75,55.75,3205:205:4,0.18
Acanthurus,leucosternon,-20.75,55.25,3205:205:3,0.18
Acanthurus,leucosternon,-29.25,31.25,3203:391:1,0.04
Acanthurus,leucosternon,-28.75,31.75,3203:381:4,0.12
Acanthurus,leucosternon,-20.25,35.25,3203:205:1,0.10
Acanthurus,leucosternon,-15.75,61.25,3106:351:3,0.16
Acanthurus,leucosternon,-19.75,57.75,3105:497:4,0.15
Acanthurus,leucosternon,-18.75,58.75,3105:488:4,0.14
Acanthurus,leucosternon,-18.25,58.75,3105:488:2,0.18
Acanthurus,leucosternon,20.25,93.25,1209:103:1,0.09
Acanthurus,leucosternon,21.25,87.75,1208:217:2,0.05
Acanthurus,leucosternon,21.25,87.25,1208:217:1,0.09
Acanthurus,leucosternon,25.25,55.75,1205:455:2,0.14
Acanthurus,leucosternon,25.75,53.75,1205:353:4,0.01
Acanthurus,leucosternon,25.75,53.25,1205:353:3,0.01
Acanthurus,leucosternon,25.75,52.75,1205:352:4,0.01
Acanthurus,leucosternon,25.75,52.25,1205:352:3,0.02
Acanthurus,leucosternon,25.25,52.25,1205:352:1,0.01
Acanthurus,leucosternon,25.75,51.75,1205:351:4,0.07
Acanthurus,leucosternon,25.25,51.75,1205:351:2,0.07
Acanthurus,leucosternon,20.75,58.75,1205:208:4,0.07
Acanthurus,leucosternon,20.75,58.25,1205:208:3,0.16
Acanthurus,leucosternon,20.25,58.75,1205:208:2,0.17
Acanthurus,leucosternon,20.25,57.75,1205:207:2,0.10
Acanthurus,leucosternon,24.25,54.75,1205:144:2,0.09
Acanthurus,leucosternon,24.25,54.25,1205:144:1,0.02
Acanthurus,leucosternon,24.75,52.25,1205:142:3,0.02
Acanthurus,leucosternon,24.25,52.75,1205:142:2,0.03
Acanthurus,leucosternon,24.25,52.25,1205:142:1,0.19
Acanthurus,leucosternon,24.75,51.75,1205:141:4,0.12
Acanthurus,leucosternon,25.75,37.25,1203:457:3,0.16
Acanthurus,leucosternon,25.25,37.25,1203:457:1,0.14
Acanthurus,leucosternon,25.75,36.75,1203:456:4,0.10
Acanthurus,leucosternon,25.75,36.25,1203:456:3,0.05
Acanthurus,leucosternon,25.25,36.75,1203:456:2,0.10
Acanthurus,leucosternon,24.75,37.25,1203:247:3,0.11
Acanthurus,leucosternon,24.25,37.75,1203:247:2,0.13
Acanthurus,leucosternon,24.25,37.25,1203:247:1,0.12
Acanthurus,leucosternon,24.75,35.25,1203:245:3,0.01
Acanthurus,leucosternon,24.25,35.75,1203:245:2,0.06
Acanthurus,leucosternon,24.25,35.25,1203:245:1,0.06
Acanthurus,leucosternon,23.75,38.25,1203:238:3,0.16
Acanthurus,leucosternon,23.25,38.25,1203:238:1,0.19
Acanthurus,leucosternon,23.75,37.75,1203:237:4,0.14
Acanthurus,leucosternon,23.75,36.25,1203:236:3,0.09
Acanthurus,leucosternon,23.25,36.25,1203:236:1,0.12
Acanthurus,leucosternon,23.75,35.75,1203:235:4,0.10
Acanthurus,leucosternon,23.75,35.25,1203:235:3,0.14
Acanthurus,leucosternon,23.25,35.75,1203:235:2,0.14
Acanthurus,leucosternon,22.75,36.75,1203:226:4,0.19
Acanthurus,leucosternon,24.75,34.75,1203:144:4,0.04
Acanthurus,leucosternon,16.25,95.25,1109:465:1,0.07
