Mapping parameters for Acipenser sinensis (Chinese sturgeon)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,35,-2,-97,132

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,17.71,19.49,24.64,28.19
Salinity (psu),1,7.79,14.96,30.67,36.35
Primary Production (mgC·m-3·day-1) ,1,31.17,38.68,131.71,224.06
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,201.02,219.03,274.54,291.03
Distance to Land (km),0,0,3.2,24.2,45.5
 

Map data (HSPEC) for predicted occurrences (n = 45): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acipenser,sinensis,19.75,105.75,1110:495:4,0.09
Acipenser,sinensis,21.75,111.25,1211:111:3,0.03
Acipenser,sinensis,23.25,118.25,1211:238:1,0.09
Acipenser,sinensis,30.75,120.75,1312:100:4,0.07
Acipenser,sinensis,30.25,121.25,1312:101:1,0.07
Acipenser,sinensis,30.75,122.25,1312:102:3,0.12
Acipenser,sinensis,31.25,121.25,1312:111:1,0.09
Acipenser,sinensis,31.25,121.75,1312:111:2,0.19
Acipenser,sinensis,31.75,122.25,1312:112:3,0.07
Acipenser,sinensis,19.25,105.75,1110:495:2,0.20
Acipenser,sinensis,19.75,106.25,1110:496:3,0.35
Acipenser,sinensis,21.75,111.75,1211:111:4,0.21
Acipenser,sinensis,21.75,112.25,1211:112:3,0.37
Acipenser,sinensis,21.75,114.25,1211:114:3,0.22
Acipenser,sinensis,22.75,113.25,1211:123:3,0.20
Acipenser,sinensis,23.25,113.25,1211:133:1,0.20
Acipenser,sinensis,23.25,113.75,1211:133:2,0.20
Acipenser,sinensis,23.75,117.75,1211:237:4,0.36
Acipenser,sinensis,25.75,119.75,1211:459:4,0.31
Acipenser,sinensis,26.25,119.75,1211:469:2,0.25
Acipenser,sinensis,30.75,121.25,1312:101:3,0.32
Acipenser,sinensis,30.75,121.75,1312:101:4,0.21
Acipenser,sinensis,31.25,122.25,1312:112:1,0.22
Acipenser,sinensis,21.75,112.75,1211:112:4,0.71
Acipenser,sinensis,22.25,114.75,1211:124:2,0.79
Acipenser,sinensis,23.25,116.75,1211:236:2,0.73
Acipenser,sinensis,23.25,117.25,1211:237:1,0.68
Acipenser,sinensis,23.25,117.75,1211:237:2,0.63
Acipenser,sinensis,23.75,117.25,1211:237:3,0.75
Acipenser,sinensis,24.75,118.75,1211:248:4,0.73
Acipenser,sinensis,24.75,119.25,1211:249:3,0.62
Acipenser,sinensis,25.75,119.25,1211:459:3,0.65
Acipenser,sinensis,21.75,113.25,1211:113:3,0.87
Acipenser,sinensis,21.75,113.75,1211:113:4,0.82
Acipenser,sinensis,22.25,113.25,1211:123:1,1.00
Acipenser,sinensis,22.25,113.75,1211:123:2,1.00
Acipenser,sinensis,22.75,113.75,1211:123:4,1.00
Acipenser,sinensis,22.25,114.25,1211:124:1,0.99
Acipenser,sinensis,22.75,114.25,1211:124:3,1.00
Acipenser,sinensis,22.75,114.75,1211:124:4,1.00
Acipenser,sinensis,23.75,116.75,1211:236:4,0.86
Acipenser,sinensis,24.25,117.75,1211:247:2,0.83
Acipenser,sinensis,24.75,118.25,1211:248:3,0.90
Acipenser,sinensis,25.25,118.75,1211:458:2,0.98
Acipenser,sinensis,25.25,119.25,1211:459:1,1.00


Occurrence cells used for creating environmental envelope (n = 5)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Acipenser,sinensis,22.25,113.75,1211:123:2,8,24.5708847045898,25.0757122039795,25.7179374694824,33.9741897583008,119.584999978542,0,249.815689086914,23
Acipenser,sinensis,22.25,114.25,1211:124:1,10,24.6837882995605,25.0780200958252,28.1429767608643,33.7591972351074,97.5759997963905,0,233.332092285156,22
Acipenser,sinensis,23.25,113.25,1211:133:1,1,23.887845993042,24.2452983856201,29.971715927124,33.4697647094727,49.931988120079,0,230.295440673828,0
Acipenser,sinensis,25.25,119.75,1211:459:2,22,22.157018661499,23.2630043029785,31.1326122283936,33.832935333252,31.1730001121759,0,211.515869140625,25
Acipenser,sinensis,31.75,121.25,1312:111:3,12,17.7131614685059,17.6512489318848,7.79361820220947,29.3269653320313,139.78900015354202,0,291.030975341797,8
