Mapping parameters for Acyrtops beryllinus (Emerald clingfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,6,10
Temperature (°C),1,23.45,26.1,28.23,32.43
Salinity (psu),1,29.44,34.32,36.21,37.85
Primary Production (mgC·m-3·day-1) ,1,-0.75,0.25,12.42,29.83
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,152.63,164.35,221.79,243.74
Distance to Land (km),0,1,12,26,342
 

Map data (HSPEC) for predicted occurrences (n = 858): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acyrtops,beryllinus,30.25,-87.25,7308:207:1,0.06
Acyrtops,beryllinus,30.25,-86.75,7308:206:2,0.14
Acyrtops,beryllinus,30.25,-86.25,7308:206:1,0.09
Acyrtops,beryllinus,30.25,-85.75,7308:205:2,0.01
Acyrtops,beryllinus,33.75,-77.25,7307:237:3,0.05
Acyrtops,beryllinus,33.25,-77.25,7307:237:1,0.15
Acyrtops,beryllinus,28.25,-97.25,7209:487:1,0.17
Acyrtops,beryllinus,28.75,-96.75,7209:486:4,0.09
Acyrtops,beryllinus,28.75,-96.25,7209:486:3,0.12
Acyrtops,beryllinus,28.25,-96.75,7209:486:2,0.17
Acyrtops,beryllinus,28.75,-95.75,7209:485:4,0.10
Acyrtops,beryllinus,28.75,-95.25,7209:485:3,0.10
Acyrtops,beryllinus,29.25,-94.25,7209:394:1,0.01
Acyrtops,beryllinus,29.25,-93.75,7209:393:2,0.06
Acyrtops,beryllinus,29.25,-93.25,7209:393:1,0.02
Acyrtops,beryllinus,29.25,-92.75,7209:392:2,0.04
Acyrtops,beryllinus,29.25,-92.25,7209:392:1,0.05
Acyrtops,beryllinus,29.25,-91.75,7209:391:2,0.02
Acyrtops,beryllinus,28.75,-90.75,7209:380:4,0.14
Acyrtops,beryllinus,28.75,-90.25,7209:380:3,0.06
Acyrtops,beryllinus,29.75,-88.25,7208:498:3,0.01
Acyrtops,beryllinus,29.75,-87.75,7208:497:4,0.14
Acyrtops,beryllinus,29.75,-85.25,7208:495:3,0.06
Acyrtops,beryllinus,29.75,-84.75,7208:394:4,0.01
Acyrtops,beryllinus,29.25,-83.75,7208:393:2,0.04
Acyrtops,beryllinus,29.25,-83.25,7208:393:1,0.09
Acyrtops,beryllinus,29.25,-82.75,7208:392:2,0.11
Acyrtops,beryllinus,29.75,-81.25,7208:391:3,0.03
Acyrtops,beryllinus,28.75,-83.25,7208:383:3,0.10
Acyrtops,beryllinus,28.25,-83.25,7208:383:1,0.16
Acyrtops,beryllinus,27.75,-83.25,7208:373:3,0.11
Acyrtops,beryllinus,10.25,-64.75,7106:104:2,0.05
Acyrtops,beryllinus,10.75,-61.75,7106:101:4,0.04
Acyrtops,beryllinus,10.75,-60.75,7106:100:4,0.03
Acyrtops,beryllinus,8.25,-77.25,7007:487:1,0.11
Acyrtops,beryllinus,8.75,-76.75,7007:486:4,0.13
Acyrtops,beryllinus,7.75,-76.75,7007:476:4,0.19
Acyrtops,beryllinus,7.75,-58.75,7005:478:4,0.18
Acyrtops,beryllinus,6.25,-56.75,7005:466:2,0.02
Acyrtops,beryllinus,6.25,-56.25,7005:466:1,0.08
Acyrtops,beryllinus,6.75,-55.25,7005:465:3,0.06
Acyrtops,beryllinus,6.75,-54.25,7005:364:3,0.15
Acyrtops,beryllinus,6.75,-53.75,7005:363:4,0.17
Acyrtops,beryllinus,6.75,-53.25,7005:363:3,0.08
Acyrtops,beryllinus,6.25,-53.25,7005:363:1,0.01
Acyrtops,beryllinus,6.25,-52.25,7005:362:1,0.10
Acyrtops,beryllinus,4.25,-50.25,7005:140:1,0.12
Acyrtops,beryllinus,3.75,-49.25,7004:239:3,0.15
Acyrtops,beryllinus,2.75,-48.25,7004:228:3,0.17
Acyrtops,beryllinus,-23.75,-45.75,5204:235:4,0.01
Acyrtops,beryllinus,-23.25,-45.25,5204:235:1,0.03
Acyrtops,beryllinus,-23.25,-44.75,5204:134:2,0.01
Acyrtops,beryllinus,-22.75,-44.25,5204:124:3,0.03
Acyrtops,beryllinus,-22.25,-40.75,5204:120:2,0.04
Acyrtops,beryllinus,-21.75,-41.25,5204:111:3,0.02
Acyrtops,beryllinus,-21.25,-41.25,5204:111:1,0.10
Acyrtops,beryllinus,-21.75,-40.75,5204:110:4,0.05
Acyrtops,beryllinus,-21.25,-40.75,5204:110:2,0.09
Acyrtops,beryllinus,-20.75,-40.75,5204:100:4,0.19
Acyrtops,beryllinus,-20.25,-36.75,5203:206:2,0.08
Acyrtops,beryllinus,-10.75,-36.75,5103:206:4,0.09
Acyrtops,beryllinus,-0.75,-47.25,5004:207:3,0.19
Acyrtops,beryllinus,-0.25,-47.75,5004:207:2,0.13
Acyrtops,beryllinus,-0.25,-47.25,5004:207:1,0.17
Acyrtops,beryllinus,-2.75,-44.25,5004:124:3,0.04
Acyrtops,beryllinus,-2.25,-44.75,5004:124:2,0.16
Acyrtops,beryllinus,-2.75,-43.75,5004:123:4,0.18
Acyrtops,beryllinus,34.25,-76.25,7307:246:1,0.35
Acyrtops,beryllinus,34.75,-75.75,7307:245:4,0.26
Acyrtops,beryllinus,28.25,-96.25,7209:486:1,0.21
Acyrtops,beryllinus,28.25,-95.75,7209:485:2,0.34
Acyrtops,beryllinus,27.75,-97.25,7209:477:3,0.22
Acyrtops,beryllinus,27.25,-97.75,7209:477:2,0.31
Acyrtops,beryllinus,27.25,-97.25,7209:477:1,0.28
Acyrtops,beryllinus,27.75,-96.75,7209:476:4,0.34
Acyrtops,beryllinus,26.75,-97.25,7209:467:3,0.33
Acyrtops,beryllinus,26.25,-97.25,7209:467:1,0.34
Acyrtops,beryllinus,28.75,-91.25,7209:381:3,0.21
Acyrtops,beryllinus,22.25,-90.25,7209:120:1,0.23
Acyrtops,beryllinus,29.25,-81.25,7208:391:1,0.20
Acyrtops,beryllinus,29.75,-80.75,7208:390:4,0.37
Acyrtops,beryllinus,29.25,-80.75,7208:390:2,0.37
Acyrtops,beryllinus,28.75,-82.75,7208:382:4,0.23
Acyrtops,beryllinus,28.25,-82.75,7208:382:2,0.34
Acyrtops,beryllinus,28.75,-80.75,7208:380:4,0.34
Acyrtops,beryllinus,21.75,-89.75,7208:219:4,0.23
Acyrtops,beryllinus,24.25,-82.75,7208:142:2,0.25
Acyrtops,beryllinus,17.25,-78.25,7107:478:1,0.25
Acyrtops,beryllinus,11.25,-73.75,7107:113:2,0.36
Acyrtops,beryllinus,11.75,-71.75,7107:111:4,0.37
Acyrtops,beryllinus,10.25,-65.25,7106:205:1,0.35
Acyrtops,beryllinus,11.25,-64.25,7106:114:1,0.33
Acyrtops,beryllinus,9.25,-78.75,7007:498:2,0.34
Acyrtops,beryllinus,9.25,-75.75,7007:495:2,0.24
Acyrtops,beryllinus,8.75,-77.75,7007:487:4,0.27
Acyrtops,beryllinus,8.75,-76.25,7007:486:3,0.33
Acyrtops,beryllinus,8.25,-76.75,7007:486:2,0.24
Acyrtops,beryllinus,7.75,-58.25,7005:478:3,0.28
Acyrtops,beryllinus,7.75,-57.25,7005:477:3,0.25
Acyrtops,beryllinus,6.75,-57.25,7005:467:3,0.37
Acyrtops,beryllinus,6.75,-52.75,7005:362:4,0.27
Acyrtops,beryllinus,1.75,-47.25,7004:217:3,0.33
Acyrtops,beryllinus,-22.25,-40.25,5204:120:1,0.22
Acyrtops,beryllinus,-21.75,-40.25,5204:110:3,0.21
Acyrtops,beryllinus,-21.25,-40.25,5204:110:1,0.26
Acyrtops,beryllinus,-20.75,-40.25,5204:100:3,0.26
Acyrtops,beryllinus,-20.25,-40.25,5204:100:1,0.27
Acyrtops,beryllinus,-20.75,-37.75,5203:207:4,0.34
Acyrtops,beryllinus,-20.75,-37.25,5203:207:3,0.33
Acyrtops,beryllinus,-20.25,-36.25,5203:206:1,0.32
Acyrtops,beryllinus,-20.75,-34.75,5203:104:4,0.31
Acyrtops,beryllinus,-20.25,-30.75,5203:100:2,0.27
Acyrtops,beryllinus,-20.75,-29.75,5202:209:4,0.28
Acyrtops,beryllinus,-19.75,-40.25,5104:390:3,0.35
Acyrtops,beryllinus,-19.75,-39.25,5103:499:3,0.35
Acyrtops,beryllinus,-19.75,-38.25,5103:498:3,0.37
Acyrtops,beryllinus,-19.25,-38.75,5103:498:2,0.37
Acyrtops,beryllinus,-19.25,-38.25,5103:498:1,0.39
Acyrtops,beryllinus,-19.75,-37.75,5103:497:4,0.34
Acyrtops,beryllinus,-19.25,-37.75,5103:497:2,0.35
Acyrtops,beryllinus,-18.75,-38.75,5103:488:4,0.39
Acyrtops,beryllinus,-18.25,-37.75,5103:487:2,0.38
Acyrtops,beryllinus,-18.25,-37.25,5103:487:1,0.32
Acyrtops,beryllinus,-17.25,-38.25,5103:478:1,0.35
Acyrtops,beryllinus,-17.75,-37.75,5103:477:4,0.37
Acyrtops,beryllinus,-17.75,-37.25,5103:477:3,0.32
Acyrtops,beryllinus,-17.75,-36.25,5103:476:3,0.27
Acyrtops,beryllinus,-17.75,-35.75,5103:475:4,0.26
Acyrtops,beryllinus,-16.25,-38.25,5103:468:1,0.38
Acyrtops,beryllinus,-10.75,-36.25,5103:206:3,0.21
Acyrtops,beryllinus,-1.25,-46.25,5004:216:1,0.20
Acyrtops,beryllinus,-1.75,-45.25,5004:215:3,0.39
Acyrtops,beryllinus,-2.75,-43.25,5004:123:3,0.37
Acyrtops,beryllinus,35.25,-74.75,7307:354:2,0.50
Acyrtops,beryllinus,25.75,-97.25,7209:457:3,0.48
Acyrtops,beryllinus,24.25,-97.25,7209:247:1,0.50
Acyrtops,beryllinus,28.25,-80.75,7208:380:2,0.58
Acyrtops,beryllinus,27.75,-82.75,7208:372:4,0.43
Acyrtops,beryllinus,27.75,-82.25,7208:372:3,0.49
Acyrtops,beryllinus,27.25,-82.75,7208:372:2,0.55
Acyrtops,beryllinus,27.25,-82.25,7208:372:1,0.59
Acyrtops,beryllinus,21.75,-75.25,7207:215:3,0.44
Acyrtops,beryllinus,18.75,-92.75,7109:382:4,0.56
