Mapping parameters for Adamussium colbecki (antarctic scallop)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 48 |  58 |  88,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,37,47,86,136
Temperature (°C),1,-2,-1.71,-1,-0.21
Salinity (psu),1,32.3,33.25,34.25,34.75
Primary Production (mgC·m-3·day-1) ,1,0.37,1.37,7.29,15.48
Sea Ice Concentration (0-1 fraction),1,0.07,0.2,0.7,0.82
Dissolved Bottom Oxygen (mmol·m-3),0,140.55,215.95,326.34,371.4
Distance to Land (km),0,1,6,398,965
 

Map data (HSPEC) for predicted occurrences (n = 1799): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Adamussium,colbecki,-68.25,34.25,3603:384:1,0.09
Adamussium,colbecki,-68.25,34.75,3603:384:2,0.04
Adamussium,colbecki,-68.25,35.25,3603:485:1,0.17
Adamussium,colbecki,-69.25,37.25,3603:497:1,0.03
Adamussium,colbecki,-69.25,37.75,3603:497:2,0.06
Adamussium,colbecki,-69.75,37.25,3603:497:3,0.08
Adamussium,colbecki,-69.25,38.25,3603:498:1,0.06
Adamussium,colbecki,-67.75,42.25,3604:372:3,0.08
Adamussium,colbecki,-67.75,61.25,3606:371:3,0.10
Adamussium,colbecki,-67.25,62.75,3606:372:2,0.02
Adamussium,colbecki,-67.25,68.75,3606:478:2,0.12
Adamussium,colbecki,-66.75,88.25,3608:468:3,0.09
Adamussium,colbecki,-66.25,93.25,3609:363:1,0.10
Adamussium,colbecki,-65.75,124.25,3612:354:3,0.15
Adamussium,colbecki,-66.75,126.75,3612:466:4,0.15
Adamussium,colbecki,-65.75,141.25,3614:351:3,0.18
Adamussium,colbecki,-66.25,145.25,3614:465:1,0.08
Adamussium,colbecki,-68.75,154.75,3615:384:4,0.19
Adamussium,colbecki,-68.75,155.25,3615:485:3,0.08
Adamussium,colbecki,-69.25,159.75,3615:499:2,0.05
Adamussium,colbecki,-69.75,160.75,3616:390:4,0.15
Adamussium,colbecki,-69.75,162.25,3616:392:3,0.06
Adamussium,colbecki,-69.75,162.75,3616:392:4,0.05
Adamussium,colbecki,-69.75,163.25,3616:393:3,0.06
Adamussium,colbecki,-69.75,163.75,3616:393:4,0.08
