Mapping parameters for Adelomelon beckii ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  87,
Bounding Box (NSWE): ,-20,-52,68,40

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,43,58,75
Temperature (°C),1,2.85,13.61,23.52,24.02
Salinity (psu),1,0.06,17.29,36.35,36.85
Primary Production (mgC·m-3·day-1) ,1,0.38,6.62,38.37,89.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,140.57,211.4,277.83,345.38
Distance to Land (km),0,0,2,115,218
 

Map data (HSPEC) for predicted occurrences (n = 641): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Adelomelon,beckii,-21.25,-40.75,5204:110:2,0.15
Adelomelon,beckii,-21.25,-41.25,5204:111:1,0.03
Adelomelon,beckii,-22.25,-40.75,5204:120:2,0.01
Adelomelon,beckii,-23.25,-42.25,5204:132:1,0.11
Adelomelon,beckii,-25.25,-87.25,5208:457:1,0.19
Adelomelon,beckii,-25.25,-89.25,5208:459:1,0.05
Adelomelon,beckii,-25.75,-89.25,5208:459:3,0.03
Adelomelon,beckii,-33.25,-50.75,5305:130:2,0.18
Adelomelon,beckii,-33.25,-58.25,5305:238:1,0.04
Adelomelon,beckii,-34.25,-57.25,5305:247:1,0.11
Adelomelon,beckii,-37.25,-54.75,5305:374:2,0.06
Adelomelon,beckii,-36.75,-73.25,5307:363:3,0.09
Adelomelon,beckii,-44.25,-59.75,5405:249:2,0.16
Adelomelon,beckii,-40.25,-61.25,5406:101:1,0.09
Adelomelon,beckii,-40.75,-61.25,5406:101:3,0.15
Adelomelon,beckii,-40.75,-61.75,5406:101:4,0.10
Adelomelon,beckii,-40.75,-64.25,5406:104:3,0.15
Adelomelon,beckii,-41.25,-61.75,5406:111:2,0.12
Adelomelon,beckii,-41.25,-62.25,5406:112:1,0.06
Adelomelon,beckii,-41.25,-62.75,5406:112:2,0.02
Adelomelon,beckii,-41.75,-62.25,5406:112:3,0.15
Adelomelon,beckii,-41.75,-62.75,5406:112:4,0.09
Adelomelon,beckii,-41.75,-63.25,5406:113:3,0.05
Adelomelon,beckii,-41.75,-63.75,5406:113:4,0.01
Adelomelon,beckii,-42.25,-63.75,5406:123:2,0.17
Adelomelon,beckii,-44.75,-62.75,5406:142:4,0.19
Adelomelon,beckii,-45.75,-64.25,5406:354:3,0.18
Adelomelon,beckii,-46.25,-63.75,5406:363:2,0.09
Adelomelon,beckii,-49.25,-62.25,5406:392:1,0.12
Adelomelon,beckii,-49.75,-63.75,5406:393:4,0.03
Adelomelon,beckii,-46.25,-65.75,5406:465:2,0.14
Adelomelon,beckii,-46.25,-66.25,5406:466:1,0.05
Adelomelon,beckii,-51.25,-57.25,5505:217:1,0.07
Adelomelon,beckii,-50.75,-65.75,5506:205:4,0.06
Adelomelon,beckii,-21.75,-40.75,5204:110:4,0.29
Adelomelon,beckii,-22.75,-41.25,5204:121:3,0.39
Adelomelon,beckii,-23.25,-41.75,5204:131:2,0.25
Adelomelon,beckii,-24.25,-44.75,5204:144:2,0.27
Adelomelon,beckii,-25.25,-45.25,5204:455:1,0.25
Adelomelon,beckii,-25.75,-45.75,5204:455:4,0.30
Adelomelon,beckii,-25.75,-84.25,5208:354:3,0.30
Adelomelon,beckii,-25.75,-86.75,5208:456:4,0.22
Adelomelon,beckii,-31.75,-50.25,5305:110:3,0.35
Adelomelon,beckii,-36.25,-56.75,5305:466:2,0.31
Adelomelon,beckii,-38.75,-55.25,5305:485:3,0.25
Adelomelon,beckii,-39.75,-60.75,5306:390:4,0.26
Adelomelon,beckii,-39.25,-61.25,5306:391:1,0.24
Adelomelon,beckii,-39.25,-61.75,5306:391:2,0.23
Adelomelon,beckii,-39.25,-62.25,5306:392:1,0.21
Adelomelon,beckii,-35.75,-72.75,5307:352:4,0.33
Adelomelon,beckii,-36.25,-72.75,5307:362:2,0.30
Adelomelon,beckii,-36.75,-72.75,5307:362:4,0.36
Adelomelon,beckii,-37.25,-73.25,5307:373:1,0.30
Adelomelon,beckii,-39.25,-73.75,5307:393:2,0.20
Adelomelon,beckii,-41.25,-59.25,5405:219:1,0.31
Adelomelon,beckii,-41.75,-59.25,5405:219:3,0.35
Adelomelon,beckii,-40.25,-60.75,5406:100:2,0.28
Adelomelon,beckii,-40.75,-62.25,5406:102:3,0.29
Adelomelon,beckii,-40.75,-62.75,5406:102:4,0.39
Adelomelon,beckii,-41.25,-61.25,5406:111:1,0.29
Adelomelon,beckii,-41.75,-61.75,5406:111:4,0.25
Adelomelon,beckii,-42.25,-62.75,5406:122:2,0.29
Adelomelon,beckii,-42.75,-62.75,5406:122:4,0.33
Adelomelon,beckii,-42.25,-63.25,5406:123:1,0.23
Adelomelon,beckii,-42.75,-63.25,5406:123:3,0.38
Adelomelon,beckii,-42.75,-63.75,5406:123:4,0.38
Adelomelon,beckii,-42.75,-64.25,5406:124:3,0.25
Adelomelon,beckii,-42.75,-64.75,5406:124:4,0.24
Adelomelon,beckii,-43.25,-64.25,5406:134:1,0.37
Adelomelon,beckii,-43.75,-64.25,5406:134:3,0.39
Adelomelon,beckii,-43.75,-64.75,5406:134:4,0.37
Adelomelon,beckii,-44.25,-61.25,5406:141:1,0.36
Adelomelon,beckii,-44.25,-63.25,5406:143:1,0.21
Adelomelon,beckii,-44.75,-64.75,5406:144:4,0.34
Adelomelon,beckii,-43.25,-65.25,5406:235:1,0.36
Adelomelon,beckii,-46.75,-60.25,5406:360:3,0.38
Adelomelon,beckii,-46.25,-64.25,5406:364:1,0.30
Adelomelon,beckii,-47.25,-61.25,5406:371:1,0.36
