Mapping parameters for Albatrossia pectoralis (Giant grenadier)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,62,26,143,-115

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,140,700,1100,3500
Temperature (°C),1,2.91,4.7,13.23,21.85
Salinity (psu),1,25.81,31.22,33.21,34.15
Primary Production (mgC·m-3·day-1) ,1,4.22,5.58,41.74,75.44
Sea Ice Concentration (0-1 fraction),1,-1,0,0.01,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,10.06,24.62,269.84,353.35
Distance to Land (km),0,10,16,267,939
 

Map data (HSPEC) for predicted occurrences (n = 2675): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Albatrossia,pectoralis,61.25,-179.75,7617:219:2,0.01
Albatrossia,pectoralis,60.75,-179.75,7617:209:4,0.15
Albatrossia,pectoralis,60.75,-179.25,7617:209:3,0.14
Albatrossia,pectoralis,60.25,-179.75,7617:209:2,0.17
Albatrossia,pectoralis,60.25,-179.25,7617:209:1,0.19
Albatrossia,pectoralis,60.75,-178.75,7617:208:4,0.05
Albatrossia,pectoralis,60.75,-178.25,7617:208:3,0.01
Albatrossia,pectoralis,60.25,-178.25,7617:208:1,0.04
Albatrossia,pectoralis,60.25,-177.75,7617:207:2,0.01
Albatrossia,pectoralis,60.25,-177.25,7617:207:1,0.01
Albatrossia,pectoralis,61.25,-147.75,7614:217:2,0.16
Albatrossia,pectoralis,60.75,-149.25,7614:209:3,0.17
Albatrossia,pectoralis,60.75,-148.25,7614:208:3,0.04
Albatrossia,pectoralis,60.25,-148.25,7614:208:1,0.04
Albatrossia,pectoralis,60.75,-147.75,7614:207:4,0.05
Albatrossia,pectoralis,60.25,-147.75,7614:207:2,0.11
Albatrossia,pectoralis,60.75,-146.25,7614:206:3,0.19
Albatrossia,pectoralis,60.25,-144.75,7614:104:2,0.09
Albatrossia,pectoralis,60.25,-144.25,7614:104:1,0.04
Albatrossia,pectoralis,60.25,-143.75,7614:103:2,0.04
Albatrossia,pectoralis,60.25,-143.25,7614:103:1,0.04
Albatrossia,pectoralis,60.25,-139.25,7613:209:1,0.10
Albatrossia,pectoralis,59.75,-179.75,7517:499:4,0.19
Albatrossia,pectoralis,59.25,-179.75,7517:499:2,0.05
Albatrossia,pectoralis,59.25,-179.25,7517:499:1,0.08
Albatrossia,pectoralis,59.75,-177.75,7517:497:4,0.16
Albatrossia,pectoralis,59.75,-177.25,7517:497:3,0.04
Albatrossia,pectoralis,59.25,-177.25,7517:497:1,0.08
Albatrossia,pectoralis,59.75,-176.75,7517:496:4,0.01
Albatrossia,pectoralis,59.75,-176.25,7517:496:3,0.01
Albatrossia,pectoralis,59.25,-176.75,7517:496:2,0.09
Albatrossia,pectoralis,59.25,-176.25,7517:496:1,0.02
Albatrossia,pectoralis,59.75,-175.75,7517:495:4,0.01
Albatrossia,pectoralis,59.25,-175.75,7517:495:2,0.03
Albatrossia,pectoralis,59.25,-175.25,7517:495:1,0.01
Albatrossia,pectoralis,58.75,-179.75,7517:489:4,0.02
Albatrossia,pectoralis,58.75,-179.25,7517:489:3,0.05
Albatrossia,pectoralis,58.25,-178.75,7517:488:2,0.03
Albatrossia,pectoralis,57.75,-178.25,7517:478:3,0.01
Albatrossia,pectoralis,57.75,-177.75,7517:477:4,0.06
Albatrossia,pectoralis,57.75,-177.25,7517:477:3,0.14
Albatrossia,pectoralis,57.75,-176.75,7517:476:4,0.07
Albatrossia,pectoralis,57.25,-176.75,7517:476:2,0.03
Albatrossia,pectoralis,56.75,-176.25,7517:466:3,0.02
Albatrossia,pectoralis,56.75,-175.75,7517:465:4,0.03
Albatrossia,pectoralis,56.75,-175.25,7517:465:3,0.06
Albatrossia,pectoralis,56.25,-175.25,7517:465:1,0.01
Albatrossia,pectoralis,59.25,-174.75,7517:394:2,0.01
Albatrossia,pectoralis,59.25,-174.25,7517:394:1,0.01
Albatrossia,pectoralis,59.25,-173.75,7517:393:2,0.01
Albatrossia,pectoralis,58.75,-174.25,7517:384:3,0.09
Albatrossia,pectoralis,58.75,-173.25,7517:383:3,0.01
Albatrossia,pectoralis,58.25,-173.25,7517:383:1,0.12
Albatrossia,pectoralis,58.75,-172.75,7517:382:4,0.01
Albatrossia,pectoralis,58.25,-172.75,7517:382:2,0.13
Albatrossia,pectoralis,58.25,-172.25,7517:382:1,0.02
Albatrossia,pectoralis,58.25,-171.75,7517:381:2,0.01
Albatrossia,pectoralis,58.25,-171.25,7517:381:1,0.01
Albatrossia,pectoralis,57.75,-172.25,7517:372:3,0.13
Albatrossia,pectoralis,57.25,-172.75,7517:372:2,0.15
Albatrossia,pectoralis,57.25,-172.25,7517:372:1,0.01
Albatrossia,pectoralis,57.75,-171.75,7517:371:4,0.04
