Mapping parameters for Aldrichetta forsteri (Yellow-eye mullet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  81 ,
Bounding Box (NSWE): ,-25,-47,112,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,10,50
Temperature (°C),1,10.75,13.9,19.48,23.57
Salinity (psu),1,34.3,34.88,36.12,40.11
Primary Production (mgC·m-3·day-1) ,1,1.05,3.12,34.51,66.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,172.46,218.44,260.34,285.61
Distance to Land (km),0,0,2,81,259
 

Map data (HSPEC) for predicted occurrences (n = 545): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Aldrichetta,forsteri,-25.25,113.25,3211:353:1,0.14
Aldrichetta,forsteri,-25.75,113.25,3211:353:3,0.18
Aldrichetta,forsteri,-25.75,114.25,3211:354:3,0.17
Aldrichetta,forsteri,-26.25,113.25,3211:363:1,0.11
Aldrichetta,forsteri,-26.25,113.75,3211:363:2,0.19
Aldrichetta,forsteri,-26.75,113.25,3211:363:3,0.05
Aldrichetta,forsteri,-26.75,113.75,3211:363:4,0.19
Aldrichetta,forsteri,-27.25,113.25,3211:373:1,0.07
Aldrichetta,forsteri,-27.25,113.75,3211:373:2,0.12
Aldrichetta,forsteri,-27.75,113.25,3211:373:3,0.08
Aldrichetta,forsteri,-27.75,113.75,3211:373:4,0.13
Aldrichetta,forsteri,-28.25,113.25,3211:383:1,0.06
Aldrichetta,forsteri,-28.75,113.75,3211:383:4,0.15
