Mapping parameters for Alectrias alectrolophus (Stone cockscomb)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,50,100
Temperature (°C),1,-0.27,3.69,9.83,18.4
Salinity (psu),1,25.93,31.14,32.93,33.65
Primary Production (mgC·m-3·day-1) ,1,1.92,7.87,35.33,48.37
Sea Ice Concentration (0-1 fraction),1,-0.97,0,0.19,0.24
Dissolved Bottom Oxygen (mmol·m-3),0,31.52,34.86,351.17,353.35
Distance to Land (km),0,1,7,64,78
 

Map data (HSPEC) for predicted occurrences (n = 1940): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alectrias,alectrolophus,34.75,119.25,1311:249:3,0.04
Alectrias,alectrolophus,34.75,119.75,1311:249:4,0.05
Alectrias,alectrolophus,35.25,119.75,1311:459:2,0.03
Alectrias,alectrolophus,35.75,119.75,1311:459:4,0.02
Alectrias,alectrolophus,31.75,123.75,1312:113:4,0.01
Alectrias,alectrolophus,31.75,124.25,1312:114:3,0.01
Alectrias,alectrolophus,32.25,122.75,1312:122:2,0.05
Alectrias,alectrolophus,32.75,122.25,1312:122:3,0.04
Alectrias,alectrolophus,32.75,122.75,1312:122:4,0.08
Alectrias,alectrolophus,32.25,123.25,1312:123:1,0.07
Alectrias,alectrolophus,32.25,123.75,1312:123:2,0.07
Alectrias,alectrolophus,32.75,123.25,1312:123:3,0.10
Alectrias,alectrolophus,32.75,123.75,1312:123:4,0.09
Alectrias,alectrolophus,32.25,124.25,1312:124:1,0.06
Alectrias,alectrolophus,32.25,124.75,1312:124:2,0.03
Alectrias,alectrolophus,32.75,124.25,1312:124:3,0.07
Alectrias,alectrolophus,32.75,124.75,1312:124:4,0.01
Alectrias,alectrolophus,33.25,121.75,1312:131:2,0.03
Alectrias,alectrolophus,33.75,121.25,1312:131:3,0.01
Alectrias,alectrolophus,33.75,121.75,1312:131:4,0.03
Alectrias,alectrolophus,33.25,122.25,1312:132:1,0.08
Alectrias,alectrolophus,33.25,122.75,1312:132:2,0.12
Alectrias,alectrolophus,33.75,122.25,1312:132:3,0.10
Alectrias,alectrolophus,33.75,122.75,1312:132:4,0.11
Alectrias,alectrolophus,33.25,123.25,1312:133:1,0.10
Alectrias,alectrolophus,33.25,123.75,1312:133:2,0.07
Alectrias,alectrolophus,33.75,123.25,1312:133:3,0.07
Alectrias,alectrolophus,33.75,123.75,1312:133:4,0.06
Alectrias,alectrolophus,33.25,124.25,1312:134:1,0.04
Alectrias,alectrolophus,33.75,124.25,1312:134:3,0.05
Alectrias,alectrolophus,33.75,124.75,1312:134:4,0.04
Alectrias,alectrolophus,34.25,120.75,1312:140:2,0.02
Alectrias,alectrolophus,34.75,120.25,1312:140:3,0.06
Alectrias,alectrolophus,34.75,120.75,1312:140:4,0.04
Alectrias,alectrolophus,34.25,121.25,1312:141:1,0.01
Alectrias,alectrolophus,34.25,121.75,1312:141:2,0.04
Alectrias,alectrolophus,34.75,121.25,1312:141:3,0.03
Alectrias,alectrolophus,34.75,121.75,1312:141:4,0.10
Alectrias,alectrolophus,34.25,122.25,1312:142:1,0.13
Alectrias,alectrolophus,34.25,122.75,1312:142:2,0.08
Alectrias,alectrolophus,34.75,122.25,1312:142:3,0.12
Alectrias,alectrolophus,34.75,122.75,1312:142:4,0.07
Alectrias,alectrolophus,34.25,123.25,1312:143:1,0.06
Alectrias,alectrolophus,34.25,123.75,1312:143:2,0.07
Alectrias,alectrolophus,34.75,123.25,1312:143:3,0.06
Alectrias,alectrolophus,34.75,123.75,1312:143:4,0.06
Alectrias,alectrolophus,34.25,124.25,1312:144:1,0.05
Alectrias,alectrolophus,34.25,124.75,1312:144:2,0.07
Alectrias,alectrolophus,34.75,124.25,1312:144:3,0.06
Alectrias,alectrolophus,34.75,124.75,1312:144:4,0.05
Alectrias,alectrolophus,33.75,125.25,1312:235:3,0.06
Alectrias,alectrolophus,33.75,125.75,1312:235:4,0.01
Alectrias,alectrolophus,34.25,125.25,1312:245:1,0.11
Alectrias,alectrolophus,34.25,125.75,1312:245:2,0.14
Alectrias,alectrolophus,34.75,125.25,1312:245:3,0.14
Alectrias,alectrolophus,34.25,126.25,1312:246:1,0.12
Alectrias,alectrolophus,34.25,126.75,1312:246:2,0.13
Alectrias,alectrolophus,34.75,126.75,1312:246:4,0.16
Alectrias,alectrolophus,34.25,127.25,1312:247:1,0.10
Alectrias,alectrolophus,34.25,127.75,1312:247:2,0.02
Alectrias,alectrolophus,34.75,127.25,1312:247:3,0.08
Alectrias,alectrolophus,34.75,127.75,1312:247:4,0.07
Alectrias,alectrolophus,34.75,128.25,1312:248:3,0.06
Alectrias,alectrolophus,35.25,120.25,1312:350:1,0.03
Alectrias,alectrolophus,35.25,120.75,1312:350:2,0.02
Alectrias,alectrolophus,35.75,120.25,1312:350:3,0.06
Alectrias,alectrolophus,35.75,120.75,1312:350:4,0.04
Alectrias,alectrolophus,35.25,121.25,1312:351:1,0.04
Alectrias,alectrolophus,35.25,121.75,1312:351:2,0.12
Alectrias,alectrolophus,35.75,121.25,1312:351:3,0.01
Alectrias,alectrolophus,35.75,121.75,1312:351:4,0.04
Alectrias,alectrolophus,35.25,122.25,1312:352:1,0.12
Alectrias,alectrolophus,35.25,122.75,1312:352:2,0.08
Alectrias,alectrolophus,35.75,122.25,1312:352:3,0.11
Alectrias,alectrolophus,35.75,122.75,1312:352:4,0.10
Alectrias,alectrolophus,35.25,123.25,1312:353:1,0.06
Alectrias,alectrolophus,35.25,123.75,1312:353:2,0.05
Alectrias,alectrolophus,35.75,123.25,1312:353:3,0.05
Alectrias,alectrolophus,35.75,123.75,1312:353:4,0.05
Alectrias,alectrolophus,35.25,124.25,1312:354:1,0.04
Alectrias,alectrolophus,35.25,124.75,1312:354:2,0.04
Alectrias,alectrolophus,35.75,124.25,1312:354:3,0.07
Alectrias,alectrolophus,35.75,124.75,1312:354:4,0.05
Alectrias,alectrolophus,36.25,120.25,1312:360:1,0.14
Alectrias,alectrolophus,36.25,120.75,1312:360:2,0.06
Alectrias,alectrolophus,36.75,120.75,1312:360:4,0.01
Alectrias,alectrolophus,36.25,121.25,1312:361:1,0.02
Alectrias,alectrolophus,36.75,121.25,1312:361:3,0.01
Alectrias,alectrolophus,36.25,122.25,1312:362:1,0.02
Alectrias,alectrolophus,36.25,122.75,1312:362:2,0.09
Alectrias,alectrolophus,36.75,122.75,1312:362:4,0.05
Alectrias,alectrolophus,36.25,123.25,1312:363:1,0.05
Alectrias,alectrolophus,36.25,123.75,1312:363:2,0.04
Alectrias,alectrolophus,36.75,123.25,1312:363:3,0.07
Alectrias,alectrolophus,36.75,123.75,1312:363:4,0.04
Alectrias,alectrolophus,36.25,124.25,1312:364:1,0.06
Alectrias,alectrolophus,36.25,124.75,1312:364:2,0.09
Alectrias,alectrolophus,36.75,124.25,1312:364:3,0.08
Alectrias,alectrolophus,36.75,124.75,1312:364:4,0.12
Alectrias,alectrolophus,37.25,122.75,1312:372:2,0.04
Alectrias,alectrolophus,37.75,122.75,1312:372:4,0.07
Alectrias,alectrolophus,37.25,123.25,1312:373:1,0.07
Alectrias,alectrolophus,37.25,123.75,1312:373:2,0.06
Alectrias,alectrolophus,37.75,123.25,1312:373:3,0.08
Alectrias,alectrolophus,37.75,123.75,1312:373:4,0.09
Alectrias,alectrolophus,37.25,124.25,1312:374:1,0.08
Alectrias,alectrolophus,37.25,124.75,1312:374:2,0.18
Alectrias,alectrolophus,37.75,124.25,1312:374:3,0.16
Alectrias,alectrolophus,38.75,120.75,1312:380:4,0.02
Alectrias,alectrolophus,38.25,121.75,1312:381:2,0.03
Alectrias,alectrolophus,38.75,121.25,1312:381:3,0.07
Alectrias,alectrolophus,38.75,121.75,1312:381:4,0.16
Alectrias,alectrolophus,38.25,122.25,1312:382:1,0.04
Alectrias,alectrolophus,38.25,122.75,1312:382:2,0.05
Alectrias,alectrolophus,38.75,122.25,1312:382:3,0.08
Alectrias,alectrolophus,38.75,122.75,1312:382:4,0.04
Alectrias,alectrolophus,38.25,123.25,1312:383:1,0.07
Alectrias,alectrolophus,38.25,123.75,1312:383:2,0.09
Alectrias,alectrolophus,38.75,123.25,1312:383:3,0.05
Alectrias,alectrolophus,38.75,123.75,1312:383:4,0.04
Alectrias,alectrolophus,38.75,124.25,1312:384:3,0.07
Alectrias,alectrolophus,39.25,121.75,1312:391:2,0.12
Alectrias,alectrolophus,39.25,122.75,1312:392:2,0.09
Alectrias,alectrolophus,39.25,123.25,1312:393:1,0.07
Alectrias,alectrolophus,39.25,123.75,1312:393:2,0.08
Alectrias,alectrolophus,39.75,123.25,1312:393:3,0.18
Alectrias,alectrolophus,39.25,124.25,1312:394:1,0.11
Alectrias,alectrolophus,35.25,125.25,1312:455:1,0.11
Alectrias,alectrolophus,35.75,125.25,1312:455:3,0.11
Alectrias,alectrolophus,35.25,126.75,1312:456:2,0.02
Alectrias,alectrolophus,35.25,127.75,1312:457:2,0.01
Alectrias,alectrolophus,35.25,128.25,1312:458:1,0.02
Alectrias,alectrolophus,35.25,128.75,1312:458:2,0.03
Alectrias,alectrolophus,35.75,129.25,1312:459:3,0.02
Alectrias,alectrolophus,36.25,125.25,1312:465:1,0.09
Alectrias,alectrolophus,36.25,125.75,1312:465:2,0.19
Alectrias,alectrolophus,36.75,125.25,1312:465:3,0.13
Alectrias,alectrolophus,36.25,129.25,1312:469:1,0.08
Alectrias,alectrolophus,36.25,129.75,1312:469:2,0.05
Alectrias,alectrolophus,36.75,129.25,1312:469:3,0.13
Alectrias,alectrolophus,36.75,129.75,1312:469:4,0.08
Alectrias,alectrolophus,37.75,125.75,1312:475:4,0.09
Alectrias,alectrolophus,37.75,126.75,1312:476:4,0.06
Alectrias,alectrolophus,37.25,129.25,1312:479:1,0.17
Alectrias,alectrolophus,37.25,129.75,1312:479:2,0.07
Alectrias,alectrolophus,37.75,129.25,1312:479:3,0.18
Alectrias,alectrolophus,38.25,125.25,1312:485:1,0.19
Alectrias,alectrolophus,38.25,125.75,1312:485:2,0.05
Alectrias,alectrolophus,38.75,125.75,1312:485:4,0.04
Alectrias,alectrolophus,38.25,128.25,1312:488:1,0.07
Alectrias,alectrolophus,38.75,128.25,1312:488:3,0.17
Alectrias,alectrolophus,38.75,128.75,1312:488:4,0.14
Alectrias,alectrolophus,39.75,125.75,1312:495:4,0.06
Alectrias,alectrolophus,39.25,128.25,1312:498:1,0.16
Alectrias,alectrolophus,37.25,130.75,1313:370:2,0.02
Alectrias,alectrolophus,37.75,130.75,1313:370:4,0.01
Alectrias,alectrolophus,37.25,131.75,1313:371:2,0.01
Alectrias,alectrolophus,36.75,136.25,1313:466:3,0.01
Alectrias,alectrolophus,36.75,136.75,1313:466:4,0.01
Alectrias,alectrolophus,36.75,137.25,1313:467:3,0.01
Alectrias,alectrolophus,37.25,136.75,1313:476:2,0.01
Alectrias,alectrolophus,37.75,136.75,1313:476:4,0.01
Alectrias,alectrolophus,37.25,137.25,1313:477:1,0.02
Alectrias,alectrolophus,37.25,137.75,1313:477:2,0.03
Alectrias,alectrolophus,37.75,137.25,1313:477:3,0.01
Alectrias,alectrolophus,37.25,138.25,1313:478:1,0.06
Alectrias,alectrolophus,37.25,138.75,1313:478:2,0.04
Alectrias,alectrolophus,37.75,138.25,1313:478:3,0.07
Alectrias,alectrolophus,37.75,138.75,1313:478:4,0.07
Alectrias,alectrolophus,37.75,139.25,1313:479:3,0.07
Alectrias,alectrolophus,38.25,138.25,1313:488:1,0.03
Alectrias,alectrolophus,38.25,138.75,1313:488:2,0.06
Alectrias,alectrolophus,38.25,139.25,1313:489:1,0.10
Alectrias,alectrolophus,38.75,139.25,1313:489:3,0.07
Alectrias,alectrolophus,38.75,139.75,1313:489:4,0.12
Alectrias,alectrolophus,39.25,139.75,1313:499:2,0.11
Alectrias,alectrolophus,39.75,139.75,1313:499:4,0.10
Alectrias,alectrolophus,36.75,140.75,1314:360:4,0.01
Alectrias,alectrolophus,37.25,140.75,1314:370:2,0.01
Alectrias,alectrolophus,37.75,140.75,1314:370:4,0.12
Alectrias,alectrolophus,37.25,141.25,1314:371:1,0.04
Alectrias,alectrolophus,37.75,141.25,1314:371:3,0.15
Alectrias,alectrolophus,38.25,140.75,1314:380:2,0.18
Alectrias,alectrolophus,38.25,141.75,1314:381:2,0.05
Alectrias,alectrolophus,38.75,141.25,1314:381:3,0.16
Alectrias,alectrolophus,38.75,141.75,1314:381:4,0.06
Alectrias,alectrolophus,39.25,140.25,1314:390:1,0.13
Alectrias,alectrolophus,39.75,140.25,1314:390:3,0.11
Alectrias,alectrolophus,39.25,141.75,1314:391:2,0.08
Alectrias,alectrolophus,39.75,141.75,1314:391:4,0.07
Alectrias,alectrolophus,39.25,142.25,1314:392:1,0.08
Alectrias,alectrolophus,39.75,142.25,1314:392:3,0.10
Alectrias,alectrolophus,40.25,119.75,1411:209:2,0.04
Alectrias,alectrolophus,40.25,120.25,1412:100:1,0.01
Alectrias,alectrolophus,40.25,120.75,1412:100:2,0.02
Alectrias,alectrolophus,40.75,120.75,1412:100:4,0.06
Alectrias,alectrolophus,40.25,121.25,1412:101:1,0.03
Alectrias,alectrolophus,40.25,121.75,1412:101:2,0.11
Alectrias,alectrolophus,40.75,121.25,1412:101:3,0.08
Alectrias,alectrolophus,40.75,121.75,1412:101:4,0.06
Alectrias,alectrolophus,40.75,122.25,1412:102:3,0.13
Alectrias,alectrolophus,41.25,121.75,1412:111:2,0.01
Alectrias,alectrolophus,40.25,129.25,1412:209:1,0.16
Alectrias,alectrolophus,40.25,139.75,1413:209:2,0.08
Alectrias,alectrolophus,40.75,139.75,1413:209:4,0.03
Alectrias,alectrolophus,40.25,140.25,1414:100:1,0.09
Alectrias,alectrolophus,40.75,140.25,1414:100:3,0.05
Alectrias,alectrolophus,40.75,140.75,1414:100:4,0.06
Alectrias,alectrolophus,40.25,141.75,1414:101:2,0.05
Alectrias,alectrolophus,40.75,141.25,1414:101:3,0.05
Alectrias,alectrolophus,40.75,141.75,1414:101:4,0.04
Alectrias,alectrolophus,40.25,142.25,1414:102:1,0.10
