Mapping parameters for Alloteuthis africana (African squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,25,-20,-21,14

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,59,226,500
Temperature (°C),1,20.73,24.14,27.89,32.09
Salinity (psu),1,21.03,25.87,35.63,38.66
Primary Production (mgC·m-3·day-1) ,1,1.64,2.64,50.45,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.2,85.19,241.28,375.94
Distance to Land (km),0,8,19,284,594
 

Map data (HSPEC) for predicted occurrences (n = 310): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alloteuthis,africana,4.25,4.75,1000:144:2,0.06
Alloteuthis,africana,4.75,6.75,1000:246:4,0.02
Alloteuthis,africana,4.75,7.25,1000:247:3,0.02
Alloteuthis,africana,4.25,8.25,1000:248:1,0.11
Alloteuthis,africana,4.25,9.75,1000:249:2,0.02
Alloteuthis,africana,6.75,3.25,1000:363:3,0.03
Alloteuthis,africana,6.75,3.75,1000:363:4,0.02
Alloteuthis,africana,5.25,5.75,1000:455:2,0.02
Alloteuthis,africana,5.75,5.75,1000:455:4,0.02
Alloteuthis,africana,3.25,10.25,1001:130:1,0.01
