Mapping parameters for Amblyraja georgiana (Antarctic starry skate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  41 |  48 |  81 |  87 |  88 |  58 ,
Bounding Box (NSWE): ,-43,-74,48,-23

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,57,173,1255
Temperature (°C),1,-2,-1.68,5.35,11.49
Salinity (psu),1,32.88,33.38,34.06,34.56
Primary Production (mgC·m-3·day-1) ,1,0.32,1.32,5.81,8.75
Sea Ice Concentration (0-1 fraction),1,-0.75,0,0.69,0.69
Dissolved Bottom Oxygen (mmol·m-3),0,163.99,208.66,270.93,327.73
Distance to Land (km),0,10,15,400,680.5
 

Map data (HSPEC) for predicted occurrences (n = 2835): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Amblyraja,georgiana,-49.25,63.25,3406:393:1,0.01,0.012939001848429,1,1,1,1,1,1
Amblyraja,georgiana,-49.75,63.25,3406:393:3,0.15,0.15064695009242,1,1,1,1,1,1
Amblyraja,georgiana,-46.75,65.75,3406:465:4,0.15,0.14510166358595,1,1,1,1,1,1
Amblyraja,georgiana,-48.75,69.25,3406:489:3,0.06,1,1,1,0.063945735697034,1,1,1
Amblyraja,georgiana,-46.75,72.25,3407:362:3,0.11,0.12107208872458,0.92333889007568,1,1,1,1,1
Amblyraja,georgiana,-47.25,72.75,3407:372:2,0.11,0.10536044362292,1,1,1,1,1,1
Amblyraja,georgiana,-47.75,73.25,3407:373:3,0.17,0.17097966728281,1,1,1,1,1,1
Amblyraja,georgiana,-48.25,70.25,3407:380:1,0.19,1,1,1,0.19047604430289,1,1,1
Amblyraja,georgiana,-49.25,70.25,3407:390:1,0.11,1,1,1,0.11182965419325,1,1,1
Amblyraja,georgiana,-49.75,163.75,3416:393:4,0.01,0.12384473197782,0.33054992352712,0.247067565918,1,1,1,1
Amblyraja,georgiana,-49.25,164.25,3416:394:1,0.03,1,0.24117277810161,0.14044677734381,1,1,1,1
Amblyraja,georgiana,-49.75,164.25,3416:394:3,0.06,1,0.3036775868568,0.1931964111328,1,1,1,1
Amblyraja,georgiana,-47.25,169.75,3416:479:2,0.02,1,0.23947185180863,0.23849975585941,0.39931974646185,1,1,1
Amblyraja,georgiana,-47.75,169.25,3416:479:3,0.01,0.90850277264325,0.24208327302715,0.1599856567382,0.31598633294608,1,1,1
Amblyraja,georgiana,-47.75,169.75,3416:479:4,0.08,0.69408502772643,0.30488474594265,0.3885852050782,0.96598645152689,1,1,1
Amblyraja,georgiana,-48.75,167.75,3416:487:4,0.02,1,0.22034943919228,0.097912902832007,1,1,1,1
Amblyraja,georgiana,-48.25,168.25,3416:488:1,0.01,1,0.16886127732865,0.049100036620999,0.65272105667664,1,1,1
Amblyraja,georgiana,-48.25,168.75,3416:488:2,0.02,0.86968576709797,0.25456553406358,0.18816864013681,0.53197286744304,1,1,1
Amblyraja,georgiana,-48.75,168.25,3416:488:3,0.05,0.93253234750462,0.29462202985434,0.2269259643554,0.77993195934766,1,1,1
Amblyraja,georgiana,-48.75,168.75,3416:488:4,0.07,0.62199630314233,0.32834994909429,0.3346377563476,0.9680272833932,1,1,1
Amblyraja,georgiana,-48.25,169.25,3416:489:1,0.05,0.6275415896488,0.30557685876902,0.31763183593741,0.82653055765799,1,1,1
Amblyraja,georgiana,-48.25,169.75,3416:489:2,0.09,0.59796672828096,0.33330796828876,0.45154296875,1,1,1,1
Amblyraja,georgiana,-48.75,169.25,3416:489:3,0.08,0.590573012939,0.34167855725615,0.4207736206054,1,1,1,1
