Mapping parameters for Ammodytes dubius (Northern sand lance)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27,
Bounding Box (NSWE): ,84,36,-127,6

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,11,53,108
Temperature (°C),1,-1.18,2.9,13.57,18.6
Salinity (psu),1,20.93,28.51,33.14,35.18
Primary Production (mgC·m-3·day-1) ,1,1.26,3.36,14.51,42.4
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.04,0.73
Dissolved Bottom Oxygen (mmol·m-3),0,4.48,173.78,322.99,359.86
Distance to Land (km),0,1,12,343,666
 

Map data (HSPEC) for predicted occurrences (n = 2755): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ammodytes,dubius,51.25,0.25,1500:110:1,0.06
Ammodytes,dubius,51.75,4.25,1500:114:3,0.03
Ammodytes,dubius,51.75,4.75,1500:114:4,0.04
Ammodytes,dubius,52.25,4.75,1500:124:2,0.06
Ammodytes,dubius,53.75,3.25,1500:133:3,0.19
Ammodytes,dubius,54.25,2.75,1500:142:2,0.17
Ammodytes,dubius,54.25,3.25,1500:143:1,0.12
Ammodytes,dubius,54.25,3.75,1500:143:2,0.07
Ammodytes,dubius,54.75,3.25,1500:143:3,0.13
Ammodytes,dubius,54.75,3.75,1500:143:4,0.09
Ammodytes,dubius,54.25,4.25,1500:144:1,0.07
Ammodytes,dubius,54.25,4.75,1500:144:2,0.13
Ammodytes,dubius,54.75,4.25,1500:144:3,0.06
Ammodytes,dubius,54.75,4.75,1500:144:4,0.07
Ammodytes,dubius,52.25,5.25,1500:225:1,0.04
Ammodytes,dubius,52.25,5.75,1500:225:2,0.09
Ammodytes,dubius,54.75,5.25,1500:245:3,0.09
Ammodytes,dubius,54.75,5.75,1500:245:4,0.18
Ammodytes,dubius,55.75,0.25,1500:350:3,0.16
Ammodytes,dubius,55.75,0.75,1500:350:4,0.15
Ammodytes,dubius,55.25,1.75,1500:351:2,0.19
Ammodytes,dubius,55.75,1.25,1500:351:3,0.12
Ammodytes,dubius,55.75,1.75,1500:351:4,0.11
Ammodytes,dubius,55.25,2.25,1500:352:1,0.18
Ammodytes,dubius,55.25,2.75,1500:352:2,0.17
Ammodytes,dubius,55.75,2.25,1500:352:3,0.14
Ammodytes,dubius,55.75,2.75,1500:352:4,0.14
Ammodytes,dubius,55.25,3.25,1500:353:1,0.17
Ammodytes,dubius,55.25,3.75,1500:353:2,0.17
Ammodytes,dubius,55.75,3.25,1500:353:3,0.14
Ammodytes,dubius,55.75,3.75,1500:353:4,0.14
Ammodytes,dubius,55.25,4.25,1500:354:1,0.13
Ammodytes,dubius,55.25,4.75,1500:354:2,0.11
Ammodytes,dubius,55.75,4.25,1500:354:3,0.15
Ammodytes,dubius,55.75,4.75,1500:354:4,0.16
Ammodytes,dubius,56.25,0.25,1500:360:1,0.07
Ammodytes,dubius,56.25,0.75,1500:360:2,0.06
Ammodytes,dubius,56.75,0.25,1500:360:3,0.06
Ammodytes,dubius,56.75,0.75,1500:360:4,0.03
Ammodytes,dubius,56.25,1.25,1500:361:1,0.05
Ammodytes,dubius,56.25,1.75,1500:361:2,0.05
Ammodytes,dubius,56.75,1.25,1500:361:3,0.03
Ammodytes,dubius,56.75,1.75,1500:361:4,0.03
Ammodytes,dubius,56.25,2.25,1500:362:1,0.06
Ammodytes,dubius,56.25,2.75,1500:362:2,0.09
Ammodytes,dubius,56.75,2.25,1500:362:3,0.05
Ammodytes,dubius,56.75,2.75,1500:362:4,0.07
Ammodytes,dubius,56.25,3.25,1500:363:1,0.08
Ammodytes,dubius,56.25,3.75,1500:363:2,0.12
Ammodytes,dubius,56.75,3.25,1500:363:3,0.09
Ammodytes,dubius,56.75,3.75,1500:363:4,0.14
Ammodytes,dubius,56.25,4.25,1500:364:1,0.14
Ammodytes,dubius,56.25,4.75,1500:364:2,0.17
Ammodytes,dubius,56.75,4.25,1500:364:3,0.17
Ammodytes,dubius,57.25,0.25,1500:370:1,0.04
Ammodytes,dubius,57.25,0.75,1500:370:2,0.03
Ammodytes,dubius,57.75,0.25,1500:370:3,0.01
Ammodytes,dubius,57.75,0.75,1500:370:4,0.01
Ammodytes,dubius,57.25,1.25,1500:371:1,0.03
Ammodytes,dubius,57.25,1.75,1500:371:2,0.03
Ammodytes,dubius,57.75,1.25,1500:371:3,0.02
Ammodytes,dubius,57.75,1.75,1500:371:4,0.03
Ammodytes,dubius,57.25,2.25,1500:372:1,0.05
Ammodytes,dubius,57.25,2.75,1500:372:2,0.08
Ammodytes,dubius,57.75,2.25,1500:372:3,0.07
Ammodytes,dubius,57.75,2.75,1500:372:4,0.10
Ammodytes,dubius,57.25,3.25,1500:373:1,0.11
Ammodytes,dubius,57.25,3.75,1500:373:2,0.16
Ammodytes,dubius,57.75,3.25,1500:373:3,0.14
Ammodytes,dubius,58.25,1.75,1500:381:2,0.02
Ammodytes,dubius,58.75,1.75,1500:381:4,0.01
Ammodytes,dubius,58.25,2.25,1500:382:1,0.06
Ammodytes,dubius,58.25,2.75,1500:382:2,0.09
Ammodytes,dubius,58.75,2.25,1500:382:3,0.03
Ammodytes,dubius,58.75,2.75,1500:382:4,0.07
Ammodytes,dubius,58.25,3.25,1500:383:1,0.12
Ammodytes,dubius,58.25,3.75,1500:383:2,0.19
Ammodytes,dubius,58.75,3.25,1500:383:3,0.11
Ammodytes,dubius,58.75,3.75,1500:383:4,0.03
Ammodytes,dubius,59.25,1.25,1500:391:1,0.01
Ammodytes,dubius,59.75,1.25,1500:391:3,0.01
Ammodytes,dubius,59.75,1.75,1500:391:4,0.02
Ammodytes,dubius,59.25,2.25,1500:392:1,0.01
Ammodytes,dubius,59.75,2.25,1500:392:3,0.02
Ammodytes,dubius,59.75,2.75,1500:392:4,0.01
Ammodytes,dubius,59.75,3.25,1500:393:3,0.03
Ammodytes,dubius,55.25,5.25,1500:455:1,0.11
Ammodytes,dubius,55.25,5.75,1500:455:2,0.15
Ammodytes,dubius,55.75,5.25,1500:455:3,0.14
Ammodytes,dubius,55.75,5.75,1500:455:4,0.16
Ammodytes,dubius,56.25,5.25,1500:465:1,0.18
Ammodytes,dubius,60.25,2.25,1600:102:1,0.01
Ammodytes,dubius,60.25,2.75,1600:102:2,0.03
Ammodytes,dubius,60.75,2.75,1600:102:4,0.01
Ammodytes,dubius,60.25,3.25,1600:103:1,0.01
Ammodytes,dubius,60.75,5.75,1600:205:4,0.09
Ammodytes,dubius,39.75,-8.75,7300:498:4,0.02
Ammodytes,dubius,36.75,-74.75,7307:364:4,0.01
Ammodytes,dubius,37.25,-74.75,7307:374:2,0.10
Ammodytes,dubius,37.75,-74.25,7307:374:3,0.06
Ammodytes,dubius,38.75,-72.75,7307:382:4,0.02
Ammodytes,dubius,38.25,-73.75,7307:383:2,0.08
Ammodytes,dubius,38.75,-73.25,7307:383:3,0.19
Ammodytes,dubius,39.75,-71.75,7307:391:4,0.09
Ammodytes,dubius,39.25,-74.75,7307:394:2,0.10
Ammodytes,dubius,36.25,-75.25,7307:465:1,0.02
Ammodytes,dubius,36.25,-75.75,7307:465:2,0.19
Ammodytes,dubius,36.25,-76.25,7307:466:1,0.01
Ammodytes,dubius,36.25,-76.75,7307:466:2,0.01
Ammodytes,dubius,37.25,-76.25,7307:476:1,0.17
Ammodytes,dubius,37.25,-76.75,7307:476:2,0.11
Ammodytes,dubius,37.75,-76.25,7307:476:3,0.04
Ammodytes,dubius,38.25,-75.75,7307:485:2,0.16
Ammodytes,dubius,43.25,-1.75,7400:131:2,0.01
