Mapping parameters for Ammodytes marinus (Lesser sand-eel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 ,
Bounding Box (NSWE): ,74,49,-49,60

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,150,150
Temperature (°C),1,2,9.99,11.94,13.07
Salinity (psu),1,7,30.96,35.23,36.77
Primary Production (mgC·m-3·day-1) ,1,0.6,3.04,16.78,46.49
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,235.26,260.47,296.89,408.48
Distance to Land (km),0,0,9,229,379
 

Map data (HSPEC) for predicted occurrences (n = 1537): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Ammodytes,marinus,49.75,0.25,1400:390:3,0.12,1,0.16639533929062,1,0.72733087515197,1,1,1
Ammodytes,marinus,49.75,0.75,1400:390:4,0.09,1,0.1046622284746,1,0.82518112312379,1,1,1
Ammodytes,marinus,49.75,1.25,1400:391:3,0.03,1,0.032591456860532,1,0.81525042204695,1,1,1
Ammodytes,marinus,50.25,1.25,1500:101:1,0.16,1,0.2616893464485,1,0.62473912633898,1,1,1
Ammodytes,marinus,50.25,1.75,1500:101:2,0.15,1,0.19354298684451,1,0.78269431892769,1,1,1
Ammodytes,marinus,51.75,4.25,1500:114:3,0.14,1,0.89647185063991,0.96956931290921,0.16135978309525,1,1,1
Ammodytes,marinus,52.25,4.75,1500:124:2,0.19,1,0.97257759296788,0.99851117906268,0.19313183235264,1,1,1
Ammodytes,marinus,52.25,5.25,1500:225:1,0.17,1,1,1,0.17169304373127,1,1,1
Ammodytes,marinus,53.75,9.25,1500:239:3,0.05,1,1,0.93830376117178,0.053719331784026,0.99999137931056,1,1
Ammodytes,marinus,53.75,13.75,1501:133:4,0.03,1,1,0.037497212373355,0.8532493235045,0.99877689255739,1,1
Ammodytes,marinus,53.75,14.75,1501:134:4,0.03,1,1,0.030416996530778,0.9689353862141,0.99901782540637,1,1
Ammodytes,marinus,54.25,10.75,1501:140:2,0.15,1,1,0.15166577990346,1,0.9982379310652,1,1
Ammodytes,marinus,54.75,10.75,1501:140:4,0.18,1,1,0.1848384414571,1,0.99851379312719,1,1
Ammodytes,marinus,54.25,11.25,1501:141:1,0.12,1,1,0.12244736411934,1,0.99875172416696,1,1
Ammodytes,marinus,54.25,11.75,1501:141:2,0.07,1,1,0.084986073743919,0.82172132997972,0.99921551723924,1,1
Ammodytes,marinus,54.75,11.25,1501:141:3,0.16,1,1,0.16423282718818,1,0.99844878962151,1,1
Ammodytes,marinus,54.75,11.75,1501:141:4,0.12,1,1,0.11642389186038,1,0.99827241388567,1,1
Ammodytes,marinus,54.25,12.25,1501:142:1,0.05,1,1,0.06496357002322,0.7721311701309,0.99955344828777,1,1
Ammodytes,marinus,54.25,12.75,1501:142:2,0.04,1,1,0.042812931716741,1,0.9994680622155,1,1
Ammodytes,marinus,54.75,12.25,1501:142:3,0.02,1,1,0.042138513619195,0.51803278309278,0.99936896552942,1,1
Ammodytes,marinus,54.75,12.75,1501:142:4,0.01,1,1,0.02812453621815,0.38565572786343,0.99987068964903,1,1
Ammodytes,marinus,54.25,13.25,1501:143:1,0.02,1,1,0.019462856904095,1,0.99942241381083,1,1
Ammodytes,marinus,54.25,13.75,1501:143:2,0.01,1,1,0.011684639824054,1,0.99940517240059,1,1
Ammodytes,marinus,54.75,13.25,1501:143:3,0.01,1,1,0.021272111615673,0.29713113158636,0.99995344827578,1,1
Ammodytes,marinus,54.25,14.25,1501:144:1,0.01,1,1,0.01050864714812,1,0.99951034481236,1,1
Ammodytes,marinus,54.25,14.75,1501:144:2,0.01,1,1,0.0080463285239194,1,0.99975344828021,1,1
Ammodytes,marinus,54.25,15.25,1501:245:1,0.01,1,1,0.0070308405091248,0.76639342152315,0.99988275861863,1,1
Ammodytes,marinus,54.25,16.25,1501:246:1,0.02,1,1,0.016726973856829,1,0.99989714736424,1,1
Ammodytes,marinus,54.25,19.75,1501:249:2,0.01,1,1,0.0095913127587116,0.6801643866114,0.999564509048,1,1
Ammodytes,marinus,55.25,12.25,1501:352:1,0.14,1,1,0.16233180719544,0.85193530457919,0.99941546933581,1,1
Ammodytes,marinus,55.25,12.75,1501:352:2,0.01,1,0.99490121547809,0.02241309775733,0.43524588771225,0.99982068965719,1,1
Ammodytes,marinus,55.75,12.75,1501:352:4,0.18,1,0.98326985021407,0.1792012550596,1,0.99944310347301,1,1
Ammodytes,marinus,56.25,14.75,1501:364:2,0.08,1,0.94091799739604,0.082766751017117,1,0.99963657602824,1,1
Ammodytes,marinus,56.25,15.25,1501:465:1,0.02,1,0.92814902638613,0.023472766844379,0.88828646593162,0.9996682825691,1,1
Ammodytes,marinus,64.75,34.75,1603:144:4,0.17,1,0.29641826997263,0.6710615301371,1,0.87207069222269,1,1
Ammodytes,marinus,63.75,36.75,1603:236:4,0.16,1,0.38025901374292,0.52181651476827,1,0.80933942414563,1,1
Ammodytes,marinus,63.75,37.25,1603:237:3,0.16,1,0.38113767124983,0.51387522574856,1,0.80062758871194,1,1
Ammodytes,marinus,63.75,37.75,1603:237:4,0.18,1,0.37671890067816,0.58131647826435,1,0.80110878060604,1,1
Ammodytes,marinus,63.75,38.25,1603:238:3,0.19,1,0.37003464633144,0.65185940126346,1,0.80502179984389,1,1
Ammodytes,marinus,64.25,35.75,1603:245:2,0.11,1,0.3401075346449,0.63503604500441,0.59672133432182,0.84785345350874,1,1
