Mapping parameters for Ammodytes tobianus (Small sandeel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 ,
Bounding Box (NSWE): ,72,36,-25,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,11,48,96
Temperature (°C),1,5.5,9.14,12.92,16.78
Salinity (psu),1,3.58,7.17,35.05,38.86
Primary Production (mgC·m-3·day-1) ,1,0.47,2.53,20.61,48.18
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.08
Dissolved Bottom Oxygen (mmol·m-3),0,228.18,262.54,357.64,408.48
Distance to Land (km),0,0,4,170,337
 

Map data (HSPEC) for predicted occurrences (n = 1299): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Ammodytes,tobianus,51.75,4.75,1500:114:4,0.17,0.6,1,1,0.28097461862844,1,1,1
Ammodytes,tobianus,52.25,4.25,1500:124:1,0.06,1,1,1,0.061443545094512,1,1,1
Ammodytes,tobianus,52.25,5.75,1500:225:2,0.17,0.4,1,1,0.41496251448367,0.99999864594953,1,1
Ammodytes,tobianus,53.75,9.25,1500:239:3,0.12,1,1,1,0.11918757153803,0.99993750000158,1,1
Ammodytes,tobianus,54.75,9.25,1500:249:3,0.10,0.1,1,1,1,0.9857101633097,1,1
Ammodytes,tobianus,58.25,3.75,1500:383:2,0.19,0.1875,1,1,1,1,1,1
Ammodytes,tobianus,58.75,3.25,1500:383:3,0.04,0.041666666666667,1,1,1,1,1,1
Ammodytes,tobianus,58.25,4.25,1500:384:1,0.12,0.125,1,1,1,1,1,1
Ammodytes,tobianus,58.25,4.75,1500:384:2,0.15,0.14583333333333,1,1,1,1,1,1
Ammodytes,tobianus,59.25,9.75,1500:499:2,0.10,0.1,1,1,1,0.99987531823535,1,1
Ammodytes,tobianus,54.75,14.75,1501:144:4,0.13,1,1,1,0.12621360623902,0.9999124999988,1,1
Ammodytes,tobianus,54.75,15.25,1501:245:3,0.06,1,1,1,0.059708725823795,0.99993750000158,1,1
Ammodytes,tobianus,54.75,15.75,1501:245:4,0.07,0.70833333333333,1,1,0.10388350865614,0.99992499999735,1,1
Ammodytes,tobianus,55.25,13.25,1501:353:1,0.17,1,1,1,0.16601942376532,0.99969999998939,1,1
Ammodytes,tobianus,55.25,13.75,1501:353:2,0.08,1,1,1,0.076699033433806,0.99981250000474,1,1
Ammodytes,tobianus,55.25,14.25,1501:354:1,0.14,1,1,0.98810393033253,0.13786406736387,0.99990000000025,1,1
Ammodytes,tobianus,55.25,14.75,1501:354:2,0.07,1,1,0.98160619390376,0.072330096383914,0.99992499999735,1,1
Ammodytes,tobianus,56.25,14.25,1501:364:1,0.10,0.1,1,1,1,0.99733872973593,1,1
Ammodytes,tobianus,55.25,15.25,1501:455:1,0.02,1,1,0.9814041690242,0.015533971247598,0.99993750000158,1,1
Ammodytes,tobianus,55.25,15.75,1501:455:2,0.01,0.41666666666667,1,0.98465994407208,0.026213579449477,0.99995000000013,1,1
Ammodytes,tobianus,55.75,15.25,1501:455:3,0.19,1,1,0.94703735946613,0.20048542306261,0.99987500000316,1,1
Ammodytes,tobianus,55.75,15.75,1501:455:4,0.14,1,1,0.93990339741401,0.1461165008741,0.99984999999469,1,1
