Mapping parameters for Amniataba caudavittata (Yellowtail trumpeter)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,19.85,22.32,28.34,32.54
Salinity (psu),1,30.94,33.55,35.47,36.78
Primary Production (mgC·m-3·day-1) ,1,0.27,2.89,14.91,22.9
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,140.2,200.6,218.48,226.97
Distance to Land (km),0,0,5,93,1306
 

Map data (HSPEC) for predicted occurrences (n = 3320): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Amniataba,caudavittata,6.25,79.75,1007:469:2,0.10
Amniataba,caudavittata,9.25,78.25,1007:498:1,0.10
Amniataba,caudavittata,9.25,78.75,1007:498:2,0.16
Amniataba,caudavittata,6.75,80.25,1008:360:3,0.17
Amniataba,caudavittata,2.75,99.75,1009:229:4,0.01
Amniataba,caudavittata,3.25,99.25,1009:239:1,0.06
Amniataba,caudavittata,3.25,99.75,1009:239:2,0.04
Amniataba,caudavittata,3.75,99.25,1009:239:3,0.11
Amniataba,caudavittata,3.75,99.75,1009:239:4,0.14
Amniataba,caudavittata,4.25,98.25,1009:248:1,0.02
