Mapping parameters for Amphioctopus fangsiao (gold-spot octopus)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,30,150,150
Temperature (°C),1,13.22,16.2,24.78,30.15
Salinity (psu),1,28.14,31.13,34.16,35.19
Primary Production (mgC·m-3·day-1) ,1,7.7,8.7,62.42,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,81.71,103.25,253.7,308.85
Distance to Land (km),0,1,9,316,599.5
 

Map data (HSPEC) for predicted occurrences (n = 528): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Amphioctopus,fangsiao,18.25,105.75,1110:485:2,0.05
Amphioctopus,fangsiao,18.25,109.75,1110:489:2,0.18
Amphioctopus,fangsiao,19.25,108.75,1110:498:2,0.19
Amphioctopus,fangsiao,19.75,109.75,1110:499:4,0.08
Amphioctopus,fangsiao,18.75,110.75,1111:380:4,0.19
Amphioctopus,fangsiao,19.75,110.25,1111:390:3,0.03
Amphioctopus,fangsiao,21.25,106.75,1210:216:2,0.03
Amphioctopus,fangsiao,21.25,107.25,1210:217:1,0.06
Amphioctopus,fangsiao,22.75,113.25,1211:123:3,0.02
Amphioctopus,fangsiao,22.75,114.25,1211:124:3,0.16
Amphioctopus,fangsiao,23.25,113.25,1211:133:1,0.02
Amphioctopus,fangsiao,23.25,113.75,1211:133:2,0.02
Amphioctopus,fangsiao,22.75,119.75,1211:229:4,0.07
