Mapping parameters for Anchoa tricolor (Piquitinga anchovy)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-2,-39,-60,-32

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,16.87,17.37,27.36,31.56
Salinity (psu),1,13.52,30.04,36.8,39.03
Primary Production (mgC·m-3·day-1) ,1,5.37,6.37,34.58,69.99
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,178.02,203.45,264.94,277.43
Distance to Land (km),0,0,1,24,86
 

Map data (HSPEC) for predicted occurrences (n = 195): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anchoa,tricolor,-3.75,-38.25,5003:238:3,0.03
Anchoa,tricolor,-5.25,-36.25,5003:456:1,0.08
Anchoa,tricolor,-6.25,-35.25,5003:465:1,0.07
Anchoa,tricolor,-2.75,-43.25,5004:123:3,0.17
Anchoa,tricolor,-2.25,-49.25,5004:229:1,0.06
Anchoa,tricolor,-25.25,-46.75,5204:456:2,0.03
Anchoa,tricolor,-26.25,-48.25,5204:468:1,0.10
Anchoa,tricolor,-27.75,-47.75,5204:477:4,0.06
Anchoa,tricolor,-29.25,-48.75,5204:498:2,0.08
Anchoa,tricolor,-29.75,-51.25,5205:391:3,0.10
Anchoa,tricolor,-30.75,-49.25,5304:209:3,0.12
Anchoa,tricolor,-32.25,-50.75,5305:120:2,0.12
Anchoa,tricolor,-35.25,-54.25,5305:354:1,0.05
Anchoa,tricolor,-35.25,-54.75,5305:354:2,0.16
Anchoa,tricolor,-35.25,-55.25,5305:455:1,0.19
Anchoa,tricolor,-35.75,-55.75,5305:455:4,0.17
Anchoa,tricolor,-35.25,-56.25,5305:456:1,0.18
Anchoa,tricolor,-35.75,-56.75,5305:456:4,0.04
Anchoa,tricolor,-2.75,-40.25,5004:120:3,0.20
Anchoa,tricolor,-2.25,-44.75,5004:124:2,0.33
Anchoa,tricolor,-3.25,-44.75,5004:134:2,0.34
Anchoa,tricolor,-12.75,-38.25,5103:228:3,0.39
Anchoa,tricolor,-13.75,-39.25,5103:239:3,0.20
Anchoa,tricolor,-14.25,-39.25,5103:249:1,0.38
Anchoa,tricolor,-15.25,-39.25,5103:459:1,0.28
Anchoa,tricolor,-17.75,-38.75,5103:478:4,0.32
Anchoa,tricolor,-23.25,-41.25,5204:131:1,0.36
