Mapping parameters for Anisotremus interruptus (Burrito grunt)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,22,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,3,12,30
Temperature (°C),1,18.22,23.32,28.66,32.86
Salinity (psu),1,28.34,30.95,34.36,37.72
Primary Production (mgC·m-3·day-1) ,1,0.69,4.52,44.86,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.52,14.18,201.16,241.01
Distance to Land (km),0,3,13,111,207
 

Map data (HSPEC) for predicted occurrences (n = 431): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anisotremus,interruptus,21.75,-160.25,7216:110:3,0.01
Anisotremus,interruptus,21.75,-159.75,7215:219:4,0.03
Anisotremus,interruptus,21.75,-159.25,7215:219:3,0.04
Anisotremus,interruptus,21.75,-158.25,7215:218:3,0.09
Anisotremus,interruptus,21.25,-158.25,7215:218:1,0.05
Anisotremus,interruptus,21.75,-157.75,7215:217:4,0.09
Anisotremus,interruptus,21.25,-157.75,7215:217:2,0.07
Anisotremus,interruptus,21.25,-157.25,7215:217:1,0.10
Anisotremus,interruptus,21.25,-156.75,7215:216:2,0.13
Anisotremus,interruptus,20.75,-156.75,7215:206:4,0.12
Anisotremus,interruptus,20.75,-156.25,7215:206:3,0.13
Anisotremus,interruptus,20.75,-155.75,7215:205:4,0.14
Anisotremus,interruptus,20.25,-155.75,7215:205:2,0.19
Anisotremus,interruptus,20.25,-155.25,7215:205:1,0.17
Anisotremus,interruptus,19.75,-155.75,7115:495:4,0.18
Anisotremus,interruptus,19.75,-155.25,7115:495:3,0.17
Anisotremus,interruptus,19.25,-155.75,7115:495:2,0.18
Anisotremus,interruptus,19.25,-155.25,7115:495:1,0.16
Anisotremus,interruptus,18.75,-155.75,7115:485:4,0.14
Anisotremus,interruptus,19.75,-154.75,7115:394:4,0.15
Anisotremus,interruptus,19.25,-154.75,7115:394:2,0.10
Anisotremus,interruptus,19.25,-110.75,7111:390:2,0.14
