Mapping parameters for Arctica islandica (ocean quahog)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 ,
Bounding Box (NSWE): ,82,35,-76,58

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,57,218,482
Temperature (°C),1,-1.57,7.03,12.68,22.64
Salinity (psu),1,6.84,27.57,35.14,39.17
Primary Production (mgC·m-3·day-1) ,1,0.52,3.43,17.28,56.51
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.81
Dissolved Bottom Oxygen (mmol·m-3),0,74.87,229.7,311.4,386.9
Distance to Land (km),0,0,3,207,968
 

Map data (HSPEC) for predicted occurrences (n = 6127): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Arctica,islandica,51.25,0.25,1500:110:1,0.02
Arctica,islandica,51.75,4.75,1500:114:4,0.05
Arctica,islandica,52.25,4.25,1500:124:1,0.14
Arctica,islandica,52.25,5.75,1500:225:2,0.04
Arctica,islandica,52.75,6.25,1500:226:3,0.01
Arctica,islandica,53.25,8.75,1500:238:2,0.01
Arctica,islandica,53.75,9.25,1500:239:3,0.08
Arctica,islandica,53.75,9.75,1500:239:4,0.01
Arctica,islandica,54.25,9.25,1500:249:1,0.11
Arctica,islandica,54.25,9.75,1500:249:2,0.01
Arctica,islandica,54.75,9.25,1500:249:3,0.02
Arctica,islandica,58.75,6.25,1500:486:3,0.02
Arctica,islandica,59.25,6.75,1500:496:2,0.02
Arctica,islandica,59.75,6.25,1500:496:3,0.02
Arctica,islandica,59.75,6.75,1500:496:4,0.02
Arctica,islandica,59.25,9.75,1500:499:2,0.04
Arctica,islandica,53.75,10.75,1501:130:4,0.01
Arctica,islandica,53.75,11.25,1501:131:3,0.02
Arctica,islandica,53.75,11.75,1501:131:4,0.01
Arctica,islandica,53.75,13.75,1501:133:4,0.04
Arctica,islandica,53.75,14.25,1501:134:3,0.01
Arctica,islandica,53.75,14.75,1501:134:4,0.04
Arctica,islandica,54.25,10.25,1501:140:1,0.17
Arctica,islandica,54.25,10.75,1501:140:2,0.18
Arctica,islandica,54.25,11.25,1501:141:1,0.15
Arctica,islandica,54.25,11.75,1501:141:2,0.05
Arctica,islandica,54.75,11.25,1501:141:3,0.11
Arctica,islandica,54.75,11.75,1501:141:4,0.05
Arctica,islandica,54.25,12.25,1501:142:1,0.03
Arctica,islandica,54.25,12.75,1501:142:2,0.05
Arctica,islandica,54.75,12.25,1501:142:3,0.03
Arctica,islandica,54.75,12.75,1501:142:4,0.01
Arctica,islandica,54.25,13.25,1501:143:1,0.02
Arctica,islandica,54.25,13.75,1501:143:2,0.01
Arctica,islandica,54.75,13.25,1501:143:3,0.01
Arctica,islandica,54.25,14.25,1501:144:1,0.02
Arctica,islandica,54.25,14.75,1501:144:2,0.02
Arctica,islandica,54.25,15.25,1501:245:1,0.01
Arctica,islandica,54.25,15.75,1501:245:2,0.01
Arctica,islandica,54.25,16.25,1501:246:1,0.03
Arctica,islandica,54.75,16.75,1501:246:4,0.01
Arctica,islandica,54.75,17.25,1501:247:3,0.01
Arctica,islandica,54.75,17.75,1501:247:4,0.01
Arctica,islandica,54.25,18.75,1501:248:2,0.01
Arctica,islandica,54.75,18.75,1501:248:4,0.01
Arctica,islandica,54.25,19.75,1501:249:2,0.01
Arctica,islandica,54.75,19.25,1501:249:3,0.01
Arctica,islandica,55.25,12.25,1501:352:1,0.14
Arctica,islandica,55.25,12.75,1501:352:2,0.01
Arctica,islandica,55.75,14.25,1501:354:3,0.01
Arctica,islandica,55.75,14.75,1501:354:4,0.01
Arctica,islandica,56.25,14.25,1501:364:1,0.01
Arctica,islandica,56.25,14.75,1501:364:2,0.10
Arctica,islandica,58.25,11.75,1501:381:2,0.11
Arctica,islandica,55.25,18.25,1501:458:1,0.01
Arctica,islandica,55.25,18.75,1501:458:2,0.01
Arctica,islandica,55.25,19.25,1501:459:1,0.01
Arctica,islandica,55.25,19.75,1501:459:2,0.01
Arctica,islandica,56.25,15.25,1501:465:1,0.03
Arctica,islandica,54.75,21.25,1502:141:3,0.01
Arctica,islandica,55.75,20.25,1502:350:3,0.01
