Mapping parameters for Arctocephalus forsteri (New Zealand fur seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |   81 ,
Bounding Box (NSWE): ,90,-90,100,-170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,6000
Temperature (°C),1,2.37,13.44,20.71,23.74
Salinity (psu),1,33.75,34.75,35.93,40.11
Primary Production (mgC·m-3·day-1) ,1,0.87,3.85,27.87,66.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,124.19,191.29,259.4,314.74
Distance to Land (km),1,0,7,480,878
 

Map data (HSPEC) for predicted occurrences (n = 6419): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Arctocephalus,forsteri,-26.25,109.75,3210:469:2,0.01
Arctocephalus,forsteri,-26.75,109.75,3210:469:4,0.01
Arctocephalus,forsteri,-27.75,105.75,3210:475:4,0.01
Arctocephalus,forsteri,-27.75,106.25,3210:476:3,0.01
Arctocephalus,forsteri,-27.75,106.75,3210:476:4,0.01
Arctocephalus,forsteri,-27.75,107.25,3210:477:3,0.01
Arctocephalus,forsteri,-27.75,107.75,3210:477:4,0.01
Arctocephalus,forsteri,-27.25,108.75,3210:478:2,0.01
Arctocephalus,forsteri,-27.75,108.25,3210:478:3,0.01
Arctocephalus,forsteri,-27.75,108.75,3210:478:4,0.01
Arctocephalus,forsteri,-27.25,109.25,3210:479:1,0.01
Arctocephalus,forsteri,-27.75,109.25,3210:479:3,0.01
Arctocephalus,forsteri,-27.75,109.75,3210:479:4,0.01
Arctocephalus,forsteri,-28.25,105.75,3210:485:2,0.01
Arctocephalus,forsteri,-28.75,105.75,3210:485:4,0.01
Arctocephalus,forsteri,-28.25,106.25,3210:486:1,0.01
Arctocephalus,forsteri,-28.25,106.75,3210:486:2,0.01
Arctocephalus,forsteri,-28.75,106.25,3210:486:3,0.01
Arctocephalus,forsteri,-28.75,106.75,3210:486:4,0.02
Arctocephalus,forsteri,-28.25,107.25,3210:487:1,0.02
Arctocephalus,forsteri,-28.25,107.75,3210:487:2,0.02
Arctocephalus,forsteri,-28.75,107.25,3210:487:3,0.03
Arctocephalus,forsteri,-28.75,107.75,3210:487:4,0.03
Arctocephalus,forsteri,-28.25,108.25,3210:488:1,0.02
Arctocephalus,forsteri,-28.25,108.75,3210:488:2,0.01
Arctocephalus,forsteri,-28.75,108.25,3210:488:3,0.03
Arctocephalus,forsteri,-28.75,108.75,3210:488:4,0.02
Arctocephalus,forsteri,-28.25,109.25,3210:489:1,0.01
Arctocephalus,forsteri,-28.25,109.75,3210:489:2,0.01
Arctocephalus,forsteri,-28.75,109.25,3210:489:3,0.02
Arctocephalus,forsteri,-28.75,109.75,3210:489:4,0.02
Arctocephalus,forsteri,-29.25,105.75,3210:495:2,0.01
Arctocephalus,forsteri,-29.75,105.75,3210:495:4,0.01
Arctocephalus,forsteri,-29.25,106.25,3210:496:1,0.01
Arctocephalus,forsteri,-29.25,106.75,3210:496:2,0.02
Arctocephalus,forsteri,-29.75,106.25,3210:496:3,0.02
Arctocephalus,forsteri,-29.75,106.75,3210:496:4,0.03
Arctocephalus,forsteri,-29.25,107.25,3210:497:1,0.04
Arctocephalus,forsteri,-29.25,107.75,3210:497:2,0.05
Arctocephalus,forsteri,-29.75,107.25,3210:497:3,0.04
Arctocephalus,forsteri,-29.75,107.75,3210:497:4,0.05
Arctocephalus,forsteri,-29.25,108.25,3210:498:1,0.05
Arctocephalus,forsteri,-29.25,108.75,3210:498:2,0.04
Arctocephalus,forsteri,-29.75,108.25,3210:498:3,0.06
Arctocephalus,forsteri,-29.75,108.75,3210:498:4,0.06
Arctocephalus,forsteri,-29.25,109.25,3210:499:1,0.03
Arctocephalus,forsteri,-29.25,109.75,3210:499:2,0.03
Arctocephalus,forsteri,-29.75,109.25,3210:499:3,0.05
Arctocephalus,forsteri,-29.75,109.75,3210:499:4,0.04
Arctocephalus,forsteri,-24.75,113.25,3211:143:3,0.11
Arctocephalus,forsteri,-24.75,113.75,3211:143:4,0.09
Arctocephalus,forsteri,-25.25,110.75,3211:350:2,0.01
