Mapping parameters for Arctocephalus pusillus (South African fur seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  57 |  81 ,
Bounding Box (NSWE): ,0,-90,0,160

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,2000
Temperature (°C),1,10.34,14.53,20.16,23.35
Salinity (psu),1,33.73,34.8,35.8,37.06
Primary Production (mgC·m-3·day-1) ,1,2.75,5.9,93.95,136.98
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.86,60.1,249.15,396.8
Distance to Land (km),1,1,5,118,536
 

Map data (HSPEC) for predicted occurrences (n = 623): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Arctocephalus,pusillus,-13.75,12.25,3101:132:3,0.01
Arctocephalus,pusillus,-13.75,12.75,3101:132:4,0.06
Arctocephalus,pusillus,-14.25,12.25,3101:142:1,0.07
Arctocephalus,pusillus,-15.25,11.75,3101:351:2,0.19
Arctocephalus,pusillus,-16.25,11.25,3101:361:1,0.05
Arctocephalus,pusillus,-18.25,11.25,3101:381:1,0.12
Arctocephalus,pusillus,-19.25,10.25,3101:390:1,0.03
Arctocephalus,pusillus,-19.75,10.25,3101:390:3,0.15
Arctocephalus,pusillus,-20.25,10.25,3201:100:1,0.06
Arctocephalus,pusillus,-20.25,10.75,3201:100:2,0.19
Arctocephalus,pusillus,-20.75,11.25,3201:101:3,0.05
Arctocephalus,pusillus,-21.25,11.75,3201:111:2,0.13
Arctocephalus,pusillus,-22.25,12.25,3201:122:1,0.08
Arctocephalus,pusillus,-23.75,12.75,3201:132:4,0.16
Arctocephalus,pusillus,-26.25,13.25,3201:363:1,0.18
Arctocephalus,pusillus,-27.75,13.75,3201:373:4,0.03
Arctocephalus,pusillus,-28.25,15.75,3201:485:2,0.08
Arctocephalus,pusillus,-24.75,113.75,3211:143:4,0.01
Arctocephalus,pusillus,-25.25,113.25,3211:353:1,0.01
Arctocephalus,pusillus,-25.25,113.75,3211:353:2,0.06
Arctocephalus,pusillus,-25.75,113.25,3211:353:3,0.05
Arctocephalus,pusillus,-25.75,113.75,3211:353:4,0.03
Arctocephalus,pusillus,-25.75,114.25,3211:354:3,0.05
Arctocephalus,pusillus,-26.25,113.25,3211:363:1,0.01
Arctocephalus,pusillus,-26.25,113.75,3211:363:2,0.02
Arctocephalus,pusillus,-26.75,113.75,3211:363:4,0.01
Arctocephalus,pusillus,-26.25,114.25,3211:364:1,0.03
Arctocephalus,pusillus,-27.25,114.25,3211:374:1,0.01
Arctocephalus,pusillus,-30.25,14.25,3301:104:1,0.05
Arctocephalus,pusillus,-30.75,14.75,3301:104:4,0.02
Arctocephalus,pusillus,-31.25,15.25,3301:215:1,0.18
Arctocephalus,pusillus,-31.75,15.25,3301:215:3,0.02
Arctocephalus,pusillus,-32.25,15.75,3301:225:2,0.06
Arctocephalus,pusillus,-34.75,17.75,3301:247:4,0.02
Arctocephalus,pusillus,-31.25,29.75,3302:219:2,0.03
Arctocephalus,pusillus,-31.75,29.25,3302:219:3,0.09
Arctocephalus,pusillus,-32.75,28.75,3302:228:4,0.01
Arctocephalus,pusillus,-33.25,28.25,3302:238:1,0.03
Arctocephalus,pusillus,-34.25,26.75,3302:246:2,0.10
Arctocephalus,pusillus,-35.25,23.75,3302:353:2,0.16
Arctocephalus,pusillus,-35.75,23.25,3302:353:3,0.05
Arctocephalus,pusillus,-35.25,24.25,3302:354:1,0.06
Arctocephalus,pusillus,-32.25,114.75,3311:124:2,0.02
Arctocephalus,pusillus,-32.75,114.25,3311:124:3,0.02
Arctocephalus,pusillus,-32.75,114.75,3311:124:4,0.08
Arctocephalus,pusillus,-31.25,115.75,3311:215:2,0.01
Arctocephalus,pusillus,-31.75,128.25,3312:218:3,0.05
Arctocephalus,pusillus,-31.75,128.75,3312:218:4,0.10
Arctocephalus,pusillus,-34.25,124.75,3312:144:2,0.17
Arctocephalus,pusillus,-32.25,129.25,3312:229:1,0.19
Arctocephalus,pusillus,-32.25,129.75,3312:229:2,0.14
Arctocephalus,pusillus,-33.75,128.25,3312:238:3,0.03
Arctocephalus,pusillus,-33.75,129.25,3312:239:3,0.18
Arctocephalus,pusillus,-32.25,130.25,3313:120:1,0.16
Arctocephalus,pusillus,-32.25,130.75,3313:120:2,0.09
Arctocephalus,pusillus,-32.75,133.75,3313:123:4,0.09
Arctocephalus,pusillus,-32.75,134.25,3313:124:3,0.10
Arctocephalus,pusillus,-33.25,132.75,3313:132:2,0.02
Arctocephalus,pusillus,-33.25,133.75,3313:133:2,0.09
Arctocephalus,pusillus,-33.75,133.25,3313:133:3,0.04
Arctocephalus,pusillus,-33.75,133.75,3313:133:4,0.01
Arctocephalus,pusillus,-34.25,130.25,3313:140:1,0.07
Arctocephalus,pusillus,-34.75,130.75,3313:140:4,0.02
Arctocephalus,pusillus,-34.75,131.25,3313:141:3,0.09
Arctocephalus,pusillus,-34.75,131.75,3313:141:4,0.17
Arctocephalus,pusillus,-34.25,133.75,3313:143:2,0.18
Arctocephalus,pusillus,-33.75,135.25,3313:235:3,0.17
Arctocephalus,pusillus,-34.75,136.25,3313:246:3,0.10
Arctocephalus,pusillus,-34.75,137.75,3313:247:4,0.03
Arctocephalus,pusillus,-35.25,132.25,3313:352:1,0.10
Arctocephalus,pusillus,-35.25,132.75,3313:352:2,0.18
Arctocephalus,pusillus,-35.75,135.25,3313:455:3,0.04
Arctocephalus,pusillus,-39.25,142.25,3314:392:1,0.13
Arctocephalus,pusillus,-39.75,142.75,3314:392:4,0.13
Arctocephalus,pusillus,-39.75,146.75,3314:496:4,0.09
Arctocephalus,pusillus,-30.25,153.25,3315:103:1,0.19
Arctocephalus,pusillus,-30.75,153.25,3315:103:3,0.11
Arctocephalus,pusillus,-31.25,152.75,3315:112:2,0.11
Arctocephalus,pusillus,-31.25,153.25,3315:113:1,0.10
Arctocephalus,pusillus,-31.75,153.25,3315:113:3,0.10
Arctocephalus,pusillus,-34.25,151.75,3315:141:2,0.09
Arctocephalus,pusillus,-30.25,159.75,3315:209:2,0.02
Arctocephalus,pusillus,-30.75,159.75,3315:209:4,0.07
Arctocephalus,pusillus,-31.25,159.25,3315:219:1,0.02
Arctocephalus,pusillus,-31.25,159.75,3315:219:2,0.12
Arctocephalus,pusillus,-31.75,159.25,3315:219:3,0.13
Arctocephalus,pusillus,-31.75,159.75,3315:219:4,0.06
Arctocephalus,pusillus,-35.75,150.75,3315:350:4,0.15
Arctocephalus,pusillus,-42.75,144.75,3414:124:4,0.08
Arctocephalus,pusillus,-42.75,147.25,3414:227:3,0.02
Arctocephalus,pusillus,-43.25,146.25,3414:236:1,0.04
Arctocephalus,pusillus,-44.25,146.25,3414:246:1,0.09
Arctocephalus,pusillus,-44.25,146.75,3414:246:2,0.19
Arctocephalus,pusillus,-46.75,146.75,3414:466:4,0.01
Arctocephalus,pusillus,-46.75,147.25,3414:467:3,0.02
Arctocephalus,pusillus,-46.75,147.75,3414:467:4,0.02
Arctocephalus,pusillus,-46.75,148.25,3414:468:3,0.02
