Mapping parameters for Argyrops filamentosus (Soldierbream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,6,22,40
Temperature (°C),1,23.1,23.88,28.45,32.65
Salinity (psu),1,28.24,33.72,38.06,38.83
Primary Production (mgC·m-3·day-1) ,1,-0.13,0.87,29.07,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,53.06,210.94,285.59
Distance to Land (km),0,1,10,84,108
 

Map data (HSPEC) for predicted occurrences (n = 979): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Argyrops,filamentosus,17.75,40.75,1104:370:4,0.16
Argyrops,filamentosus,18.75,57.25,1105:487:3,0.02
Argyrops,filamentosus,19.75,57.75,1105:497:4,0.13
Argyrops,filamentosus,19.25,58.25,1105:498:1,0.19
Argyrops,filamentosus,18.75,72.25,1107:382:3,0.06
Argyrops,filamentosus,26.25,34.25,1203:364:1,0.15
Argyrops,filamentosus,26.75,34.25,1203:364:3,0.09
Argyrops,filamentosus,27.25,34.25,1203:374:1,0.06
Argyrops,filamentosus,27.75,34.25,1203:374:3,0.02
Argyrops,filamentosus,27.75,34.75,1203:374:4,0.08
