Mapping parameters for Argyrosomus regius (Meagre)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  51 ,
Bounding Box (NSWE): ,65,-6,-26,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,47,148,300
Temperature (°C),1,8.5,11,27.63,31.83
Salinity (psu),1,7.4,27.97,38,40.65
Primary Production (mgC·m-3·day-1) ,1,-0.25,0.75,39.82,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,0.1,147.9,271.81,408.48
Distance to Land (km),0,0,10,200,331
 

Map data (HSPEC) for predicted occurrences (n = 2373): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Argyrosomus,regius,0.25,6.25,1000:206:1,0.13,0.13157894736842,1,1,1,1,1,1
Argyrosomus,regius,28.75,32.75,1203:382:4,0.02,1,1,0.023797377100527,1,1,1,1
Argyrosomus,regius,29.25,32.75,1203:392:2,0.02,1,1,0.021248007720376,1,1,1,1
Argyrosomus,regius,28.25,35.25,1203:485:1,0.16,0.21875,1,0.73135030494547,1,1,1,1
Argyrosomus,regius,39.25,7.75,1300:497:2,0.05,0.072368421052632,1,1,0.65300001273863,1,1,1
Argyrosomus,regius,39.75,8.75,1300:498:4,0.03,0.03125,1,1,0.96099394699559,1,1,1
Argyrosomus,regius,32.25,14.75,1301:124:2,0.06,0.0625,1,0.99179480210789,0.91943804267794,1,1,1
Argyrosomus,regius,33.75,13.75,1301:133:4,0.01,0.019736842105263,1,0.92218881283166,0.81800001766533,1,1,1
Argyrosomus,regius,33.75,14.75,1301:134:4,0.03,0.046052631578947,1,0.87776558354215,0.83599998010322,1,1,1
Argyrosomus,regius,31.75,15.25,1301:215:3,0.18,0.1875,1,1,0.95195709122345,1,1,1
Argyrosomus,regius,32.25,19.25,1301:229:1,0.01,0.013157894736842,1,0.8330299809294,0.83200000785291,1,1,1
Argyrosomus,regius,34.25,15.75,1301:245:2,0.08,0.10526315789474,1,0.89679444510981,0.85999998822808,1,1,1
Argyrosomus,regius,36.25,13.75,1301:363:2,0.05,0.059210526315789,1,1,0.87499998603016,1,1,1
Argyrosomus,regius,31.25,26.75,1302:216:2,0.09,0.125,1,0.76409912109374,0.89970523817465,1,1,1
Argyrosomus,regius,31.25,30.75,1303:110:2,0.05,0.0625,1,0.79128423726785,1,1,1,1
Argyrosomus,regius,41.25,0.75,1400:110:2,0.12,0.125,1,1,1,1,1,1
Argyrosomus,regius,41.75,2.25,1400:112:3,0.09,0.09375,1,1,1,1,1,1
