Mapping parameters for Astarte borealis (boreal astarte)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  61 |  67 ,
Bounding Box (NSWE): ,85,34,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,6,35,130,270
Temperature (°C),1,-1.73,-0.53,10.43,20.64
Salinity (psu),1,6.86,25.14,34.61,39.99
Primary Production (mgC·m-3·day-1) ,1,0.4,1.6,16.18,46.49
Sea Ice Concentration (0-1 fraction),1,-0.79,0,0.61,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,4.48,265.4,364.1,390.33
Distance to Land (km),0,0,2,159,763
 

Map data (HSPEC) for predicted occurrences (n = 15179): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Astarte,borealis,34.25,119.75,1311:249:2,0.14,0.6551724137931,0.43890283717231,1,0.50070904820164,1,1,1
Astarte,borealis,34.25,128.25,1312:248:1,0.14,1,0.1423129269472,1,1,1,1,1
Astarte,borealis,34.25,128.75,1312:248:2,0.08,1,0.08308685631523,1,1,1,1,1
Astarte,borealis,34.75,128.75,1312:248:4,0.18,1,0.20583361439793,1,0.89554600373859,1,1,1
Astarte,borealis,34.25,129.25,1312:249:1,0.05,1,0.051084311071499,1,1,1,1,1
Astarte,borealis,34.25,129.75,1312:249:2,0.05,1,0.0513307158557,1,1,1,1,1
Astarte,borealis,34.75,129.25,1312:249:3,0.11,1,0.1142706053731,1,1,1,1,1
Astarte,borealis,34.75,129.75,1312:249:4,0.09,1,0.090772294391029,1,1,1,1,1
Astarte,borealis,35.25,129.25,1312:459:1,0.08,1,0.17609074487042,1,0.45447046479075,1,1,1
Astarte,borealis,35.25,129.75,1312:459:2,0.13,1,0.13263345955635,1,1,1,1,1
Astarte,borealis,36.75,126.75,1312:466:4,0.19,0.51724137931034,0.58283863198396,1,0.639821724367,1,1,1
Astarte,borealis,37.75,126.25,1312:476:3,0.06,1,0.66065537380775,1,0.083503819975041,1,1,1
Astarte,borealis,34.25,130.25,1313:140:1,0.06,1,0.063978062554045,1,1,1,1,1
Astarte,borealis,34.25,130.75,1313:140:2,0.09,1,0.091400355713604,1,1,1,1,1
Astarte,borealis,34.75,130.25,1313:140:3,0.08,1,0.081317374802008,1,1,1,1,1
Astarte,borealis,34.75,130.75,1313:140:4,0.08,1,0.082120291983575,1,1,1,1,1
Astarte,borealis,34.25,131.25,1313:141:1,0.11,1,0.10974938582253,1,0.96806982253023,1,1,1
Astarte,borealis,34.25,131.75,1313:141:2,0.12,1,0.1328374580585,1,0.92418735310883,1,1,1
Astarte,borealis,34.75,131.25,1313:141:3,0.10,1,0.099097376121949,1,1,1,1,1
Astarte,borealis,34.75,131.75,1313:141:4,0.12,1,0.11505969848035,1,1,1,1,1
Astarte,borealis,34.25,132.25,1313:142:1,0.09,1,0.15713270824406,1,0.59940613472434,1,1,1
Astarte,borealis,34.25,132.75,1313:142:2,0.04,1,0.15056683337653,1,0.28353679152614,1,1,1
Astarte,borealis,34.75,132.25,1313:142:3,0.12,1,0.13609041219594,1,0.86287455641763,1,1,1
Astarte,borealis,34.25,133.25,1313:143:1,0.04,1,0.093553922318805,1,0.43064999257877,1,1,1
Astarte,borealis,34.25,133.75,1313:143:2,0.03,1,0.052601596634251,1,0.51633572535167,1,1,1
Astarte,borealis,34.25,134.25,1313:144:1,0.02,1,0.031730607020637,1,0.54359155187352,1,1,1
Astarte,borealis,34.25,134.75,1313:144:2,0.02,1,0.056647940550686,1,0.44051469894417,1,1,1
Astarte,borealis,34.75,134.25,1313:144:3,0.05,1,0.10875087667049,1,0.42547010608492,1,1,1
Astarte,borealis,34.75,137.75,1313:247:4,0.01,1,0.038865884300774,1,0.18749607911168,1,1,1
Astarte,borealis,34.75,138.25,1313:248:3,0.02,1,0.031204918572762,1,0.76525898398208,1,1,1
Astarte,borealis,34.75,138.75,1313:248:4,0.02,1,0.024733196860078,1,0.81445069879008,1,1,1
Astarte,borealis,35.25,130.25,1313:350:1,0.13,1,0.12886191582003,1,1,1,1,1
Astarte,borealis,35.25,130.75,1313:350:2,0.12,1,0.12432967437236,1,1,1,1,1
Astarte,borealis,35.75,130.25,1313:350:3,0.19,1,0.18761198994695,1,1,1,1,1
Astarte,borealis,35.75,130.75,1313:350:4,0.19,0.93571428571429,0.1992171135285,1,1,1,1,1
Astarte,borealis,35.25,131.25,1313:351:1,0.12,1,0.11966759871315,1,1,1,1,1
Astarte,borealis,35.25,131.75,1313:351:2,0.12,1,0.12318750693446,1,1,1,1,1
Astarte,borealis,35.75,131.75,1313:351:4,0.16,0.88571428571429,0.18413729018493,1,1,1,1,1
Astarte,borealis,35.25,132.25,1313:352:1,0.13,1,0.12613502375409,1,1,1,1,1
Astarte,borealis,35.25,132.75,1313:352:2,0.12,1,0.13929423482597,1,0.8904578668062,1,1,1
Astarte,borealis,35.75,132.25,1313:352:3,0.16,1,0.1594641196973,1,1,1,1,1
Astarte,borealis,35.75,132.75,1313:352:4,0.15,1,0.15021375904588,1,1,1,1,1
Astarte,borealis,35.75,133.25,1313:353:3,0.15,1,0.16534757100404,1,0.87763111833612,1,1,1
Astarte,borealis,35.75,133.75,1313:353:4,0.18,1,0.17948044525654,1,1,1,1,1
Astarte,borealis,35.75,134.25,1313:354:3,0.19,1,0.18836558880932,1,1,1,1,1
Astarte,borealis,36.25,132.75,1313:362:2,0.18,1,0.1834223613683,1,1,1,1,1
Astarte,borealis,36.75,132.75,1313:362:4,0.19,0.80714285714286,0.23859760460026,1,1,1,1,1
Astarte,borealis,36.25,133.25,1313:363:1,0.19,1,0.18839006115711,1,1,1,1,1
Astarte,borealis,36.75,133.25,1313:363:3,0.15,0.67857142857143,0.22442251087753,1,1,1,1,1
Astarte,borealis,36.75,133.75,1313:363:4,0.06,0.27142857142857,0.23523218975011,1,1,1,1,1
Astarte,borealis,36.25,134.75,1313:364:2,0.10,0.47142857142857,0.22143520314126,1,1,1,1,1
Astarte,borealis,36.75,134.75,1313:364:4,0.11,0.44285714285714,0.25219059270696,1,1,1,1,1
Astarte,borealis,37.25,132.25,1313:372:1,0.18,0.57857142857143,0.31027991344366,1,1,1,1,1
Astarte,borealis,38.75,134.25,1313:384:3,0.02,0.042857142857143,0.40634321909577,1,1,1,1,1
Astarte,borealis,39.75,133.75,1313:393:4,0.09,0.15,0.59792770251238,1,1,1,1,1
Astarte,borealis,39.25,134.25,1313:394:1,0.10,0.20714285714286,0.49380832414319,1,1,1,1,1
Astarte,borealis,39.25,134.75,1313:394:2,0.02,0.042857142857143,0.49998983370102,1,1,1,1,1
Astarte,borealis,35.75,136.25,1313:456:3,0.05,0.58620689655172,0.16895995107384,1,0.48926585607897,1,1,1
Astarte,borealis,35.25,138.75,1313:458:2,0.01,1,0.073279422830999,1,0.10560716811048,1,1,1
Astarte,borealis,36.25,136.25,1313:466:1,0.17,1,0.20477495184141,1,0.83791799971626,1,1,1
Astarte,borealis,36.75,136.75,1313:466:4,0.19,1,0.2323440790877,1,0.81239521363827,1,1,1
Astarte,borealis,36.75,137.25,1313:467:3,0.15,1,0.23022488585648,1,0.65935252049857,1,1,1
Astarte,borealis,37.25,138.75,1313:478:2,0.18,1,0.27282806755163,1,0.67544439803724,1,1,1
Astarte,borealis,35.75,140.75,1314:350:4,0.07,1,0.13751410503929,1,0.4998350614213,1,1,1
Astarte,borealis,35.75,141.25,1314:351:3,0.03,1,0.028892935548306,1,0.92728471506236,1,1,1
Astarte,borealis,36.25,140.75,1314:360:2,0.05,1,0.21954504119545,1,0.22731772400451,1,1,1
Astarte,borealis,36.75,140.75,1314:360:4,0.17,1,0.28596467439388,1,0.60003301836563,1,1,1
Astarte,borealis,36.25,141.25,1314:361:1,0.15,1,0.15439572834011,1,1,1,1,1
Astarte,borealis,37.25,141.75,1314:371:2,0.18,0.51428571428571,0.34437045434547,1,1,1,1,1
Astarte,borealis,38.75,141.25,1314:381:3,0.15,0.31034482758621,0.53007298094985,1,0.92220850004217,1,1,1
Astarte,borealis,35.25,171.75,1317:351:2,0.01,0.071428571428571,0.10244896689779,1,1,1,1,1
Astarte,borealis,43.75,140.25,1414:130:3,0.08,0.1,0.7730092301775,1,1,1,1,1
Astarte,borealis,43.75,144.25,1414:134:3,0.18,0.20689655172414,1,1,0.87891555074338,1,1,1
Astarte,borealis,44.25,148.25,1414:248:1,0.04,0.042857142857143,1,1,1,1,1,1
Astarte,borealis,48.25,144.25,1414:384:1,0.14,0.13571428571429,1,1,1,1,1,1
Astarte,borealis,45.75,148.25,1414:458:3,0.02,0.021428571428571,1,1,1,1,1,1
Astarte,borealis,51.75,4.25,1500:114:3,0.12,0.93103448275862,0.84064771706397,1,0.15816559405344,1,1,1
Astarte,borealis,51.75,4.75,1500:114:4,0.01,0.03448275862069,0.82927377310369,1,0.19981755973561,1,1,1
Astarte,borealis,52.25,4.75,1500:124:2,0.13,0.82758620689655,0.84907078159194,1,0.18930870139217,1,1,1
Astarte,borealis,52.25,5.25,1500:225:1,0.14,1,0.85394871830357,1,0.16829430317572,1,1,1
Astarte,borealis,53.75,9.25,1500:239:3,0.01,0.31034482758621,0.90795087674222,1,0.052655933596285,1,1,1
Astarte,borealis,54.25,9.25,1500:249:1,0.10,0.20689655172414,0.94506748883194,0.92793161237788,0.52810879801414,1,1,1
Astarte,borealis,59.25,4.25,1500:394:1,0.16,0.16428571428571,1,1,1,1,1,1
Astarte,borealis,53.75,13.75,1501:133:4,0.05,1,0.98091882449756,0.056807068296804,0.83635887170302,1,1,1
Astarte,borealis,53.75,14.25,1501:134:3,0.01,1,0.98974166630998,0.010632067331861,0.64038273022537,1,1,1
Astarte,borealis,53.75,14.75,1501:134:4,0.04,1,0.98648731108394,0.047526872914521,0.94975487708416,1,1,1
Astarte,borealis,54.25,11.25,1501:141:1,0.17,1,0.99040148564114,0.16815310964438,1,1,1,1
Astarte,borealis,54.25,11.75,1501:141:2,0.12,1,0.98900413326372,0.11905176843021,1,1,1,1
Astarte,borealis,54.75,11.75,1501:141:4,0.08,0.48275862068966,1,0.16025801143187,1,1,1,1
Astarte,borealis,54.25,12.25,1501:142:1,0.08,0.82758620689655,0.9973607861914,0.092807830293017,1,1,1,1
Astarte,borealis,54.25,12.75,1501:142:2,0.06,1,1,0.063774499121067,1,1,1,1
Astarte,borealis,54.75,12.25,1501:142:3,0.06,1,1,0.062890524415532,1,1,1,1
Astarte,borealis,54.75,12.75,1501:142:4,0.04,1,1,0.044522094517881,0.95083331332232,1,1,1
Astarte,borealis,54.25,13.25,1501:143:1,0.03,1,1,0.033169040012151,1,1,1,1
Astarte,borealis,54.25,13.75,1501:143:2,0.02,0.93103448275862,1,0.022973958981637,0.99673372520861,1,1,1
Astarte,borealis,54.75,13.25,1501:143:3,0.03,1,1,0.035540470148333,0.77083330089227,1,1,1
Astarte,borealis,54.75,13.75,1501:143:4,0.02,1,1,0.029417625402204,0.54583333386108,1,1,1
Astarte,borealis,54.25,14.25,1501:144:1,0.02,1,1,0.02143255939108,1,1,1,1
Astarte,borealis,54.25,14.75,1501:144:2,0.02,1,1,0.018205143951483,1,1,1,1
Astarte,borealis,54.75,14.25,1501:144:3,0.01,1,1,0.023325769854322,0.55833333202948,1,1,1
Astarte,borealis,54.75,14.75,1501:144:4,0.01,1,1,0.019736813768516,0.27500002404364,1,1,1
Astarte,borealis,54.25,15.25,1501:245:1,0.02,1,1,0.01687412136754,1,1,1,1
Astarte,borealis,54.25,15.75,1501:245:2,0.02,1,1,0.017067334323273,1,1,1,1
Astarte,borealis,54.25,16.25,1501:246:1,0.03,1,1,0.029583057637288,1,1,1,1
Astarte,borealis,54.75,16.25,1501:246:3,0.01,1,1,0.01831230188616,0.66166667609165,1,1,1
Astarte,borealis,54.75,16.75,1501:246:4,0.02,1,1,0.016828941829356,1,1,1,1
Astarte,borealis,54.75,17.25,1501:247:3,0.01,1,1,0.014531280592703,1,1,1,1
Astarte,borealis,54.75,17.75,1501:247:4,0.01,1,1,0.011490217705524,1,1,1,1
Astarte,borealis,54.25,18.75,1501:248:2,0.01,1,1,0.01557609654099,0.73858444285998,1,1,1
Astarte,borealis,54.75,18.25,1501:248:3,0.01,0.82758620689655,1,0.008366647382273,1,1,1,1
Astarte,borealis,54.25,19.75,1501:249:2,0.01,1,0.99255262369273,0.020230188933191,0.66670022851286,1,1,1
Astarte,borealis,54.75,19.25,1501:249:3,0.01,1,0.99812680803947,0.00694490052939,1,1,1,1
Astarte,borealis,55.25,12.75,1501:352:2,0.04,1,1,0.037035985900746,1,1,1,1
Astarte,borealis,55.25,13.25,1501:353:1,0.01,1,1,0.028439326672376,0.34333334413047,1,1,1
Astarte,borealis,55.75,14.25,1501:354:3,0.01,1,1,0.009754770433355,1,1,1,1
Astarte,borealis,55.75,14.75,1501:354:4,0.01,1,1,0.0088002092207024,1,1,1,1
Astarte,borealis,56.25,14.75,1501:364:2,0.12,1,1,0.1161428530837,1,1,1,1
Astarte,borealis,55.25,16.75,1501:456:2,0.01,1,1,0.012685988611935,0.42166664334945,1,1,1
Astarte,borealis,55.25,17.25,1501:457:1,0.01,1,1,0.010965383809296,0.60833332470307,1,1,1
Astarte,borealis,55.25,17.75,1501:457:2,0.01,1,1,0.010544212433129,1,1,1,1
Astarte,borealis,55.25,18.25,1501:458:1,0.01,1,1,0.010262857641642,1,1,1,1
Astarte,borealis,55.25,18.75,1501:458:2,0.01,1,1,0.010086860907156,1,1,1,1
Astarte,borealis,55.75,18.75,1501:458:4,0.01,1,1,0.0080353916343507,0.63666667975485,1,1,1
Astarte,borealis,55.25,19.25,1501:459:1,0.01,1,1,0.0094566689539267,1,1,1,1
Astarte,borealis,55.25,19.75,1501:459:2,0.01,1,1,0.0073952351409442,1,1,1,1
Astarte,borealis,55.75,19.25,1501:459:3,0.01,1,1,0.0089714323665694,1,1,1,1
Astarte,borealis,55.75,19.75,1501:459:4,0.01,1,1,0.0082409167967948,1,1,1,1
Astarte,borealis,56.25,15.25,1501:465:1,0.04,1,1,0.038424917592522,1,1,1,1
Astarte,borealis,54.75,20.75,1502:140:4,0.01,1,1,0.0060450138617916,0.8450356271156,1,1,1
Astarte,borealis,54.75,21.25,1502:141:3,0.01,1,1,0.0090197421267987,0.86168660546482,1,1,1
Astarte,borealis,55.75,20.25,1502:350:3,0.01,1,1,0.005006301846494,1,1,1,1
Astarte,borealis,56.25,20.25,1502:360:1,0.01,1,1,0.0052553631805487,1,1,1,1
Astarte,borealis,50.25,144.75,1514:104:2,0.07,0.071428571428571,1,1,0.99343448963861,1,1,1
Astarte,borealis,52.75,141.25,1514:121:3,0.17,1,1,0.97980356529453,0.1718904189409,1,1,1
Astarte,borealis,52.75,141.75,1514:121:4,0.18,1,1,0.96365850603033,0.18201912806318,1,1,1
Astarte,borealis,55.25,140.75,1514:350:2,0.06,0.057142857142857,1,1,1,1,1,1
Astarte,borealis,55.25,144.75,1514:354:2,0.05,0.05,1,1,1,1,1,1
Astarte,borealis,55.25,145.25,1514:455:1,0.15,0.15,1,1,1,1,1,1
Astarte,borealis,55.25,145.75,1514:455:2,0.04,0.042857142857143,1,1,1,1,1,1
Astarte,borealis,55.25,149.75,1514:459:2,0.01,0.0071428571428571,1,1,1,1,1,1
Astarte,borealis,54.75,151.25,1515:141:3,0.09,0.085714285714286,1,1,1,1,1,1
Astarte,borealis,54.75,154.75,1515:144:4,0.17,0.20714285714286,1,1,0.81408775645253,1,1,1
Astarte,borealis,55.25,150.25,1515:350:1,0.06,0.064285714285714,1,1,1,1,1,1
Astarte,borealis,55.25,150.75,1515:350:2,0.19,0.19285714285714,1,1,1,1,1,1
Astarte,borealis,55.75,151.75,1515:351:4,0.13,0.12857142857143,1,1,1,1,1,1
Astarte,borealis,55.25,152.25,1515:352:1,0.08,0.078571428571429,1,1,1,1,1,1
Astarte,borealis,56.75,154.75,1515:364:4,0.14,0.13571428571429,1,1,1,1,1,1
Astarte,borealis,58.25,155.25,1515:485:1,0.09,0.092857142857143,1,1,1,1,1,1
Astarte,borealis,59.75,156.75,1515:496:4,0.16,0.15714285714286,1,1,1,1,1,1
Astarte,borealis,52.75,160.75,1516:120:4,0.06,0.064285714285714,1,1,1,1,1,1
Astarte,borealis,52.75,174.75,1517:124:4,0.09,0.092857142857143,1,1,1,1,1,1
Astarte,borealis,62.25,1.25,1600:121:1,0.09,0.10714285714286,1,0.87446798445125,1,1,1,1
Astarte,borealis,63.75,5.75,1600:235:4,0.13,0.12857142857143,1,1,1,1,1,1
Astarte,borealis,64.25,6.25,1600:246:1,0.16,0.16428571428571,1,0.99317881077195,1,1,1,1
Astarte,borealis,64.75,6.25,1600:246:3,0.06,0.057142857142857,1,0.96974607559827,1,1,1,1
