Mapping parameters for Asterias rubens (common starfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 ,
Bounding Box (NSWE): ,72,28,-81,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,400,650
Temperature (°C),1,2.3,8.16,13.07,25.36
Salinity (psu),1,5.21,28.86,35.14,39.48
Primary Production (mgC·m-3·day-1) ,1,1.16,3.05,18.39,48.18
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.12
Dissolved Bottom Oxygen (mmol·m-3),0,4.37,216.33,300.22,408.48
Distance to Land (km),0,0,4,203,902
 

Map data (HSPEC) for predicted occurrences (n = 3152): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Asterias,rubens,52.25,4.25,1500:124:1,0.06,,,,,,,
Asterias,rubens,53.75,9.25,1500:239:3,0.11,,,,,,,
Asterias,rubens,53.75,13.75,1501:133:4,0.10,,,,,,,
Asterias,rubens,53.75,14.25,1501:134:3,0.05,,,,,,,
Asterias,rubens,53.75,14.75,1501:134:4,0.11,,,,,,,
Asterias,rubens,54.25,11.75,1501:141:2,0.12,,,,,,,
Asterias,rubens,54.75,11.75,1501:141:4,0.19,,,,,,,
Asterias,rubens,54.25,12.25,1501:142:1,0.10,,,,,,,
Asterias,rubens,54.25,12.75,1501:142:2,0.12,,,,,,,
Asterias,rubens,54.75,12.25,1501:142:3,0.04,,,,,,,
Asterias,rubens,54.75,12.75,1501:142:4,0.02,,,,,,,
Asterias,rubens,54.25,13.25,1501:143:1,0.10,,,,,,,
Asterias,rubens,54.25,13.75,1501:143:2,0.09,,,,,,,
Asterias,rubens,54.75,13.25,1501:143:3,0.01,,,,,,,
Asterias,rubens,54.25,14.25,1501:144:1,0.09,,,,,,,
Asterias,rubens,54.25,14.75,1501:144:2,0.08,,,,,,,
Asterias,rubens,54.25,15.25,1501:245:1,0.06,,,,,,,
Asterias,rubens,54.25,15.75,1501:245:2,0.04,,,,,,,
Asterias,rubens,54.25,16.25,1501:246:1,0.09,,,,,,,
Asterias,rubens,54.75,16.75,1501:246:4,0.03,,,,,,,
Asterias,rubens,54.75,17.25,1501:247:3,0.07,,,,,,,
Asterias,rubens,54.75,17.75,1501:247:4,0.08,,,,,,,
Asterias,rubens,54.25,18.75,1501:248:2,0.07,,,,,,,
Asterias,rubens,54.75,18.25,1501:248:3,0.08,,,,,,,
Asterias,rubens,54.75,18.75,1501:248:4,0.06,,,,,,,
Asterias,rubens,54.25,19.25,1501:249:1,0.04,,,,,,,
Asterias,rubens,54.25,19.75,1501:249:2,0.06,,,,,,,
Asterias,rubens,54.75,19.25,1501:249:3,0.07,,,,,,,
Asterias,rubens,54.75,19.75,1501:249:4,0.07,,,,,,,
Asterias,rubens,55.25,12.25,1501:352:1,0.19,,,,,,,
Asterias,rubens,55.25,12.75,1501:352:2,0.03,,,,,,,
Asterias,rubens,55.75,14.25,1501:354:3,0.08,,,,,,,
Asterias,rubens,55.75,14.75,1501:354:4,0.05,,,,,,,
Asterias,rubens,56.25,14.75,1501:364:2,0.16,,,,,,,
Asterias,rubens,55.25,17.75,1501:457:2,0.02,,,,,,,
