Mapping parameters for Balistes polylepis (Finescale triggerfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  67 |  77 |  87 ,
Bounding Box (NSWE): ,38,-30,-180,-70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,8,32,60
Temperature (°C),1,12.54,22.35,28.59,32.79
Salinity (psu),1,29.83,32.11,35.27,36.87
Primary Production (mgC·m-3·day-1) ,1,0.56,1.56,37.39,100.04
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,15.4,213.01,314.92
Distance to Land (km),0,0,9,1450,2094
 

Map data (HSPEC) for predicted occurrences (n = 640): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Balistes,polylepis,37.25,-122.75,7312:372:2,0.01
Balistes,polylepis,37.25,-122.25,7312:372:1,0.01
Balistes,polylepis,36.75,-122.25,7312:362:3,0.02
Balistes,polylepis,36.75,-121.75,7312:361:4,0.03
Balistes,polylepis,36.25,-121.75,7312:361:2,0.05
Balistes,polylepis,36.25,-121.25,7312:361:1,0.06
Balistes,polylepis,35.75,-121.25,7312:351:3,0.08
Balistes,polylepis,35.25,-120.75,7312:350:2,0.12
Balistes,polylepis,34.75,-120.75,7312:140:4,0.09
Balistes,polylepis,34.75,-120.25,7312:140:3,0.18
Balistes,polylepis,32.75,-119.25,7311:229:3,0.13
Balistes,polylepis,30.75,-113.75,7311:103:4,0.15
Balistes,polylepis,26.25,-174.75,7217:364:2,0.01
Balistes,polylepis,26.25,-174.25,7217:364:1,0.07
Balistes,polylepis,26.25,-173.75,7217:363:2,0.06
Balistes,polylepis,26.25,-173.25,7217:363:1,0.04
Balistes,polylepis,25.75,-173.75,7217:353:4,0.03
Balistes,polylepis,25.75,-173.25,7217:353:3,0.04
Balistes,polylepis,25.25,-172.25,7217:352:1,0.04
Balistes,polylepis,25.75,-171.75,7217:351:4,0.12
Balistes,polylepis,25.25,-171.25,7217:351:1,0.15
Balistes,polylepis,25.25,-170.25,7217:350:1,0.08
Balistes,polylepis,25.75,-169.25,7216:459:3,0.04
Balistes,polylepis,25.25,-168.25,7216:458:1,0.19
Balistes,polylepis,25.25,-167.75,7216:457:2,0.14
Balistes,polylepis,24.75,-168.25,7216:248:3,0.12
Balistes,polylepis,24.75,-167.75,7216:247:4,0.08
Balistes,polylepis,24.25,-167.25,7216:247:1,0.01
Balistes,polylepis,23.75,-166.25,7216:236:3,0.07
Balistes,polylepis,23.75,-164.75,7216:134:4,0.13
Balistes,polylepis,23.75,-164.25,7216:134:3,0.03
Balistes,polylepis,23.25,-164.75,7216:134:2,0.02
Balistes,polylepis,23.25,-164.25,7216:134:1,0.01
Balistes,polylepis,23.25,-161.75,7216:131:2,0.02
Balistes,polylepis,22.75,-161.25,7216:121:3,0.01
Balistes,polylepis,22.75,-160.75,7216:120:4,0.11
Balistes,polylepis,21.75,-160.25,7216:110:3,0.16
Balistes,polylepis,20.75,-157.75,7215:207:4,0.10
Balistes,polylepis,25.75,-109.75,7210:459:4,0.18
Balistes,polylepis,21.25,-105.75,7210:215:2,0.11
Balistes,polylepis,16.75,-169.75,7116:469:4,0.02
Balistes,polylepis,16.75,-169.25,7116:469:3,0.02
Balistes,polylepis,18.25,-114.75,7111:384:2,0.13
Balistes,polylepis,18.75,-111.25,7111:381:3,0.04
Balistes,polylepis,14.25,-91.25,7109:141:1,0.17
Balistes,polylepis,12.75,-89.25,7108:229:3,0.03
Balistes,polylepis,11.75,-87.25,7108:217:3,0.11
Balistes,polylepis,7.25,-77.75,7007:477:2,0.18
Balistes,polylepis,6.75,-77.75,7007:467:4,0.18
Balistes,polylepis,4.75,-77.25,7007:247:3,0.16
Balistes,polylepis,4.25,-77.25,7007:247:1,0.09
Balistes,polylepis,3.25,-77.75,7007:237:2,0.18
Balistes,polylepis,3.25,-77.25,7007:237:1,0.17
Balistes,polylepis,2.75,-78.25,7007:228:3,0.04
Balistes,polylepis,-25.75,-89.25,5208:459:3,0.02
Balistes,polylepis,-25.25,-89.25,5208:459:1,0.01
Balistes,polylepis,-28.75,-71.75,5207:381:4,0.13
Balistes,polylepis,-19.25,-174.75,5117:394:2,0.09
Balistes,polylepis,-19.25,-174.25,5117:394:1,0.13
Balistes,polylepis,-15.75,-173.75,5117:353:4,0.05
Balistes,polylepis,-11.25,-171.25,5117:111:1,0.11
Balistes,polylepis,-13.25,-163.25,5116:133:1,0.05
Balistes,polylepis,-17.75,-150.75,5115:370:4,0.19
Balistes,polylepis,-16.25,-152.25,5115:362:1,0.07
Balistes,polylepis,-16.25,-151.75,5115:361:2,0.19
Balistes,polylepis,-16.75,-150.75,5115:360:4,0.17
Balistes,polylepis,-19.75,-144.75,5114:394:4,0.12
Balistes,polylepis,-19.25,-141.25,5114:391:1,0.03
Balistes,polylepis,-18.25,-141.25,5114:381:1,0.12
Balistes,polylepis,-18.25,-140.75,5114:380:2,0.06
Balistes,polylepis,-17.25,-141.25,5114:371:1,0.02
Balistes,polylepis,-17.75,-140.75,5114:370:4,0.06
Balistes,polylepis,-15.75,-140.75,5114:350:4,0.13
Balistes,polylepis,-15.75,-140.25,5114:350:3,0.13
Balistes,polylepis,-17.25,-71.25,5107:371:1,0.09
Balistes,polylepis,-16.25,-73.75,5107:363:2,0.13
Balistes,polylepis,-16.25,-73.25,5107:363:1,0.10
Balistes,polylepis,-16.75,-72.75,5107:362:4,0.15
Balistes,polylepis,-16.25,-72.75,5107:362:2,0.01
Balistes,polylepis,-15.75,-73.75,5107:353:4,0.12
Balistes,polylepis,-12.75,-76.25,5107:226:3,0.15
Balistes,polylepis,-12.25,-76.75,5107:226:2,0.13
Balistes,polylepis,-11.75,-77.25,5107:217:3,0.06
Balistes,polylepis,-11.25,-77.75,5107:217:2,0.13
Balistes,polylepis,-11.25,-77.25,5107:217:1,0.15
Balistes,polylepis,-10.75,-77.75,5107:207:4,0.17
Balistes,polylepis,-10.25,-77.75,5107:207:2,0.19
Balistes,polylepis,-6.75,-80.25,5008:360:3,0.12
Balistes,polylepis,-6.25,-80.25,5008:360:1,0.19
Balistes,polylepis,-8.75,-79.25,5007:489:3,0.08
Balistes,polylepis,34.25,-120.25,7312:140:1,0.20
Balistes,polylepis,33.75,-120.25,7312:130:3,0.24
Balistes,polylepis,34.25,-119.75,7311:249:2,0.25
Balistes,polylepis,34.25,-119.25,7311:249:1,0.28
Balistes,polylepis,34.25,-118.75,7311:248:2,0.32
Balistes,polylepis,33.75,-119.75,7311:239:4,0.32
Balistes,polylepis,33.75,-119.25,7311:239:3,0.36
Balistes,polylepis,33.25,-119.75,7311:239:2,0.28
Balistes,polylepis,33.25,-119.25,7311:239:1,0.37
Balistes,polylepis,33.75,-118.25,7311:238:3,0.38
Balistes,polylepis,31.75,-116.75,7311:216:4,0.39
Balistes,polylepis,30.75,-116.25,7311:206:3,0.38
Balistes,polylepis,25.75,-171.25,7217:351:3,0.22
Balistes,polylepis,25.75,-170.75,7217:350:4,0.35
Balistes,polylepis,25.25,-170.75,7217:350:2,0.26
Balistes,polylepis,22.25,-160.25,7216:120:1,0.32
Balistes,polylepis,21.75,-159.75,7215:219:4,0.30
Balistes,polylepis,21.75,-159.25,7215:219:3,0.34
Balistes,polylepis,21.25,-158.25,7215:218:1,0.37
Balistes,polylepis,29.75,-115.75,7211:495:4,0.34
Balistes,polylepis,14.25,-92.75,7109:142:2,0.23
Balistes,polylepis,10.25,-86.25,7108:206:1,0.24
Balistes,polylepis,8.25,-78.25,7007:488:1,0.36
Balistes,polylepis,7.75,-78.25,7007:478:3,0.29
Balistes,polylepis,7.25,-78.25,7007:478:1,0.32
Balistes,polylepis,6.75,-77.25,7007:467:3,0.28
Balistes,polylepis,6.25,-77.25,7007:467:1,0.28
Balistes,polylepis,5.75,-77.25,7007:457:3,0.25
Balistes,polylepis,5.25,-77.25,7007:457:1,0.22
Balistes,polylepis,3.75,-77.75,7007:237:4,0.27
Balistes,polylepis,2.75,-78.75,7007:228:4,0.37
Balistes,polylepis,2.75,-77.75,7007:227:4,0.21
Balistes,polylepis,-29.25,-177.75,5217:497:2,0.26
Balistes,polylepis,-21.25,-174.75,5217:114:2,0.24
Balistes,polylepis,-20.75,-174.75,5217:104:4,0.32
Balistes,polylepis,-20.25,-174.25,5217:104:1,0.27
Balistes,polylepis,-29.75,-71.75,5207:391:4,0.22
Balistes,polylepis,-29.75,-71.25,5207:391:3,0.20
Balistes,polylepis,-29.25,-71.75,5207:391:2,0.23
Balistes,polylepis,-29.25,-71.25,5207:391:1,0.21
Balistes,polylepis,-28.75,-71.25,5207:381:3,0.21
Balistes,polylepis,-28.25,-71.25,5207:381:1,0.22
Balistes,polylepis,-25.75,-70.75,5207:350:4,0.30
Balistes,polylepis,-25.25,-70.75,5207:350:2,0.34
Balistes,polylepis,-25.25,-70.25,5207:350:1,0.34
Balistes,polylepis,-24.75,-70.75,5207:140:4,0.39
Balistes,polylepis,-24.75,-70.25,5207:140:3,0.36
Balistes,polylepis,-24.25,-70.25,5207:140:1,0.37
Balistes,polylepis,-23.75,-70.25,5207:130:3,0.38
Balistes,polylepis,-23.25,-70.75,5207:130:2,0.39
Balistes,polylepis,-21.25,-70.25,5207:110:1,0.37
Balistes,polylepis,-20.75,-70.25,5207:100:3,0.32
Balistes,polylepis,-20.25,-70.25,5207:100:1,0.34
Balistes,polylepis,-19.75,-174.75,5117:394:4,0.35
Balistes,polylepis,-19.75,-174.25,5117:394:3,0.28
Balistes,polylepis,-13.25,-172.75,5117:132:2,0.22
Balistes,polylepis,-13.25,-172.25,5117:132:1,0.27
Balistes,polylepis,-16.75,-151.75,5115:361:4,0.36
Balistes,polylepis,-16.75,-151.25,5115:361:3,0.33
Balistes,polylepis,-17.75,-149.25,5114:479:3,0.38
Balistes,polylepis,-17.25,-149.75,5114:479:2,0.30
Balistes,polylepis,-17.25,-149.25,5114:479:1,0.35
Balistes,polylepis,-16.75,-149.75,5114:469:4,0.28
Balistes,polylepis,-18.75,-141.75,5114:381:4,0.20
Balistes,polylepis,-17.75,-142.25,5114:372:3,0.32
Balistes,polylepis,-15.25,-75.25,5107:455:1,0.36
Balistes,polylepis,-19.75,-70.25,5107:390:3,0.33
Balistes,polylepis,-19.25,-70.25,5107:390:1,0.34
Balistes,polylepis,-18.75,-70.25,5107:380:3,0.34
