Mapping parameters for Bathypterois dubius (Mediterranean spiderfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  34 |  37 ,
Bounding Box (NSWE): ,60,6,-69,37

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,260,2100,2300,2800
Temperature (°C),1,1.43,2.29,14.04,27.88
Salinity (psu),1,29.69,34.9,38.69,39.19
Primary Production (mgC·m-3·day-1) ,1,-0.42,0.58,11.25,66.68
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,83.16,181.24,269.4,344.95
Distance to Land (km),0,13,71,463,1236
 

Map data (HSPEC) for predicted occurrences (n = 3226): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathypterois,dubius,56.25,-40.75,7504:360:2,0.06
Bathypterois,dubius,52.75,-40.25,7504:120:3,0.17
Bathypterois,dubius,51.75,-40.75,7504:110:4,0.04
Bathypterois,dubius,55.75,-39.25,7503:459:3,0.05
Bathypterois,dubius,55.25,-39.75,7503:459:2,0.04
Bathypterois,dubius,55.25,-38.75,7503:458:2,0.15
Bathypterois,dubius,54.75,-39.75,7503:249:4,0.15
Bathypterois,dubius,54.75,-39.25,7503:249:3,0.17
Bathypterois,dubius,54.25,-39.25,7503:249:1,0.16
Bathypterois,dubius,53.75,-38.25,7503:238:3,0.09
Bathypterois,dubius,53.25,-38.25,7503:238:1,0.07
Bathypterois,dubius,53.25,-37.75,7503:237:2,0.17
Bathypterois,dubius,51.75,-39.75,7503:219:4,0.03
Bathypterois,dubius,54.25,-31.25,7503:141:1,0.08
Bathypterois,dubius,54.25,-30.75,7503:140:2,0.02
Bathypterois,dubius,53.75,-31.25,7503:131:3,0.18
Bathypterois,dubius,53.25,-31.75,7503:131:2,0.12
Bathypterois,dubius,52.25,-33.75,7503:123:2,0.12
Bathypterois,dubius,51.75,-33.75,7503:113:4,0.02
Bathypterois,dubius,51.75,-32.75,7503:112:4,0.09
Bathypterois,dubius,51.75,-32.25,7503:112:3,0.02
Bathypterois,dubius,50.75,-31.25,7503:101:3,0.01
Bathypterois,dubius,57.25,-25.25,7502:475:1,0.16
Bathypterois,dubius,56.25,-29.75,7502:469:2,0.14
Bathypterois,dubius,56.75,-27.75,7502:467:4,0.11
Bathypterois,dubius,56.75,-27.25,7502:467:3,0.19
Bathypterois,dubius,56.25,-26.75,7502:466:2,0.10
Bathypterois,dubius,56.75,-25.75,7502:465:4,0.04
Bathypterois,dubius,55.75,-29.25,7502:459:3,0.09
Bathypterois,dubius,55.75,-28.75,7502:458:4,0.10
Bathypterois,dubius,55.75,-28.25,7502:458:3,0.14
Bathypterois,dubius,55.75,-27.75,7502:457:4,0.19
Bathypterois,dubius,55.75,-27.25,7502:457:3,0.18
Bathypterois,dubius,59.75,-21.25,7502:391:3,0.06
Bathypterois,dubius,59.25,-21.75,7502:391:2,0.15
Bathypterois,dubius,59.75,-20.75,7502:390:4,0.06
