Mapping parameters for Bathyraja griseocauda (Graytail skate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  41 |  48 |  87 |  ,
Bounding Box (NSWE): ,-34,-70,-77,-26

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,94,152,316,585
Temperature (°C),1,-1.75,5.83,12.73,19.48
Salinity (psu),1,30.04,33.53,34.53,35.89
Primary Production (mgC·m-3·day-1) ,1,2.64,5.85,19.76,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.35
Dissolved Bottom Oxygen (mmol·m-3),0,83.2,246.35,300.65,333.12
Distance to Land (km),0,4,54,404,617
 

Map data (HSPEC) for predicted occurrences (n = 966): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Bathyraja,griseocauda,-34.25,-52.25,5305:142:1,0.14,1,0.1919643938983,0.91506853076312,0.80081615139236,1,1,1
Bathyraja,griseocauda,-34.75,-52.25,5305:142:3,0.09,1,0.099429728190104,1,0.91296580357665,1,1,1
Bathyraja,griseocauda,-34.75,-52.75,5305:142:4,0.06,0.32758620689655,0.29479704680267,0.73817478824822,0.77299045862915,1,1,1
Bathyraja,griseocauda,-35.75,-52.75,5305:352:4,0.13,1,0.13490132649739,1,0.95183247317708,1,1,1
Bathyraja,griseocauda,-35.75,-53.75,5305:353:4,0.04,0.17241379310345,0.49753323025173,0.60143592637725,0.68426240755295,1,1,1
Bathyraja,griseocauda,-36.25,-54.25,5305:364:1,0.09,0.36206896551724,0.59172983240199,0.62059576258619,0.64719743267147,1,1,1
Bathyraja,griseocauda,-36.75,-54.75,5305:364:4,0.16,0.70689655172414,0.68032688282154,0.55527863598143,0.60354172283956,1,1,1
Bathyraja,griseocauda,-37.25,-55.25,5305:475:1,0.12,0.3448275862069,0.77850419221101,0.69967476481352,0.63521713082666,1,1,1
Bathyraja,griseocauda,-37.75,-55.75,5305:475:4,0.04,0.068965517241379,0.85303758409289,0.87827145814212,0.83597167119416,1,1,1
Bathyraja,griseocauda,-38.75,-57.25,5305:487:3,0.08,0.10344827586207,0.77302981906467,1,0.9899137570449,1,1,1
Bathyraja,griseocauda,-39.75,-58.25,5305:498:3,0.10,0.10344827586207,0.94035374394169,1,1,1,1,1
Bathyraja,griseocauda,-39.75,-58.75,5305:498:4,0.06,0.068965517241379,0.87361420242874,1,1,1,1,1
Bathyraja,griseocauda,-35.75,-72.75,5307:352:4,0.19,1,0.96198745727539,1,0.19618105660742,1,1,1
Bathyraja,griseocauda,-35.25,-73.25,5307:353:1,0.09,0.15985130111524,0.82516966643157,1,0.70349555245759,1,1,1
