Mapping parameters for Bathyraja lindbergi (Commander skate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,200,846,2000
Temperature (°C),1,3.08,4.13,8.79,27.04
Salinity (psu),1,28.12,32.07,33.07,34.24
Primary Production (mgC·m-3·day-1) ,1,2.55,5.3,16.31,39.6
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.03,0.1
Dissolved Bottom Oxygen (mmol·m-3),0,25.2,35.61,274.43,342.42
Distance to Land (km),0,14,16,309,520.5
 

Map data (HSPEC) for predicted occurrences (n = 2695): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathyraja,lindbergi,16.75,107.25,1110:467:3,0.02
Bathyraja,lindbergi,16.75,107.75,1110:467:4,0.02
Bathyraja,lindbergi,16.25,108.25,1110:468:1,0.02
Bathyraja,lindbergi,17.25,106.75,1110:476:2,0.01
Bathyraja,lindbergi,17.75,106.25,1110:476:3,0.03
Bathyraja,lindbergi,17.75,106.75,1110:476:4,0.03
Bathyraja,lindbergi,17.25,107.25,1110:477:1,0.02
Bathyraja,lindbergi,17.25,107.75,1110:477:2,0.01
Bathyraja,lindbergi,17.75,107.25,1110:477:3,0.01
Bathyraja,lindbergi,18.75,105.75,1110:485:4,0.03
Bathyraja,lindbergi,18.25,106.25,1110:486:1,0.04
Bathyraja,lindbergi,18.25,106.75,1110:486:2,0.03
Bathyraja,lindbergi,18.75,106.25,1110:486:3,0.03
Bathyraja,lindbergi,18.75,106.75,1110:486:4,0.02
Bathyraja,lindbergi,18.25,107.25,1110:487:1,0.01
Bathyraja,lindbergi,18.75,107.25,1110:487:3,0.01
Bathyraja,lindbergi,19.25,105.75,1110:495:2,0.01
Bathyraja,lindbergi,19.75,105.75,1110:495:4,0.01
Bathyraja,lindbergi,19.25,106.25,1110:496:1,0.03
Bathyraja,lindbergi,19.25,106.75,1110:496:2,0.03
Bathyraja,lindbergi,19.75,106.75,1110:496:4,0.05
Bathyraja,lindbergi,19.25,107.25,1110:497:1,0.01
Bathyraja,lindbergi,19.25,107.75,1110:497:2,0.02
Bathyraja,lindbergi,19.75,107.25,1110:497:3,0.02
Bathyraja,lindbergi,19.75,107.75,1110:497:4,0.02
Bathyraja,lindbergi,19.25,108.25,1110:498:1,0.02
Bathyraja,lindbergi,19.25,108.75,1110:498:2,0.01
Bathyraja,lindbergi,19.75,108.25,1110:498:3,0.03
Bathyraja,lindbergi,19.75,108.75,1110:498:4,0.04
Bathyraja,lindbergi,19.75,109.25,1110:499:3,0.02
Bathyraja,lindbergi,18.75,110.75,1111:380:4,0.01
Bathyraja,lindbergi,19.25,110.75,1111:390:2,0.01
Bathyraja,lindbergi,19.75,110.75,1111:390:4,0.02
Bathyraja,lindbergi,19.25,111.25,1111:391:1,0.01
Bathyraja,lindbergi,19.75,111.25,1111:391:3,0.02
Bathyraja,lindbergi,20.25,106.25,1210:206:1,0.01
Bathyraja,lindbergi,20.25,106.75,1210:206:2,0.04
Bathyraja,lindbergi,20.75,106.75,1210:206:4,0.04
Bathyraja,lindbergi,20.25,107.25,1210:207:1,0.04
Bathyraja,lindbergi,20.25,107.75,1210:207:2,0.03
Bathyraja,lindbergi,20.75,107.25,1210:207:3,0.01
Bathyraja,lindbergi,20.75,107.75,1210:207:4,0.02
Bathyraja,lindbergi,20.25,108.25,1210:208:1,0.03
Bathyraja,lindbergi,20.25,108.75,1210:208:2,0.02
Bathyraja,lindbergi,20.75,108.25,1210:208:3,0.03
Bathyraja,lindbergi,20.75,108.75,1210:208:4,0.01
Bathyraja,lindbergi,20.25,109.25,1210:209:1,0.02
Bathyraja,lindbergi,20.25,109.75,1210:209:2,0.04
Bathyraja,lindbergi,20.75,109.25,1210:209:3,0.03
Bathyraja,lindbergi,20.75,109.75,1210:209:4,0.03
Bathyraja,lindbergi,21.25,107.75,1210:217:2,0.03
Bathyraja,lindbergi,21.25,108.25,1210:218:1,0.02
Bathyraja,lindbergi,21.25,108.75,1210:218:2,0.03
Bathyraja,lindbergi,21.75,108.25,1210:218:3,0.02
Bathyraja,lindbergi,21.75,108.75,1210:218:4,0.01
Bathyraja,lindbergi,21.25,109.25,1210:219:1,0.02
Bathyraja,lindbergi,21.25,109.75,1210:219:2,0.01
Bathyraja,lindbergi,20.25,110.25,1211:100:1,0.03
Bathyraja,lindbergi,20.75,110.25,1211:100:3,0.01
Bathyraja,lindbergi,20.25,111.25,1211:101:1,0.01
Bathyraja,lindbergi,20.25,111.75,1211:101:2,0.01
Bathyraja,lindbergi,20.75,111.25,1211:101:3,0.01
Bathyraja,lindbergi,20.75,111.75,1211:101:4,0.01
Bathyraja,lindbergi,20.25,112.25,1211:102:1,0.01
Bathyraja,lindbergi,20.75,112.25,1211:102:3,0.01
Bathyraja,lindbergi,20.75,112.75,1211:102:4,0.01
Bathyraja,lindbergi,20.75,113.25,1211:103:3,0.01
Bathyraja,lindbergi,20.75,113.75,1211:103:4,0.01
Bathyraja,lindbergi,21.25,110.75,1211:110:2,0.01
Bathyraja,lindbergi,21.25,111.25,1211:111:1,0.01
Bathyraja,lindbergi,21.25,111.75,1211:111:2,0.01
Bathyraja,lindbergi,21.25,112.25,1211:112:1,0.01
Bathyraja,lindbergi,21.25,112.75,1211:112:2,0.02
Bathyraja,lindbergi,21.75,112.25,1211:112:3,0.01
Bathyraja,lindbergi,21.25,113.25,1211:113:1,0.01
Bathyraja,lindbergi,21.25,113.75,1211:113:2,0.02
Bathyraja,lindbergi,21.25,114.25,1211:114:1,0.02
Bathyraja,lindbergi,21.25,114.75,1211:114:2,0.01
Bathyraja,lindbergi,21.75,114.25,1211:114:3,0.01
Bathyraja,lindbergi,21.75,114.75,1211:114:4,0.02
Bathyraja,lindbergi,21.75,115.25,1211:215:3,0.02
Bathyraja,lindbergi,21.75,115.75,1211:215:4,0.02
Bathyraja,lindbergi,21.75,116.25,1211:216:3,0.02
Bathyraja,lindbergi,21.75,116.75,1211:216:4,0.02
Bathyraja,lindbergi,21.75,117.25,1211:217:3,0.01
Bathyraja,lindbergi,21.75,117.75,1211:217:4,0.01
Bathyraja,lindbergi,22.25,115.25,1211:225:1,0.01
Bathyraja,lindbergi,22.25,115.75,1211:225:2,0.02
Bathyraja,lindbergi,22.75,115.25,1211:225:3,0.02
Bathyraja,lindbergi,22.75,115.75,1211:225:4,0.02
Bathyraja,lindbergi,22.25,116.25,1211:226:1,0.03
Bathyraja,lindbergi,22.25,116.75,1211:226:2,0.03
Bathyraja,lindbergi,22.75,116.25,1211:226:3,0.02
Bathyraja,lindbergi,22.75,116.75,1211:226:4,0.02
Bathyraja,lindbergi,22.25,117.25,1211:227:1,0.03
Bathyraja,lindbergi,22.25,117.75,1211:227:2,0.03
Bathyraja,lindbergi,22.75,117.25,1211:227:3,0.06
