Mapping parameters for Bathyraja minispinosa (Whitebrow skate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,150,314,693,1420
Temperature (°C),1,1.64,3.37,6.13,19.06
Salinity (psu),1,31.71,32.21,33.21,34.15
Primary Production (mgC·m-3·day-1) ,1,1.3,4.67,19.09,39.6
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.07,0.09
Dissolved Bottom Oxygen (mmol·m-3),0,25.73,44.06,230.53,394.03
Distance to Land (km),0,16,17,356,617
 

Map data (HSPEC) for predicted occurrences (n = 1073): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathyraja,minispinosa,33.25,125.25,1312:235:1,0.01
Bathyraja,minispinosa,35.75,129.75,1312:459:4,0.03
Bathyraja,minispinosa,36.25,129.25,1312:469:1,0.02
Bathyraja,minispinosa,36.25,129.75,1312:469:2,0.08
Bathyraja,minispinosa,36.75,129.75,1312:469:4,0.11
Bathyraja,minispinosa,37.25,129.25,1312:479:1,0.13
Bathyraja,minispinosa,37.25,129.75,1312:479:2,0.13
Bathyraja,minispinosa,37.75,129.25,1312:479:3,0.19
Bathyraja,minispinosa,37.75,129.75,1312:479:4,0.15
Bathyraja,minispinosa,38.25,129.25,1312:489:1,0.17
Bathyraja,minispinosa,38.25,129.75,1312:489:2,0.07
Bathyraja,minispinosa,38.75,129.25,1312:489:3,0.02
Bathyraja,minispinosa,38.75,129.75,1312:489:4,0.12
Bathyraja,minispinosa,39.25,127.25,1312:497:1,0.14
Bathyraja,minispinosa,39.25,128.75,1312:498:2,0.10
Bathyraja,minispinosa,39.25,129.25,1312:499:1,0.09
Bathyraja,minispinosa,39.25,129.75,1312:499:2,0.11
Bathyraja,minispinosa,39.75,129.25,1312:499:3,0.14
Bathyraja,minispinosa,39.75,129.75,1312:499:4,0.19
Bathyraja,minispinosa,35.75,130.25,1313:350:3,0.03
Bathyraja,minispinosa,35.75,130.75,1313:350:4,0.04
Bathyraja,minispinosa,35.75,131.25,1313:351:3,0.03
Bathyraja,minispinosa,35.75,131.75,1313:351:4,0.02
Bathyraja,minispinosa,35.75,133.25,1313:353:3,0.01
Bathyraja,minispinosa,35.75,133.75,1313:353:4,0.01
Bathyraja,minispinosa,35.75,134.25,1313:354:3,0.02
Bathyraja,minispinosa,35.75,134.75,1313:354:4,0.02
Bathyraja,minispinosa,36.25,130.25,1313:360:1,0.07
Bathyraja,minispinosa,36.75,130.25,1313:360:3,0.09
Bathyraja,minispinosa,36.25,131.25,1313:361:1,0.04
Bathyraja,minispinosa,36.25,131.75,1313:361:2,0.05
Bathyraja,minispinosa,36.25,132.25,1313:362:1,0.03
Bathyraja,minispinosa,36.25,132.75,1313:362:2,0.02
Bathyraja,minispinosa,36.75,132.25,1313:362:3,0.02
Bathyraja,minispinosa,36.75,132.75,1313:362:4,0.05
Bathyraja,minispinosa,36.25,133.25,1313:363:1,0.02
Bathyraja,minispinosa,36.25,133.75,1313:363:2,0.03
Bathyraja,minispinosa,36.75,133.25,1313:363:3,0.04
Bathyraja,minispinosa,36.75,133.75,1313:363:4,0.04
Bathyraja,minispinosa,36.25,134.25,1313:364:1,0.03
Bathyraja,minispinosa,36.25,134.75,1313:364:2,0.03
Bathyraja,minispinosa,36.75,134.25,1313:364:3,0.04
Bathyraja,minispinosa,36.75,134.75,1313:364:4,0.04
Bathyraja,minispinosa,37.25,130.25,1313:370:1,0.05
Bathyraja,minispinosa,37.25,130.75,1313:370:2,0.09
Bathyraja,minispinosa,37.75,130.25,1313:370:3,0.05
Bathyraja,minispinosa,37.75,130.75,1313:370:4,0.10
Bathyraja,minispinosa,37.25,131.75,1313:371:2,0.08
Bathyraja,minispinosa,37.75,131.25,1313:371:3,0.08
Bathyraja,minispinosa,37.75,131.75,1313:371:4,0.08
Bathyraja,minispinosa,37.25,132.25,1313:372:1,0.08
Bathyraja,minispinosa,37.25,132.75,1313:372:2,0.06
Bathyraja,minispinosa,37.75,132.75,1313:372:4,0.07
Bathyraja,minispinosa,37.25,133.25,1313:373:1,0.05
Bathyraja,minispinosa,37.25,133.75,1313:373:2,0.04
Bathyraja,minispinosa,37.75,133.25,1313:373:3,0.06
Bathyraja,minispinosa,37.75,133.75,1313:373:4,0.05
Bathyraja,minispinosa,37.25,134.75,1313:374:2,0.04
Bathyraja,minispinosa,37.75,134.25,1313:374:3,0.05
Bathyraja,minispinosa,38.25,130.25,1313:380:1,0.08
Bathyraja,minispinosa,38.25,131.25,1313:381:1,0.12
Bathyraja,minispinosa,38.25,131.75,1313:381:2,0.11
Bathyraja,minispinosa,38.75,131.25,1313:381:3,0.01
Bathyraja,minispinosa,38.25,132.25,1313:382:1,0.07
Bathyraja,minispinosa,38.25,132.75,1313:382:2,0.06
Bathyraja,minispinosa,38.25,133.25,1313:383:1,0.04
Bathyraja,minispinosa,38.25,133.75,1313:383:2,0.05
Bathyraja,minispinosa,38.75,133.75,1313:383:4,0.06
Bathyraja,minispinosa,38.25,134.25,1313:384:1,0.05
Bathyraja,minispinosa,38.25,134.75,1313:384:2,0.01
Bathyraja,minispinosa,38.75,134.25,1313:384:3,0.06
Bathyraja,minispinosa,38.75,134.75,1313:384:4,0.04
Bathyraja,minispinosa,39.25,130.25,1313:390:1,0.05
Bathyraja,minispinosa,39.75,130.25,1313:390:3,0.04
Bathyraja,minispinosa,39.25,133.25,1313:393:1,0.06
Bathyraja,minispinosa,39.25,133.75,1313:393:2,0.07
Bathyraja,minispinosa,39.75,133.25,1313:393:3,0.10
Bathyraja,minispinosa,39.75,133.75,1313:393:4,0.10
Bathyraja,minispinosa,39.25,134.25,1313:394:1,0.07
Bathyraja,minispinosa,39.25,134.75,1313:394:2,0.08
Bathyraja,minispinosa,39.75,134.25,1313:394:3,0.10
Bathyraja,minispinosa,39.75,134.75,1313:394:4,0.10
Bathyraja,minispinosa,35.75,135.25,1313:455:3,0.02
Bathyraja,minispinosa,35.75,135.75,1313:455:4,0.02
Bathyraja,minispinosa,36.25,135.25,1313:465:1,0.03
Bathyraja,minispinosa,36.25,135.75,1313:465:2,0.04
Bathyraja,minispinosa,36.75,135.25,1313:465:3,0.04
Bathyraja,minispinosa,36.75,135.75,1313:465:4,0.04
Bathyraja,minispinosa,36.25,136.25,1313:466:1,0.02
Bathyraja,minispinosa,36.75,136.25,1313:466:3,0.05
Bathyraja,minispinosa,36.75,136.75,1313:466:4,0.02
Bathyraja,minispinosa,36.75,137.25,1313:467:3,0.03
Bathyraja,minispinosa,37.25,135.25,1313:475:1,0.04
Bathyraja,minispinosa,37.25,135.75,1313:475:2,0.05
Bathyraja,minispinosa,37.25,136.25,1313:476:1,0.05
Bathyraja,minispinosa,37.25,136.75,1313:476:2,0.06
Bathyraja,minispinosa,37.75,136.25,1313:476:3,0.06
Bathyraja,minispinosa,37.75,136.75,1313:476:4,0.06
Bathyraja,minispinosa,37.25,137.25,1313:477:1,0.06
Bathyraja,minispinosa,37.25,137.75,1313:477:2,0.06
Bathyraja,minispinosa,37.75,137.25,1313:477:3,0.06
Bathyraja,minispinosa,37.75,137.75,1313:477:4,0.07
Bathyraja,minispinosa,37.25,138.25,1313:478:1,0.10
Bathyraja,minispinosa,37.75,138.25,1313:478:3,0.12
Bathyraja,minispinosa,37.75,138.75,1313:478:4,0.12
Bathyraja,minispinosa,38.25,136.25,1313:486:1,0.01
Bathyraja,minispinosa,38.25,136.75,1313:486:2,0.06
Bathyraja,minispinosa,38.75,136.75,1313:486:4,0.07
Bathyraja,minispinosa,38.25,137.25,1313:487:1,0.06
Bathyraja,minispinosa,38.25,137.75,1313:487:2,0.05
Bathyraja,minispinosa,38.75,137.25,1313:487:3,0.07
Bathyraja,minispinosa,38.25,138.25,1313:488:1,0.11
Bathyraja,minispinosa,38.25,138.75,1313:488:2,0.12
Bathyraja,minispinosa,38.75,138.25,1313:488:3,0.08
Bathyraja,minispinosa,38.75,138.75,1313:488:4,0.08
Bathyraja,minispinosa,38.25,139.25,1313:489:1,0.05
Bathyraja,minispinosa,38.75,139.25,1313:489:3,0.13
Bathyraja,minispinosa,38.75,139.75,1313:489:4,0.17
Bathyraja,minispinosa,39.25,135.25,1313:495:1,0.07
Bathyraja,minispinosa,39.25,135.75,1313:495:2,0.07
Bathyraja,minispinosa,39.75,135.25,1313:495:3,0.10
Bathyraja,minispinosa,39.75,135.75,1313:495:4,0.09
Bathyraja,minispinosa,39.25,136.25,1313:496:1,0.02
Bathyraja,minispinosa,39.75,136.25,1313:496:3,0.08
Bathyraja,minispinosa,39.25,138.25,1313:498:1,0.04
Bathyraja,minispinosa,39.25,138.75,1313:498:2,0.08
Bathyraja,minispinosa,39.75,138.75,1313:498:4,0.08
Bathyraja,minispinosa,39.25,139.25,1313:499:1,0.11
Bathyraja,minispinosa,39.25,139.75,1313:499:2,0.17
Bathyraja,minispinosa,39.75,139.25,1313:499:3,0.11
Bathyraja,minispinosa,39.75,139.75,1313:499:4,0.17
Bathyraja,minispinosa,36.75,140.75,1314:360:4,0.03
Bathyraja,minispinosa,36.75,141.25,1314:361:3,0.04
Bathyraja,minispinosa,36.75,141.75,1314:361:4,0.01
Bathyraja,minispinosa,37.25,141.25,1314:371:1,0.10
Bathyraja,minispinosa,37.25,141.75,1314:371:2,0.06
Bathyraja,minispinosa,37.75,141.75,1314:371:4,0.12
Bathyraja,minispinosa,37.25,142.25,1314:372:1,0.03
Bathyraja,minispinosa,37.25,142.75,1314:372:2,0.01
Bathyraja,minispinosa,37.75,142.25,1314:372:3,0.07
Bathyraja,minispinosa,37.75,142.75,1314:372:4,0.02
Bathyraja,minispinosa,38.25,141.25,1314:381:1,0.07
Bathyraja,minispinosa,38.25,141.75,1314:381:2,0.18
Bathyraja,minispinosa,38.25,142.25,1314:382:1,0.12
Bathyraja,minispinosa,38.25,142.75,1314:382:2,0.03
Bathyraja,minispinosa,38.75,142.25,1314:382:3,0.18
Bathyraja,minispinosa,38.75,142.75,1314:382:4,0.07
Bathyraja,minispinosa,39.75,141.75,1314:391:4,0.11
Bathyraja,minispinosa,39.25,142.75,1314:392:2,0.15
Bathyraja,minispinosa,39.75,143.25,1314:393:3,0.04
Bathyraja,minispinosa,40.75,130.25,1413:100:3,0.04
Bathyraja,minispinosa,40.25,133.75,1413:103:2,0.12
Bathyraja,minispinosa,40.25,134.25,1413:104:1,0.12
Bathyraja,minispinosa,40.25,134.75,1413:104:2,0.12
Bathyraja,minispinosa,40.25,135.25,1413:205:1,0.15
Bathyraja,minispinosa,40.25,135.75,1413:205:2,0.13
Bathyraja,minispinosa,40.25,136.25,1413:206:1,0.06
Bathyraja,minispinosa,40.25,139.25,1413:209:1,0.02
Bathyraja,minispinosa,40.25,139.75,1413:209:2,0.16
Bathyraja,minispinosa,40.75,139.25,1413:209:3,0.02
Bathyraja,minispinosa,40.75,139.75,1413:209:4,0.15
Bathyraja,minispinosa,41.25,138.75,1413:218:2,0.01
Bathyraja,minispinosa,41.25,139.25,1413:219:1,0.03
Bathyraja,minispinosa,41.25,139.75,1413:219:2,0.13
Bathyraja,minispinosa,41.75,139.25,1413:219:3,0.12
Bathyraja,minispinosa,41.75,139.75,1413:219:4,0.13
Bathyraja,minispinosa,42.25,139.25,1413:229:1,0.13
Bathyraja,minispinosa,42.25,139.75,1413:229:2,0.18
Bathyraja,minispinosa,42.75,139.75,1413:229:4,0.14
Bathyraja,minispinosa,43.25,135.75,1413:235:2,0.01
Bathyraja,minispinosa,43.75,136.75,1413:236:4,0.10
Bathyraja,minispinosa,43.25,139.75,1413:239:2,0.11
Bathyraja,minispinosa,43.75,139.75,1413:239:4,0.13
Bathyraja,minispinosa,44.25,137.25,1413:247:1,0.17
Bathyraja,minispinosa,44.75,137.75,1413:247:4,0.08
Bathyraja,minispinosa,44.25,138.75,1413:248:2,0.08
Bathyraja,minispinosa,44.75,138.25,1413:248:3,0.04
Bathyraja,minispinosa,44.25,139.75,1413:249:2,0.18
Bathyraja,minispinosa,45.25,137.25,1413:457:1,0.09
Bathyraja,minispinosa,45.25,138.25,1413:458:1,0.08
Bathyraja,minispinosa,45.75,138.75,1413:458:4,0.04
Bathyraja,minispinosa,45.75,139.25,1413:459:3,0.03
Bathyraja,minispinosa,46.25,139.75,1413:469:2,0.11
Bathyraja,minispinosa,47.25,138.75,1413:478:2,0.10
Bathyraja,minispinosa,47.25,139.25,1413:479:1,0.11
Bathyraja,minispinosa,40.75,140.25,1414:100:3,0.19
Bathyraja,minispinosa,40.25,143.25,1414:103:1,0.15
Bathyraja,minispinosa,40.75,143.25,1414:103:3,0.12
Bathyraja,minispinosa,41.25,140.25,1414:110:1,0.16
Bathyraja,minispinosa,41.25,140.75,1414:110:2,0.13
Bathyraja,minispinosa,41.75,140.75,1414:110:4,0.19
