Mapping parameters for Bathytoshia lata (Brown stingray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,76,187,357
Temperature (°C),1,24.47,24.97,25.97,30.17
Salinity (psu),1,33.66,34.16,35.16,35.66
Primary Production (mgC·m-3·day-1) ,1,-0.35,0.65,4.99,25.1
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,39.94,40.44,197.49,264.58
Distance to Land (km),0,3,14,127,275
 

Map data (HSPEC) for predicted occurrences (n = 369): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathytoshia,lata,27.25,-176.25,7217:476:1,0.03
Bathytoshia,lata,26.75,-111.25,7211:361:3,0.14
Bathytoshia,lata,22.75,-110.25,7211:120:3,0.15
Bathytoshia,lata,24.75,-107.75,7210:247:4,0.05
Bathytoshia,lata,24.25,-107.75,7210:247:2,0.09
Bathytoshia,lata,22.75,-109.25,7210:229:3,0.11
Bathytoshia,lata,22.75,-106.75,7210:226:4,0.13
Bathytoshia,lata,19.75,-105.75,7110:495:4,0.12
Bathytoshia,lata,19.25,-105.25,7110:495:1,0.11
Bathytoshia,lata,19.25,-104.75,7110:394:2,0.03
Bathytoshia,lata,8.25,-160.25,7016:380:1,0.07
Bathytoshia,lata,1.25,-91.75,7009:111:2,0.19
Bathytoshia,lata,0.25,-90.25,7009:100:1,0.03
Bathytoshia,lata,0.25,-89.75,7008:209:2,0.11
Bathytoshia,lata,-21.25,-159.75,5215:219:2,0.12
Bathytoshia,lata,-21.75,-157.75,5215:217:4,0.09
Bathytoshia,lata,-21.75,-154.75,5215:114:4,0.01
Bathytoshia,lata,-17.25,-173.75,5117:373:2,0.17
Bathytoshia,lata,-14.75,-170.25,5117:140:3,0.16
Bathytoshia,lata,-18.25,-163.25,5116:383:1,0.10
Bathytoshia,lata,-17.75,-163.25,5116:373:3,0.09
Bathytoshia,lata,-14.75,-168.25,5116:248:3,0.18
Bathytoshia,lata,-13.25,-163.25,5116:133:1,0.16
Bathytoshia,lata,-10.25,-161.25,5116:101:1,0.10
Bathytoshia,lata,-10.25,-160.75,5116:100:2,0.09
Bathytoshia,lata,-18.75,-159.75,5115:489:4,0.02
Bathytoshia,lata,-10.25,-152.25,5115:102:1,0.01
Bathytoshia,lata,-10.75,-138.75,5113:208:4,0.07
Bathytoshia,lata,-10.25,-138.75,5113:208:2,0.09
Bathytoshia,lata,-4.75,-174.25,5017:144:3,0.14
Bathytoshia,lata,-4.75,-172.25,5017:142:3,0.13
Bathytoshia,lata,-4.25,-172.25,5017:142:1,0.14
Bathytoshia,lata,-4.25,-171.25,5017:141:1,0.14
Bathytoshia,lata,-3.75,-174.25,5017:134:3,0.16
Bathytoshia,lata,-3.75,-171.25,5017:131:3,0.15
Bathytoshia,lata,-3.25,-171.25,5017:131:1,0.17
Bathytoshia,lata,-3.75,-170.75,5017:130:4,0.15
Bathytoshia,lata,-2.75,-171.75,5017:121:4,0.18
Bathytoshia,lata,-9.75,-161.25,5016:391:3,0.09
Bathytoshia,lata,-8.25,-161.75,5016:381:2,0.05
Bathytoshia,lata,-9.25,-158.25,5015:498:1,0.04
Bathytoshia,lata,-9.25,-157.75,5015:497:2,0.04
Bathytoshia,lata,-8.75,-158.25,5015:488:3,0.03
