Mapping parameters for Belone euxini ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 37,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,12.87,15.49,20.53,22.59
Salinity (psu),1,8.19,16.2,32.77,39.21
Primary Production (mgC·m-3·day-1) ,1,4.33,5.33,27.43,35.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,183.67,210.75,294.82,356.97
Distance to Land (km),0,2,5.3,16.4,23.375
 

Map data (HSPEC) for predicted occurrences (n = 171): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Belone,euxini,38.75,22.75,1302:382:4,0.04
Belone,euxini,36.75,29.25,1302:469:3,0.01
Belone,euxini,38.25,26.75,1302:486:2,0.01
Belone,euxini,38.75,26.75,1302:486:4,0.10
Belone,euxini,38.25,27.25,1302:487:1,0.16
Belone,euxini,39.25,26.25,1302:496:1,0.06
Belone,euxini,36.25,36.25,1303:466:1,0.04
Belone,euxini,36.75,36.25,1303:466:3,0.08
Belone,euxini,43.25,6.25,1400:236:1,0.07
Belone,euxini,42.75,11.25,1401:121:3,0.04
Belone,euxini,44.75,14.25,1401:144:3,0.16
Belone,euxini,40.75,19.25,1401:209:3,0.13
