Mapping parameters for Berardius bairdii (Baird's beaked whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  71 |  77 |  87 ,
Bounding Box (NSWE): ,90,10,60,-100

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1000,4000,8000
Temperature (°C),1,0.33,5.41,21.66,28.95
Salinity (psu),1,26.22,31.14,34.15,35.25
Primary Production (mgC·m-3·day-1) ,1,0.84,3.85,48.37,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.21
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,21.47,271.73,359.29
Distance to Land (km),0,1,11,263,551
 

Map data (HSPEC) for predicted occurrences (n = 16386): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Berardius,bairdii,10.25,108.25,1110:208:1,0.01
Berardius,bairdii,10.25,108.75,1110:208:2,0.01
Berardius,bairdii,10.25,109.25,1110:209:1,0.02
Berardius,bairdii,10.25,109.75,1110:209:2,0.07
Berardius,bairdii,10.75,109.25,1110:209:3,0.03
Berardius,bairdii,10.75,109.75,1110:209:4,0.04
Berardius,bairdii,11.25,109.25,1110:219:1,0.01
Berardius,bairdii,11.25,109.75,1110:219:2,0.04
Berardius,bairdii,11.75,109.25,1110:219:3,0.01
Berardius,bairdii,11.75,109.75,1110:219:4,0.07
Berardius,bairdii,12.25,109.75,1110:229:2,0.08
Berardius,bairdii,12.75,109.75,1110:229:4,0.09
Berardius,bairdii,13.25,109.25,1110:239:1,0.01
Berardius,bairdii,13.25,109.75,1110:239:2,0.10
Berardius,bairdii,13.75,109.25,1110:239:3,0.02
Berardius,bairdii,13.75,109.75,1110:239:4,0.08
Berardius,bairdii,14.75,108.75,1110:248:4,0.01
Berardius,bairdii,14.25,109.25,1110:249:1,0.03
Berardius,bairdii,14.25,109.75,1110:249:2,0.04
Berardius,bairdii,14.75,109.25,1110:249:3,0.04
Berardius,bairdii,14.75,109.75,1110:249:4,0.03
Berardius,bairdii,15.25,108.75,1110:458:2,0.01
Berardius,bairdii,15.75,108.25,1110:458:3,0.01
