Mapping parameters for Berryteuthis magister (schoolmaster gonate squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  77 ,
Bounding Box (NSWE): ,66,31,127,-117

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,197,636,1500
Temperature (°C),1,1.69,4.75,18.27,23.18
Salinity (psu),1,25.51,27.54,33.6,35.56
Primary Production (mgC·m-3·day-1) ,1,3.51,4.78,27.17,48.37
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.01,0.28
Dissolved Bottom Oxygen (mmol·m-3),0,18.89,63.89,297.01,353.35
Distance to Land (km),0,1,7,255,939
 

Map data (HSPEC) for predicted occurrences (n = 9908): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Berryteuthis,magister,31.25,127.25,1312:217:1,0.15
Berryteuthis,magister,31.25,127.75,1312:217:2,0.05
Berryteuthis,magister,31.75,127.25,1312:217:3,0.15
Berryteuthis,magister,31.75,127.75,1312:217:4,0.10
Berryteuthis,magister,31.25,128.25,1312:218:1,0.02
Berryteuthis,magister,31.25,128.75,1312:218:2,0.01
Berryteuthis,magister,31.75,128.25,1312:218:3,0.08
Berryteuthis,magister,31.75,128.75,1312:218:4,0.08
Berryteuthis,magister,31.75,129.25,1312:219:3,0.10
Berryteuthis,magister,31.75,129.75,1312:219:4,0.15
Berryteuthis,magister,32.25,127.25,1312:227:1,0.19
Berryteuthis,magister,32.25,127.75,1312:227:2,0.16
Berryteuthis,magister,32.25,128.25,1312:228:1,0.17
Berryteuthis,magister,32.25,128.75,1312:228:2,0.17
Berryteuthis,magister,32.25,129.25,1312:229:1,0.19
Berryteuthis,magister,33.25,129.75,1312:239:2,0.17
Berryteuthis,magister,35.25,127.75,1312:457:2,0.01
Berryteuthis,magister,35.25,128.25,1312:458:1,0.01
Berryteuthis,magister,38.75,127.75,1312:487:4,0.13
Berryteuthis,magister,38.25,128.25,1312:488:1,0.01
Berryteuthis,magister,31.25,130.25,1313:110:1,0.04
Berryteuthis,magister,31.25,130.75,1313:110:2,0.02
Berryteuthis,magister,31.75,130.25,1313:110:3,0.12
Berryteuthis,magister,31.75,130.75,1313:110:4,0.11
Berryteuthis,magister,31.75,131.25,1313:111:3,0.02
Berryteuthis,magister,32.25,130.25,1313:120:1,0.16
Berryteuthis,magister,32.25,130.75,1313:120:2,0.05
Berryteuthis,magister,32.75,130.75,1313:120:4,0.17
Berryteuthis,magister,32.25,131.75,1313:121:2,0.05
Berryteuthis,magister,32.75,131.75,1313:121:4,0.18
Berryteuthis,magister,32.75,132.25,1313:122:3,0.09
Berryteuthis,magister,32.75,132.75,1313:122:4,0.03
Berryteuthis,magister,33.75,130.75,1313:130:4,0.11
Berryteuthis,magister,33.25,133.25,1313:133:1,0.12
Berryteuthis,magister,33.25,133.75,1313:133:2,0.09
Berryteuthis,magister,33.25,134.25,1313:134:1,0.05
Berryteuthis,magister,34.25,131.25,1313:141:1,0.16
Berryteuthis,magister,34.75,133.75,1313:143:4,0.02
Berryteuthis,magister,31.25,136.25,1313:216:1,0.01
Berryteuthis,magister,31.25,136.75,1313:216:2,0.01
Berryteuthis,magister,31.75,136.75,1313:216:4,0.01
Berryteuthis,magister,31.25,137.25,1313:217:1,0.01
Berryteuthis,magister,31.25,137.75,1313:217:2,0.01
Berryteuthis,magister,31.75,137.25,1313:217:3,0.01
Berryteuthis,magister,32.75,138.75,1313:228:4,0.01
Berryteuthis,magister,32.75,139.25,1313:229:3,0.01
Berryteuthis,magister,32.75,139.75,1313:229:4,0.02
Berryteuthis,magister,33.75,135.25,1313:235:3,0.19
Berryteuthis,magister,33.25,136.75,1313:236:2,0.01
Berryteuthis,magister,33.25,137.25,1313:237:1,0.03
Berryteuthis,magister,33.25,137.75,1313:237:2,0.06
Berryteuthis,magister,33.25,138.25,1313:238:1,0.07
Berryteuthis,magister,33.25,138.75,1313:238:2,0.06
Berryteuthis,magister,33.75,138.25,1313:238:3,0.19
Berryteuthis,magister,33.75,138.75,1313:238:4,0.15
Berryteuthis,magister,33.25,139.25,1313:239:1,0.05
Berryteuthis,magister,33.25,139.75,1313:239:2,0.04
Berryteuthis,magister,33.75,139.25,1313:239:3,0.10
Berryteuthis,magister,33.75,139.75,1313:239:4,0.07
Berryteuthis,magister,34.25,135.25,1313:245:1,0.04
Berryteuthis,magister,34.25,139.75,1313:249:2,0.15
Berryteuthis,magister,38.75,133.75,1313:383:4,0.10
Berryteuthis,magister,38.25,134.75,1313:384:2,0.19
Berryteuthis,magister,39.25,133.75,1313:393:2,0.12
Berryteuthis,magister,35.75,136.25,1313:456:3,0.08
Berryteuthis,magister,35.25,138.75,1313:458:2,0.16
Berryteuthis,magister,36.75,137.75,1313:467:4,0.02
Berryteuthis,magister,31.25,140.75,1314:110:2,0.01
Berryteuthis,magister,31.75,140.75,1314:110:4,0.01
Berryteuthis,magister,31.25,141.25,1314:111:1,0.02
Berryteuthis,magister,31.25,141.75,1314:111:2,0.03
Berryteuthis,magister,31.75,141.25,1314:111:3,0.03
Berryteuthis,magister,31.75,141.75,1314:111:4,0.04
Berryteuthis,magister,31.25,142.25,1314:112:1,0.04
Berryteuthis,magister,31.25,142.75,1314:112:2,0.04
Berryteuthis,magister,31.75,142.25,1314:112:3,0.05
Berryteuthis,magister,31.75,142.75,1314:112:4,0.06
Berryteuthis,magister,31.25,143.25,1314:113:1,0.05
Berryteuthis,magister,31.25,143.75,1314:113:2,0.05
Berryteuthis,magister,31.75,143.25,1314:113:3,0.06
Berryteuthis,magister,31.75,143.75,1314:113:4,0.07
Berryteuthis,magister,31.25,144.25,1314:114:1,0.06
Berryteuthis,magister,31.25,144.75,1314:114:2,0.06
Berryteuthis,magister,31.75,144.25,1314:114:3,0.07
Berryteuthis,magister,31.75,144.75,1314:114:4,0.07
Berryteuthis,magister,32.25,140.75,1314:120:2,0.01
Berryteuthis,magister,32.75,140.25,1314:120:3,0.02
Berryteuthis,magister,32.75,140.75,1314:120:4,0.02
Berryteuthis,magister,32.25,141.25,1314:121:1,0.03
Berryteuthis,magister,32.25,141.75,1314:121:2,0.04
Berryteuthis,magister,32.75,141.25,1314:121:3,0.03
Berryteuthis,magister,32.75,141.75,1314:121:4,0.04
Berryteuthis,magister,32.25,142.25,1314:122:1,0.05
Berryteuthis,magister,32.25,142.75,1314:122:2,0.07
Berryteuthis,magister,32.75,142.25,1314:122:3,0.06
Berryteuthis,magister,32.75,142.75,1314:122:4,0.07
Berryteuthis,magister,32.25,143.25,1314:123:1,0.08
Berryteuthis,magister,32.25,143.75,1314:123:2,0.08
Berryteuthis,magister,32.75,143.25,1314:123:3,0.09
Berryteuthis,magister,32.75,143.75,1314:123:4,0.10
Berryteuthis,magister,32.25,144.25,1314:124:1,0.08
Berryteuthis,magister,32.25,144.75,1314:124:2,0.09
Berryteuthis,magister,32.75,144.25,1314:124:3,0.10
Berryteuthis,magister,32.75,144.75,1314:124:4,0.10
Berryteuthis,magister,33.25,140.25,1314:130:1,0.03
Berryteuthis,magister,33.25,140.75,1314:130:2,0.03
Berryteuthis,magister,33.75,140.25,1314:130:3,0.05
Berryteuthis,magister,33.75,140.75,1314:130:4,0.04
Berryteuthis,magister,33.25,141.25,1314:131:1,0.04
Berryteuthis,magister,33.25,141.75,1314:131:2,0.05
