Mapping parameters for Blepsias cirrhosus (Silverspotted sculpin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,66,34,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,16,73,150
Temperature (°C),1,1.06,5.49,11.72,18.4
Salinity (psu),1,24.18,27.65,32.91,36.6
Primary Production (mgC·m-3·day-1) ,1,1.89,10.51,38.34,89.76
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.28
Dissolved Bottom Oxygen (mmol·m-3),0,30.43,100.33,310.24,352.56
Distance to Land (km),0,0,5,20,89
 

Map data (HSPEC) for predicted occurrences (n = 2109): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Blepsias,cirrhosus,65.75,-178.75,7617:458:4,0.01
Blepsias,cirrhosus,65.75,-178.25,7617:458:3,0.03
Blepsias,cirrhosus,65.25,-178.75,7617:458:2,0.01
Blepsias,cirrhosus,65.25,-178.25,7617:458:1,0.05
Blepsias,cirrhosus,65.75,-177.25,7617:457:3,0.01
Blepsias,cirrhosus,65.25,-177.75,7617:457:2,0.05
Blepsias,cirrhosus,65.25,-177.25,7617:457:1,0.06
Blepsias,cirrhosus,65.75,-176.75,7617:456:4,0.02
Blepsias,cirrhosus,65.75,-176.25,7617:456:3,0.01
Blepsias,cirrhosus,65.25,-176.75,7617:456:2,0.08
Blepsias,cirrhosus,65.25,-176.25,7617:456:1,0.10
Blepsias,cirrhosus,65.25,-175.75,7617:455:2,0.06
Blepsias,cirrhosus,65.25,-171.75,7617:351:2,0.01
Blepsias,cirrhosus,64.75,-177.25,7617:247:3,0.02
Blepsias,cirrhosus,64.75,-176.75,7617:246:4,0.05
Blepsias,cirrhosus,64.75,-176.25,7617:246:3,0.07
Blepsias,cirrhosus,64.25,-176.75,7617:246:2,0.02
Blepsias,cirrhosus,64.25,-176.25,7617:246:1,0.03
Blepsias,cirrhosus,64.75,-175.75,7617:245:4,0.10
Blepsias,cirrhosus,64.75,-175.25,7617:245:3,0.12
Blepsias,cirrhosus,64.25,-175.75,7617:245:2,0.04
Blepsias,cirrhosus,64.25,-175.25,7617:245:1,0.07
Blepsias,cirrhosus,63.25,-179.75,7617:239:2,0.03
Blepsias,cirrhosus,63.25,-179.25,7617:239:1,0.03
Blepsias,cirrhosus,63.25,-178.75,7617:238:2,0.03
Blepsias,cirrhosus,63.25,-178.25,7617:238:1,0.02
Blepsias,cirrhosus,63.75,-177.75,7617:237:4,0.01
Blepsias,cirrhosus,63.75,-177.25,7617:237:3,0.01
Blepsias,cirrhosus,63.25,-177.75,7617:237:2,0.01
Blepsias,cirrhosus,63.75,-176.75,7617:236:4,0.01
Blepsias,cirrhosus,63.75,-176.25,7617:236:3,0.01
Blepsias,cirrhosus,63.75,-175.75,7617:235:4,0.02
Blepsias,cirrhosus,63.75,-175.25,7617:235:3,0.02
Blepsias,cirrhosus,63.25,-175.75,7617:235:2,0.01
Blepsias,cirrhosus,63.25,-175.25,7617:235:1,0.01
Blepsias,cirrhosus,62.75,-179.75,7617:229:4,0.07
Blepsias,cirrhosus,62.75,-179.25,7617:229:3,0.05
Blepsias,cirrhosus,62.25,-179.75,7617:229:2,0.10
Blepsias,cirrhosus,62.25,-179.25,7617:229:1,0.05
Blepsias,cirrhosus,62.75,-178.75,7617:228:4,0.02
Blepsias,cirrhosus,62.75,-178.25,7617:228:3,0.01
Blepsias,cirrhosus,62.25,-178.75,7617:228:2,0.02
Blepsias,cirrhosus,62.25,-178.25,7617:228:1,0.02
Blepsias,cirrhosus,62.75,-177.75,7617:227:4,0.01
Blepsias,cirrhosus,62.25,-177.75,7617:227:2,0.02
Blepsias,cirrhosus,62.25,-177.25,7617:227:1,0.01
Blepsias,cirrhosus,62.25,-176.75,7617:226:2,0.01
Blepsias,cirrhosus,62.25,-176.25,7617:226:1,0.01
Blepsias,cirrhosus,62.75,-175.75,7617:225:4,0.01
Blepsias,cirrhosus,62.75,-175.25,7617:225:3,0.01
Blepsias,cirrhosus,62.25,-175.75,7617:225:2,0.01
Blepsias,cirrhosus,62.25,-175.25,7617:225:1,0.01
Blepsias,cirrhosus,61.75,-179.75,7617:219:4,0.07
Blepsias,cirrhosus,61.75,-179.25,7617:219:3,0.06
Blepsias,cirrhosus,61.25,-179.75,7617:219:2,0.02
Blepsias,cirrhosus,61.25,-179.25,7617:219:1,0.02
Blepsias,cirrhosus,61.75,-178.75,7617:218:4,0.03
Blepsias,cirrhosus,61.75,-178.25,7617:218:3,0.03
