Mapping parameters for Boltenia echinata (spiny-tipped tunicate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 18 |  21 |  27 |  37 |  61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,249,774,1850
Temperature (°C),1,-1.61,1.09,10.44,24.91
Salinity (psu),1,5.21,28.62,34.85,39.71
Primary Production (mgC·m-3·day-1) ,1,0.4,3.85,16.64,39.6
Sea Ice Concentration (0-1 fraction),1,-0.9,0,0.4,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,94.38,262.85,351.6,408.48
Distance to Land (km),0,0,2,117,275
 

Map data (HSPEC) for predicted occurrences (n = 18854): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Boltenia,echinata,23.75,117.75,1211:237:4,0.02
Boltenia,echinata,23.25,118.25,1211:238:1,0.02
Boltenia,echinata,23.25,118.75,1211:238:2,0.01
Boltenia,echinata,23.75,118.25,1211:238:3,0.04
Boltenia,echinata,23.75,118.75,1211:238:4,0.04
Boltenia,echinata,23.75,119.25,1211:239:3,0.02
Boltenia,echinata,24.25,118.25,1211:248:1,0.06
Boltenia,echinata,24.25,118.75,1211:248:2,0.08
Boltenia,echinata,24.75,118.75,1211:248:4,0.01
Boltenia,echinata,24.25,119.25,1211:249:1,0.06
Boltenia,echinata,24.25,119.75,1211:249:2,0.02
Boltenia,echinata,24.75,119.25,1211:249:3,0.01
Boltenia,echinata,24.75,119.75,1211:249:4,0.02
Boltenia,echinata,25.25,119.75,1211:459:2,0.06
Boltenia,echinata,25.75,119.75,1211:459:4,0.01
Boltenia,echinata,26.25,119.75,1211:469:2,0.02
Boltenia,echinata,26.75,119.75,1211:469:4,0.02
Boltenia,echinata,24.75,120.25,1212:140:3,0.02
Boltenia,echinata,24.75,120.75,1212:140:4,0.01
Boltenia,echinata,25.25,120.25,1212:350:1,0.03
