Mapping parameters for Bothus constellatus (Pacific eyed flounder)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 77 |  81 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,13,60,121
Temperature (°C),1,14.89,22.53,29,33.2
Salinity (psu),1,29.83,31.06,34.59,36.6
Primary Production (mgC·m-3·day-1) ,1,0.47,1.69,42.17,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,10.53,202.54,365.85
Distance to Land (km),0,2,11,138,1049
 

Map data (HSPEC) for predicted occurrences (n = 862): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bothus,constellatus,-26.25,-70.75,5207:360:2,0.15
Bothus,constellatus,-26.75,-70.75,5207:360:4,0.14
Bothus,constellatus,-27.25,-70.75,5207:370:2,0.11
Bothus,constellatus,-27.75,-70.75,5207:370:4,0.09
Bothus,constellatus,-27.75,-71.25,5207:371:3,0.10
Bothus,constellatus,-25.75,163.75,3216:353:4,0.02
Bothus,constellatus,-32.25,153.25,3315:123:1,0.06
Bothus,constellatus,-33.25,151.25,3315:131:1,0.16
Bothus,constellatus,-32.25,167.75,3316:227:2,0.11
Bothus,constellatus,-32.75,167.75,3316:227:4,0.03
Bothus,constellatus,-33.75,172.25,3317:132:3,0.01
Bothus,constellatus,-33.75,172.75,3317:132:4,0.08
Bothus,constellatus,-34.75,172.25,3317:142:3,0.12
Bothus,constellatus,-35.25,173.75,3317:353:2,0.02
Bothus,constellatus,-35.75,174.25,3317:354:3,0.19
Bothus,constellatus,-36.75,173.75,3317:363:4,0.09
Bothus,constellatus,-36.25,174.25,3317:364:1,0.18
Bothus,constellatus,-36.25,174.75,3317:364:2,0.18
Bothus,constellatus,-36.75,174.25,3317:364:3,0.19
Bothus,constellatus,-36.75,174.75,3317:364:4,0.11
Bothus,constellatus,-37.25,174.25,3317:374:1,0.19
Bothus,constellatus,-37.25,174.75,3317:374:2,0.17
Bothus,constellatus,-37.75,174.25,3317:374:3,0.19
Bothus,constellatus,-37.75,174.75,3317:374:4,0.18
Bothus,constellatus,-38.75,172.75,3317:382:4,0.08
Bothus,constellatus,-38.25,173.25,3317:383:1,0.11
Bothus,constellatus,-38.25,173.75,3317:383:2,0.13
Bothus,constellatus,-38.75,173.25,3317:383:3,0.15
Bothus,constellatus,-38.75,173.75,3317:383:4,0.08
Bothus,constellatus,-38.25,174.25,3317:384:1,0.18
Bothus,constellatus,-38.25,174.75,3317:384:2,0.16
Bothus,constellatus,-38.75,174.25,3317:384:3,0.15
Bothus,constellatus,-38.75,174.75,3317:384:4,0.14
Bothus,constellatus,-39.25,172.75,3317:392:2,0.04
Bothus,constellatus,-39.75,172.75,3317:392:4,0.03
Bothus,constellatus,-39.25,173.25,3317:393:1,0.06
Bothus,constellatus,-39.25,173.75,3317:393:2,0.12
Bothus,constellatus,-39.75,173.25,3317:393:3,0.04
Bothus,constellatus,-39.75,173.75,3317:393:4,0.07
Bothus,constellatus,-39.25,174.25,3317:394:1,0.11
Bothus,constellatus,-39.75,174.25,3317:394:3,0.06
Bothus,constellatus,-39.75,174.75,3317:394:4,0.07
Bothus,constellatus,-36.25,175.25,3317:465:1,0.18
Bothus,constellatus,-36.75,175.25,3317:465:3,0.10
Bothus,constellatus,-36.75,175.75,3317:465:4,0.18
Bothus,constellatus,-37.25,175.25,3317:475:1,0.18
Bothus,constellatus,-37.25,175.75,3317:475:2,0.19
Bothus,constellatus,-37.25,176.75,3317:476:2,0.04
Bothus,constellatus,-37.75,176.25,3317:476:3,0.18
Bothus,constellatus,-37.75,176.75,3317:476:4,0.18
Bothus,constellatus,-37.75,177.25,3317:477:3,0.18
Bothus,constellatus,-37.75,177.75,3317:477:4,0.17
Bothus,constellatus,-37.25,178.25,3317:478:1,0.12
Bothus,constellatus,-37.25,178.75,3317:478:2,0.02
Bothus,constellatus,-37.75,178.25,3317:478:3,0.16
Bothus,constellatus,-37.75,178.75,3317:478:4,0.15
Bothus,constellatus,-38.75,177.75,3317:487:4,0.11
Bothus,constellatus,-38.25,178.25,3317:488:1,0.12
Bothus,constellatus,-38.25,178.75,3317:488:2,0.15
Bothus,constellatus,-38.75,178.25,3317:488:3,0.11
Bothus,constellatus,-38.75,178.75,3317:488:4,0.04
Bothus,constellatus,-39.75,175.25,3317:495:3,0.07
Bothus,constellatus,-39.25,176.75,3317:496:2,0.09
Bothus,constellatus,-39.75,176.75,3317:496:4,0.06
Bothus,constellatus,-39.25,177.25,3317:497:1,0.08
Bothus,constellatus,-39.25,177.75,3317:497:2,0.09
Bothus,constellatus,-39.75,177.25,3317:497:3,0.08
Bothus,constellatus,-39.75,177.75,3317:497:4,0.01
Bothus,constellatus,-39.25,178.25,3317:498:1,0.12
Bothus,constellatus,-40.75,171.75,3417:101:4,0.02
Bothus,constellatus,-40.25,172.25,3417:102:1,0.05
Bothus,constellatus,-40.25,172.75,3417:102:2,0.05
