Mapping parameters for Botrylloides violaceus (purple colonial tunicate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  37 |  61 |  67 |  71 |  77,
Bounding Box (NSWE): ,56,-28,-5,-177

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,1,2
Temperature (°C),1,1.98,11.22,25.45,29.65
Salinity (psu),1,30.23,31.97,35.27,35.77
Primary Production (mgC·m-3·day-1) ,1,1.77,6.88,39.6,80.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,209.02,282.66,359.81
Distance to Land (km),0,0,3,24,97
 

Map data (HSPEC) for predicted occurrences (n = 1958): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Botrylloides,violaceus,8.75,99.75,1009:489:4,0.02
Botrylloides,violaceus,9.25,99.75,1009:499:2,0.01
Botrylloides,violaceus,0.25,103.75,1010:103:2,0.02
Botrylloides,violaceus,0.75,103.75,1010:103:4,0.03
Botrylloides,violaceus,0.25,104.25,1010:104:1,0.06
Botrylloides,violaceus,0.25,104.75,1010:104:2,0.09
Botrylloides,violaceus,0.75,104.25,1010:104:3,0.07
Botrylloides,violaceus,0.75,104.75,1010:104:4,0.11
Botrylloides,violaceus,1.25,103.75,1010:113:2,0.03
Botrylloides,violaceus,1.75,103.75,1010:113:4,0.03
Botrylloides,violaceus,1.25,104.25,1010:114:1,0.08
Botrylloides,violaceus,1.25,104.75,1010:114:2,0.12
Botrylloides,violaceus,1.75,104.25,1010:114:3,0.11
Botrylloides,violaceus,2.25,103.75,1010:123:2,0.06
Botrylloides,violaceus,2.75,103.75,1010:123:4,0.10
Botrylloides,violaceus,2.25,104.25,1010:124:1,0.13
Botrylloides,violaceus,2.25,104.75,1010:124:2,0.17
Botrylloides,violaceus,2.75,104.25,1010:124:3,0.17
Botrylloides,violaceus,2.75,104.75,1010:124:4,0.10
Botrylloides,violaceus,3.25,103.25,1010:133:1,0.01
Botrylloides,violaceus,3.75,103.25,1010:133:3,0.06
Botrylloides,violaceus,3.75,103.75,1010:133:4,0.16
Botrylloides,violaceus,4.25,103.25,1010:143:1,0.08
Botrylloides,violaceus,4.75,103.25,1010:143:3,0.08
Botrylloides,violaceus,4.75,103.75,1010:143:4,0.18
Botrylloides,violaceus,0.75,106.75,1010:206:4,0.04
Botrylloides,violaceus,0.25,107.25,1010:207:1,0.06
Botrylloides,violaceus,0.75,107.25,1010:207:3,0.06
Botrylloides,violaceus,0.75,107.75,1010:207:4,0.11
Botrylloides,violaceus,0.25,108.25,1010:208:1,0.08
Botrylloides,violaceus,0.25,108.75,1010:208:2,0.06
Botrylloides,violaceus,0.75,108.75,1010:208:4,0.06
Botrylloides,violaceus,0.25,109.25,1010:209:1,0.02
Botrylloides,violaceus,1.25,107.25,1010:217:1,0.06
Botrylloides,violaceus,1.25,107.75,1010:217:2,0.08
Botrylloides,violaceus,1.25,108.75,1010:218:2,0.05
Botrylloides,violaceus,1.25,109.25,1010:219:1,0.01
Botrylloides,violaceus,1.75,109.25,1010:219:3,0.03
Botrylloides,violaceus,2.75,105.75,1010:225:4,0.04
Botrylloides,violaceus,2.75,106.25,1010:226:3,0.03
Botrylloides,violaceus,2.25,108.75,1010:228:2,0.09
Botrylloides,violaceus,2.75,108.75,1010:228:4,0.08
Botrylloides,violaceus,2.25,109.25,1010:229:1,0.06
Botrylloides,violaceus,2.25,109.75,1010:229:2,0.04
Botrylloides,violaceus,2.75,109.25,1010:229:3,0.07
Botrylloides,violaceus,3.25,105.75,1010:235:2,0.04
Botrylloides,violaceus,3.25,106.25,1010:236:1,0.04
Botrylloides,violaceus,3.25,106.75,1010:236:2,0.03
Botrylloides,violaceus,3.25,107.75,1010:237:2,0.03
Botrylloides,violaceus,3.75,107.75,1010:237:4,0.04
Botrylloides,violaceus,3.25,108.75,1010:238:2,0.04
Botrylloides,violaceus,3.75,108.25,1010:238:3,0.03
Botrylloides,violaceus,4.25,107.75,1010:247:2,0.05
Botrylloides,violaceus,4.75,107.75,1010:247:4,0.04
Botrylloides,violaceus,4.25,108.25,1010:248:1,0.04
