Mapping parameters for Branchiostoma floridae ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,2,3
Temperature (°C),1,19.68,23.43,26.87,31.07
Salinity (psu),1,21.55,31.32,36.2,38.93
Primary Production (mgC·m-3·day-1) ,1,-0.44,0.56,12.42,40.89
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,189.81,206.16,232.07,251.58
Distance to Land (km),0,4,12,90,125
 

Map data (HSPEC) for predicted occurrences (n = 782): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Branchiostoma,floridae,30.25,-93.75,7309:103:2,0.11
Branchiostoma,floridae,30.75,-88.25,7308:208:3,0.09
Branchiostoma,floridae,30.75,-87.75,7308:207:4,0.19
Branchiostoma,floridae,35.75,-76.25,7307:456:3,0.03
Branchiostoma,floridae,29.25,-94.75,7209:394:2,0.07
Branchiostoma,floridae,29.25,-89.25,7208:499:1,0.06
Branchiostoma,floridae,29.75,-88.75,7208:498:4,0.02
Branchiostoma,floridae,29.25,-88.75,7208:498:2,0.16
Branchiostoma,floridae,10.25,-75.25,7107:205:1,0.16
Branchiostoma,floridae,10.75,-74.25,7107:104:3,0.13
Branchiostoma,floridae,10.75,-71.75,7107:101:4,0.01
Branchiostoma,floridae,10.75,-71.25,7107:101:3,0.13
Branchiostoma,floridae,10.25,-71.75,7107:101:2,0.04
Branchiostoma,floridae,10.25,-71.25,7107:101:1,0.10
Branchiostoma,floridae,11.25,-63.75,7106:113:2,0.13
Branchiostoma,floridae,10.75,-63.75,7106:103:4,0.11
Branchiostoma,floridae,10.75,-62.75,7106:102:4,0.05
Branchiostoma,floridae,10.75,-62.25,7106:102:3,0.13
Branchiostoma,floridae,10.25,-62.25,7106:102:1,0.16
Branchiostoma,floridae,10.25,-61.75,7106:101:2,0.09
Branchiostoma,floridae,10.25,-61.25,7106:101:1,0.17
Branchiostoma,floridae,10.25,-60.75,7106:100:2,0.19
Branchiostoma,floridae,9.75,-75.75,7007:495:4,0.16
Branchiostoma,floridae,9.75,-72.25,7007:392:3,0.08
Branchiostoma,floridae,9.75,-71.75,7007:391:4,0.04
Branchiostoma,floridae,9.75,-71.25,7007:391:3,0.02
Branchiostoma,floridae,9.25,-71.75,7007:391:2,0.05
