Mapping parameters for Buglossidium luteum (Solenette)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,64,27,-32,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,10,40,450
Temperature (°C),1,7,11,18.62,23.33
Salinity (psu),1,13,32.36,36.84,39.25
Primary Production (mgC·m-3·day-1) ,1,0.42,2.07,18.56,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,178.8,234.61,292.5,408.48
Distance to Land (km),0,1,8,200,556
 

Map data (HSPEC) for predicted occurrences (n = 2106): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Buglossidium,luteum,36.75,0.75,1300:360:4,0.16,0.31463414634146,0.7882294543483,1,0.64242422858422,1,1,1
Buglossidium,luteum,38.25,0.75,1300:380:2,0.04,0.31707317073171,0.71979532424053,1,0.16484846808016,1,1,1
Buglossidium,luteum,38.75,0.75,1300:380:4,0.09,0.7,0.7430293413231,0.99533207683643,0.17999999277068,1,1,1
Buglossidium,luteum,38.25,1.25,1300:381:1,0.02,0.31463414634146,0.70948794743565,1,0.10181817898922,1,1,1
Buglossidium,luteum,38.75,1.25,1300:381:3,0.07,1,0.71314066180251,0.97449053372585,0.097575757720254,1,1,1
Buglossidium,luteum,38.75,1.75,1300:381:4,0.04,1,0.7050650043852,0.97472638015432,0.060606061464006,1,1,1
Buglossidium,luteum,38.75,2.75,1300:382:4,0.03,0.64878048780488,0.70436847792057,0.99405154153025,0.068484838781032,1,1,1
Buglossidium,luteum,39.25,1.25,1300:391:1,0.08,1,0.75504482779533,0.92019520359909,0.11515150801702,1,1,1
Buglossidium,luteum,39.25,1.75,1300:391:2,0.06,1,0.72917777869352,0.91754707558025,0.092727271230384,1,1,1
Buglossidium,luteum,39.25,2.25,1300:392:1,0.05,0.94146341463415,0.71086682686127,0.94432751667448,0.074545455712712,1,1,1
Buglossidium,luteum,39.25,2.75,1300:392:2,0.05,1,0.71359218913278,0.93821133815403,0.068484838781032,1,1,1
Buglossidium,luteum,39.75,2.25,1300:392:3,0.07,1,0.74376879325592,0.87852319741149,0.099999983326504,1,1,1
Buglossidium,luteum,39.75,2.75,1300:392:4,0.06,1,0.75408993860718,0.86341478023291,0.09098675633696,1,1,1
Buglossidium,luteum,39.25,3.25,1300:393:1,0.03,1,0.72517963579505,0.92250934774946,0.051515153705171,1,1,1
Buglossidium,luteum,39.25,3.75,1300:393:2,0.03,0.7609756097561,0.73247980008459,0.90848993958278,0.054545444532326,1,1,1
Buglossidium,luteum,39.75,3.25,1300:393:3,0.03,1,0.76337965785066,0.8314425519888,0.04909089282155,1,1,1
Buglossidium,luteum,39.75,3.75,1300:393:4,0.04,1,0.76399559782316,0.84341531967228,0.069696969222842,1,1,1
Buglossidium,luteum,39.75,4.25,1300:394:3,0.07,1,0.78387494907257,0.84292146674826,0.10666666547909,1,1,1
Buglossidium,luteum,39.75,4.75,1300:394:4,0.06,0.6780487804878,0.78705548328958,0.87787897260357,0.12424241577586,1,1,1
Buglossidium,luteum,37.25,8.25,1300:478:1,0.18,1,0.68196462319408,0.91215901355029,0.28484849988511,1,1,1
Buglossidium,luteum,37.25,8.75,1300:478:2,0.17,1,0.68830503880851,0.91045110552141,0.27636362206981,1,1,1
