Mapping parameters for Callionymus belcheri (BelcherÃÃÃs dragonet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,18,20,28,36
Temperature (°C),1,21.47,24.35,28.66,32.86
Salinity (psu),1,22.36,30.9,35.44,36.81
Primary Production (mgC·m-3·day-1) ,1,1.66,4.04,17.56,44.07
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,104.34,199.47,212.3,220.09
Distance to Land (km),0,2,10,176,280
 

Map data (HSPEC) for predicted occurrences (n = 3102): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Callionymus,belcheri,0.25,97.75,1009:207:2,0.17
Callionymus,belcheri,0.75,97.25,1009:207:3,0.16
Callionymus,belcheri,1.25,97.25,1009:217:1,0.17
Callionymus,belcheri,2.75,95.25,1009:225:3,0.06
Callionymus,belcheri,2.75,95.75,1009:225:4,0.10
Callionymus,belcheri,2.25,96.25,1009:226:1,0.12
Callionymus,belcheri,2.25,96.75,1009:226:2,0.17
Callionymus,belcheri,2.75,96.25,1009:226:3,0.12
Callionymus,belcheri,3.25,95.25,1009:235:1,0.06
Callionymus,belcheri,3.25,95.75,1009:235:2,0.09
Callionymus,belcheri,4.75,95.25,1009:245:3,0.16
Callionymus,belcheri,8.25,93.75,1009:383:2,0.16
Callionymus,belcheri,8.75,93.25,1009:383:3,0.19
