Mapping parameters for Callorhinus ursinus (northern fur seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  61 |  67 |  71 |  77 |  87 ,
Bounding Box (NSWE): ,90,0,100,-100

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,200,4000,6000
Temperature (°C),1,-1.61,4.39,16.06,27.09
Salinity (psu),1,24.2,31.03,33.4,34.53
Primary Production (mgC·m-3·day-1) ,1,0.4,4.24,39.08,93.6
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,9.66,43.19,294.51,361.01
Distance to Land (km),0,0,14,368,2043
 

Map data (HSPEC) for predicted occurrences (n = 13613): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Callorhinus,ursinus,16.75,107.75,1110:467:4,0.02
Callorhinus,ursinus,16.25,108.25,1110:468:1,0.01
Callorhinus,ursinus,16.75,108.25,1110:468:3,0.01
Callorhinus,ursinus,17.75,106.25,1110:476:3,0.01
Callorhinus,ursinus,17.75,106.75,1110:476:4,0.02
Callorhinus,ursinus,17.25,107.25,1110:477:1,0.02
Callorhinus,ursinus,17.25,107.75,1110:477:2,0.02
Callorhinus,ursinus,17.75,107.25,1110:477:3,0.02
Callorhinus,ursinus,18.75,105.75,1110:485:4,0.01
Callorhinus,ursinus,18.25,106.25,1110:486:1,0.02
Callorhinus,ursinus,18.25,106.75,1110:486:2,0.03
Callorhinus,ursinus,18.75,106.25,1110:486:3,0.04
Callorhinus,ursinus,18.75,106.75,1110:486:4,0.05
Callorhinus,ursinus,18.25,107.25,1110:487:1,0.01
Callorhinus,ursinus,18.75,107.25,1110:487:3,0.03
Callorhinus,ursinus,18.75,107.75,1110:487:4,0.01
Callorhinus,ursinus,18.75,108.25,1110:488:3,0.01
Callorhinus,ursinus,19.25,105.75,1110:495:2,0.01
Callorhinus,ursinus,19.75,105.75,1110:495:4,0.01
Callorhinus,ursinus,19.25,106.25,1110:496:1,0.04
Callorhinus,ursinus,19.25,106.75,1110:496:2,0.07
Callorhinus,ursinus,19.75,106.25,1110:496:3,0.02
Callorhinus,ursinus,19.75,106.75,1110:496:4,0.09
Callorhinus,ursinus,19.25,107.25,1110:497:1,0.05
Callorhinus,ursinus,19.25,107.75,1110:497:2,0.04
Callorhinus,ursinus,19.75,107.25,1110:497:3,0.08
Callorhinus,ursinus,19.75,107.75,1110:497:4,0.08
Callorhinus,ursinus,19.25,108.25,1110:498:1,0.03
Callorhinus,ursinus,19.25,108.75,1110:498:2,0.01
Callorhinus,ursinus,19.75,108.25,1110:498:3,0.07
Callorhinus,ursinus,19.75,108.75,1110:498:4,0.04
Callorhinus,ursinus,19.75,109.25,1110:499:3,0.01
Callorhinus,ursinus,19.25,110.75,1111:390:2,0.01
Callorhinus,ursinus,19.75,110.75,1111:390:4,0.01
Callorhinus,ursinus,19.25,111.25,1111:391:1,0.01
