Mapping parameters for Caranx tille (Tille trevally)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,35,-31,32,-172

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,39,75,120
Temperature (°C),1,21.47,24.91,29.24,33.44
Salinity (psu),1,22.8,31.46,35,36.73
Primary Production (mgC·m-3·day-1) ,1,0.84,1.85,21.25,45.87
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,24.18,143.38,210.94,246.45
Distance to Land (km),0,2,7,85,211
 

Map data (HSPEC) for predicted occurrences (n = 4677): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caranx,tille,-21.25,-178.75,5217:218:2,0.10
Caranx,tille,-21.25,-175.25,5217:215:1,0.01
Caranx,tille,-20.75,-178.75,5217:208:4,0.15
Caranx,tille,-20.75,-175.25,5217:205:3,0.01
Caranx,tille,-20.75,-174.75,5217:104:4,0.04
Caranx,tille,-20.25,-174.75,5217:104:2,0.12
Caranx,tille,-17.75,-178.25,5117:478:3,0.12
Caranx,tille,-16.75,-179.25,5117:469:3,0.15
Caranx,tille,-19.75,-174.75,5117:394:4,0.06
Caranx,tille,-10.75,-179.25,5117:209:3,0.17
Caranx,tille,-13.25,-172.25,5117:132:1,0.01
Caranx,tille,-30.75,114.75,3311:104:4,0.04
Caranx,tille,-30.25,114.75,3311:104:2,0.04
Caranx,tille,-22.25,171.25,3217:121:1,0.10
Caranx,tille,-26.25,162.25,3216:362:1,0.17
Caranx,tille,-26.25,161.75,3216:361:2,0.17
Caranx,tille,-26.25,161.25,3216:361:1,0.15
Caranx,tille,-25.75,163.75,3216:353:4,0.01
Caranx,tille,-25.75,163.25,3216:353:3,0.19
Caranx,tille,-25.75,162.75,3216:352:4,0.19
Caranx,tille,-22.25,169.25,3216:229:1,0.19
Caranx,tille,-22.75,168.25,3216:228:3,0.13
Caranx,tille,-21.75,167.25,3216:217:3,0.01
Caranx,tille,-20.25,169.75,3216:209:2,0.03
Caranx,tille,-20.75,167.25,3216:207:3,0.17
Caranx,tille,-20.25,166.75,3216:206:2,0.07
Caranx,tille,-20.25,166.25,3216:206:1,0.08
Caranx,tille,-20.75,161.75,3216:101:4,0.15
Caranx,tille,-20.25,161.25,3216:101:1,0.09
Caranx,tille,-20.25,160.75,3216:100:2,0.08
Caranx,tille,-29.75,159.25,3215:499:3,0.12
Caranx,tille,-29.25,159.25,3215:499:1,0.13
Caranx,tille,-23.25,159.75,3215:239:2,0.08
Caranx,tille,-20.75,158.25,3215:208:3,0.14
Caranx,tille,-21.25,149.75,3214:219:2,0.07
Caranx,tille,-29.75,114.75,3211:394:4,0.04
Caranx,tille,-29.75,114.25,3211:394:3,0.14
Caranx,tille,-29.25,114.25,3211:394:1,0.13
Caranx,tille,-28.75,114.75,3211:384:4,0.05
Caranx,tille,-28.75,114.25,3211:384:3,0.10
Caranx,tille,-28.25,114.75,3211:384:2,0.11
Caranx,tille,-28.25,114.25,3211:384:1,0.09
Caranx,tille,-28.25,113.75,3211:383:2,0.18
Caranx,tille,-27.75,114.25,3211:374:3,0.16
Caranx,tille,-25.75,112.25,3211:352:3,0.17
Caranx,tille,-21.25,55.25,3205:215:1,0.02
Caranx,tille,-20.25,57.75,3205:207:2,0.05
Caranx,tille,-20.25,57.25,3205:207:1,0.10
Caranx,tille,-25.75,44.25,3204:354:3,0.10
Caranx,tille,-19.25,170.25,3117:390:1,0.01
Caranx,tille,-11.25,175.75,3117:215:2,0.03
Caranx,tille,-10.75,179.75,3117:209:4,0.11
Caranx,tille,-11.75,173.75,3117:113:4,0.14
Caranx,tille,-19.75,169.75,3116:499:4,0.09
Caranx,tille,-19.75,169.25,3116:499:3,0.18
Caranx,tille,-19.25,169.75,3116:499:2,0.08
Caranx,tille,-19.75,165.75,3116:495:4,0.02
Caranx,tille,-17.25,168.75,3116:478:2,0.18
Caranx,tille,-16.75,168.75,3116:468:4,0.09
Caranx,tille,-15.75,168.25,3116:458:3,0.03
Caranx,tille,-15.25,167.75,3116:457:2,0.06
Caranx,tille,-19.75,164.25,3116:394:3,0.18
Caranx,tille,-18.75,163.75,3116:383:4,0.10
Caranx,tille,-14.75,167.25,3116:247:3,0.11
Caranx,tille,-14.25,167.25,3116:247:1,0.06
Caranx,tille,-13.75,167.25,3116:237:3,0.07
Caranx,tille,-11.75,169.75,3116:219:4,0.01
Caranx,tille,-19.25,159.25,3115:499:1,0.17
Caranx,tille,-19.25,158.25,3115:498:1,0.06
Caranx,tille,-18.75,158.75,3115:488:4,0.01
Caranx,tille,-19.25,150.25,3115:390:1,0.15
Caranx,tille,-17.75,151.25,3115:371:3,0.03
Caranx,tille,-17.25,151.25,3115:371:1,0.04
Caranx,tille,-17.75,150.75,3115:370:4,0.19
Caranx,tille,-17.25,150.75,3115:370:2,0.05
Caranx,tille,-17.25,150.25,3115:370:1,0.07
Caranx,tille,-16.75,150.75,3115:360:4,0.03
Caranx,tille,-16.75,150.25,3115:360:3,0.02
Caranx,tille,-16.25,150.25,3115:360:1,0.06
Caranx,tille,-17.25,149.75,3114:479:2,0.05
Caranx,tille,-17.25,148.75,3114:478:2,0.06
Caranx,tille,-17.25,148.25,3114:478:1,0.19
Caranx,tille,-16.75,149.75,3114:469:4,0.01
Caranx,tille,-16.25,149.75,3114:469:2,0.02
Caranx,tille,-16.25,148.25,3114:468:1,0.16
Caranx,tille,-16.75,147.75,3114:467:4,0.17
Caranx,tille,-16.25,147.75,3114:467:2,0.19
Caranx,tille,-12.75,130.25,3113:120:3,0.11
Caranx,tille,-13.75,128.25,3112:238:3,0.11
Caranx,tille,-13.75,123.25,3112:133:3,0.07
Caranx,tille,-11.25,124.75,3112:114:2,0.04
Caranx,tille,-10.75,123.75,3112:103:4,0.13
Caranx,tille,-19.75,119.25,3111:499:3,0.11
Caranx,tille,-18.25,119.25,3111:489:1,0.13
Caranx,tille,-16.25,60.25,3106:360:1,0.18
Caranx,tille,-15.25,61.25,3106:351:1,0.07
Caranx,tille,-14.75,61.25,3106:141:3,0.16
Caranx,tille,-17.75,59.25,3105:479:3,0.14
Caranx,tille,-15.25,46.75,3104:456:2,0.05
Caranx,tille,-15.75,45.75,3104:455:4,0.02
Caranx,tille,-19.75,35.25,3103:495:3,0.09
Caranx,tille,-18.75,36.75,3103:486:4,0.11
Caranx,tille,-19.75,34.75,3103:394:4,0.11
Caranx,tille,-9.25,141.25,3014:391:1,0.11
Caranx,tille,-7.75,143.75,3014:373:4,0.04
Caranx,tille,-1.75,147.75,3014:217:4,0.02
Caranx,tille,-7.25,138.75,3013:478:2,0.17
Caranx,tille,-7.25,138.25,3013:478:1,0.14
Caranx,tille,-5.75,138.25,3013:458:3,0.02
Caranx,tille,-9.75,130.75,3013:390:4,0.04
Caranx,tille,-2.75,130.75,3013:120:4,0.02
Caranx,tille,-9.25,128.25,3012:498:1,0.02
Caranx,tille,-7.75,113.25,3011:373:3,0.07
