Mapping parameters for Carcharhinus tilstoni (Australian blacktip shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,-10,-28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,16,73,150
Temperature (°C),1,23.06,26.42,28.54,32.74
Salinity (psu),1,32.98,33.92,35,35.57
Primary Production (mgC·m-3·day-1) ,1,2.31,3.98,12.88,19.63
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,144.65,199.43,208.53,213.26
Distance to Land (km),0,0,14,202,317
 

Map data (HSPEC) for predicted occurrences (n = 696): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Carcharhinus,tilstoni,-11.25,105.25,3110:215:1,0.10
Carcharhinus,tilstoni,-17.75,119.75,3111:479:4,0.03
Carcharhinus,tilstoni,-12.25,124.75,3112:124:2,0.11
Carcharhinus,tilstoni,-12.75,124.25,3112:124:3,0.19
Carcharhinus,tilstoni,-12.75,124.75,3112:124:4,0.10
Carcharhinus,tilstoni,-13.25,122.25,3112:132:1,0.01
Carcharhinus,tilstoni,-13.25,123.75,3112:133:2,0.03
Carcharhinus,tilstoni,-13.75,123.25,3112:133:3,0.16
Carcharhinus,tilstoni,-13.25,124.25,3112:134:1,0.18
Carcharhinus,tilstoni,-14.25,121.75,3112:141:2,0.01
Carcharhinus,tilstoni,-14.25,122.25,3112:142:1,0.16
Carcharhinus,tilstoni,-14.25,122.75,3112:142:2,0.18
Carcharhinus,tilstoni,-10.75,125.75,3112:205:4,0.12
Carcharhinus,tilstoni,-10.75,126.75,3112:206:4,0.16
Carcharhinus,tilstoni,-10.25,127.75,3112:207:2,0.18
Carcharhinus,tilstoni,-10.75,127.25,3112:207:3,0.12
Carcharhinus,tilstoni,-10.75,127.75,3112:207:4,0.09
Carcharhinus,tilstoni,-11.75,125.75,3112:215:4,0.09
Carcharhinus,tilstoni,-11.25,126.25,3112:216:1,0.05
Carcharhinus,tilstoni,-11.75,126.25,3112:216:3,0.01
Carcharhinus,tilstoni,-11.25,127.75,3112:217:2,0.07
Carcharhinus,tilstoni,-11.75,127.75,3112:217:4,0.08
Carcharhinus,tilstoni,-12.25,125.25,3112:225:1,0.07
Carcharhinus,tilstoni,-12.25,125.75,3112:225:2,0.02
Carcharhinus,tilstoni,-12.75,125.25,3112:225:3,0.05
Carcharhinus,tilstoni,-12.75,125.75,3112:225:4,0.04
Carcharhinus,tilstoni,-12.25,126.25,3112:226:1,0.01
Carcharhinus,tilstoni,-12.75,126.25,3112:226:3,0.08
Carcharhinus,tilstoni,-12.75,126.75,3112:226:4,0.11
Carcharhinus,tilstoni,-12.25,127.75,3112:227:2,0.11
Carcharhinus,tilstoni,-12.75,127.25,3112:227:3,0.04
Carcharhinus,tilstoni,-12.75,127.75,3112:227:4,0.11
Carcharhinus,tilstoni,-13.25,125.25,3112:235:1,0.17
Carcharhinus,tilstoni,-14.25,127.25,3112:247:1,0.12
Carcharhinus,tilstoni,-14.75,128.75,3112:248:4,0.14
Carcharhinus,tilstoni,-16.25,120.75,3112:360:2,0.13
Carcharhinus,tilstoni,-16.75,120.75,3112:360:4,0.15
Carcharhinus,tilstoni,-17.25,120.75,3112:370:2,0.08
Carcharhinus,tilstoni,-17.75,123.75,3112:373:4,0.06
Carcharhinus,tilstoni,-18.25,120.75,3112:380:2,0.19
Carcharhinus,tilstoni,-15.25,128.25,3112:458:1,0.16
Carcharhinus,tilstoni,-15.25,129.25,3112:459:1,0.06
Carcharhinus,tilstoni,-15.25,129.75,3112:459:2,0.03
Carcharhinus,tilstoni,-11.75,132.25,3113:112:3,0.03
Carcharhinus,tilstoni,-12.75,130.75,3113:120:4,0.15
Carcharhinus,tilstoni,-12.75,131.25,3113:121:3,0.03
Carcharhinus,tilstoni,-12.75,136.25,3113:226:3,0.12
Carcharhinus,tilstoni,-15.75,136.25,3113:456:3,0.10
Carcharhinus,tilstoni,-12.25,142.25,3114:122:1,0.12
Carcharhinus,tilstoni,-12.75,142.25,3114:122:3,0.06
Carcharhinus,tilstoni,-13.75,144.75,3114:134:4,0.01
Carcharhinus,tilstoni,-17.25,146.75,3114:476:2,0.17
Carcharhinus,tilstoni,-18.25,146.25,3114:486:1,0.14
Carcharhinus,tilstoni,-18.75,148.75,3114:488:4,0.01
Carcharhinus,tilstoni,-19.25,146.25,3114:496:1,0.01
Carcharhinus,tilstoni,-19.25,146.75,3114:496:2,0.06
Carcharhinus,tilstoni,-19.25,147.25,3114:497:1,0.07
Carcharhinus,tilstoni,-19.75,147.75,3114:497:4,0.14
