Mapping parameters for Careproctus colletti (Alaska snailfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,64,400,600,1350
Temperature (°C),1,3.37,4.13,12.33,19.06
Salinity (psu),1,28.92,31.14,32.91,34.15
Primary Production (mgC·m-3·day-1) ,1,3.43,5.04,25.25,48.39
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.03,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,13.16,27.91,271.73,353.35
Distance to Land (km),0,8,18,310,426.5
 

Map data (HSPEC) for predicted occurrences (n = 2025): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Careproctus,colletti,32.75,124.75,1312:124:4,0.01
Careproctus,colletti,33.75,123.25,1312:133:3,0.01
Careproctus,colletti,33.75,123.75,1312:133:4,0.01
Careproctus,colletti,33.25,124.25,1312:134:1,0.01
Careproctus,colletti,33.25,124.75,1312:134:2,0.01
Careproctus,colletti,33.75,124.25,1312:134:3,0.01
Careproctus,colletti,33.75,124.75,1312:134:4,0.02
Careproctus,colletti,34.75,122.75,1312:142:4,0.01
Careproctus,colletti,34.25,123.25,1312:143:1,0.01
Careproctus,colletti,34.25,123.75,1312:143:2,0.02
Careproctus,colletti,34.75,123.25,1312:143:3,0.01
Careproctus,colletti,34.75,123.75,1312:143:4,0.02
Careproctus,colletti,34.25,124.25,1312:144:1,0.02
Careproctus,colletti,34.25,124.75,1312:144:2,0.03
Careproctus,colletti,34.75,124.25,1312:144:3,0.03
Careproctus,colletti,34.75,124.75,1312:144:4,0.01
Careproctus,colletti,33.25,125.25,1312:235:1,0.01
Careproctus,colletti,33.75,125.25,1312:235:3,0.02
Careproctus,colletti,33.75,125.75,1312:235:4,0.02
Careproctus,colletti,33.75,126.25,1312:236:3,0.01
Careproctus,colletti,34.25,125.25,1312:245:1,0.02
Careproctus,colletti,34.25,125.75,1312:245:2,0.02
Careproctus,colletti,34.75,125.25,1312:245:3,0.03
Careproctus,colletti,34.75,128.25,1312:248:3,0.02
Careproctus,colletti,34.75,128.75,1312:248:4,0.01
Careproctus,colletti,35.25,122.75,1312:352:2,0.01
Careproctus,colletti,35.25,123.25,1312:353:1,0.01
Careproctus,colletti,35.25,123.75,1312:353:2,0.01
Careproctus,colletti,35.25,124.25,1312:354:1,0.01
Careproctus,colletti,35.25,124.75,1312:354:2,0.02
Careproctus,colletti,35.75,124.75,1312:354:4,0.01
Careproctus,colletti,37.25,124.75,1312:374:2,0.01
Careproctus,colletti,38.75,121.75,1312:381:4,0.01
Careproctus,colletti,38.25,124.25,1312:384:1,0.03
Careproctus,colletti,38.25,124.75,1312:384:2,0.01
Careproctus,colletti,39.75,122.75,1312:392:4,0.02
Careproctus,colletti,39.75,123.75,1312:393:4,0.05
Careproctus,colletti,39.25,124.75,1312:394:2,0.08
Careproctus,colletti,35.25,125.25,1312:455:1,0.03
Careproctus,colletti,35.25,125.75,1312:455:2,0.01
Careproctus,colletti,35.75,125.25,1312:455:3,0.01
Careproctus,colletti,35.75,125.75,1312:455:4,0.02
