Mapping parameters for Caretta caretta (loggerhead turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-60,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,40,200
Temperature (°C),1,4.97,15.32,27.8,32
Salinity (psu),1,2.72,33.5,36.82,39.93
Primary Production (mgC·m-3·day-1) ,1,-0.66,0.34,13.25,220.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.18
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,145.1,259.51,362.03
Distance to Land (km),0,0,17,1249,2174
 

Map data (HSPEC) for predicted occurrences (n = 14359): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caretta,caretta,60.75,-152.25,7615:102:3,0.04
Caretta,caretta,60.25,-152.75,7615:102:2,0.06
Caretta,caretta,60.25,-152.25,7615:102:1,0.06
Caretta,caretta,60.75,-151.75,7615:101:4,0.04
Caretta,caretta,60.75,-151.25,7615:101:3,0.04
Caretta,caretta,60.25,-151.75,7615:101:2,0.06
Caretta,caretta,60.25,-151.25,7615:101:1,0.08
Caretta,caretta,60.75,-150.75,7615:100:4,0.06
Caretta,caretta,60.75,-150.25,7615:100:3,0.08
Caretta,caretta,60.75,-149.75,7614:209:4,0.10
Caretta,caretta,60.75,-149.25,7614:209:3,0.15
Caretta,caretta,60.25,-139.75,7613:209:2,0.19
Caretta,caretta,60.25,-139.25,7613:209:1,0.17
Caretta,caretta,60.75,-10.75,7601:100:4,0.10
Caretta,caretta,60.75,-9.75,7600:209:4,0.06
Caretta,caretta,60.75,-7.75,7600:207:4,0.02
Caretta,caretta,60.75,-6.25,7600:206:3,0.19
Caretta,caretta,60.25,-4.75,7600:104:2,0.16
Caretta,caretta,56.25,-171.25,7517:361:1,0.01
Caretta,caretta,52.75,-179.75,7517:229:4,0.02
Caretta,caretta,52.75,-179.25,7517:229:3,0.02
Caretta,caretta,52.25,-179.75,7517:229:2,0.02
Caretta,caretta,52.25,-176.75,7517:226:2,0.05
Caretta,caretta,52.25,-176.25,7517:226:1,0.05
Caretta,caretta,52.25,-175.75,7517:225:2,0.05
Caretta,caretta,52.25,-175.25,7517:225:1,0.05
Caretta,caretta,51.75,-179.25,7517:219:3,0.03
Caretta,caretta,51.25,-179.25,7517:219:1,0.05
Caretta,caretta,51.75,-178.75,7517:218:4,0.03
Caretta,caretta,51.75,-178.25,7517:218:3,0.04
Caretta,caretta,51.25,-178.75,7517:218:2,0.06
Caretta,caretta,51.25,-178.25,7517:218:1,0.07
Caretta,caretta,51.75,-177.75,7517:217:4,0.04
Caretta,caretta,51.75,-177.25,7517:217:3,0.04
Caretta,caretta,51.75,-176.75,7517:216:4,0.06
Caretta,caretta,51.75,-176.25,7517:216:3,0.05
Caretta,caretta,51.25,-176.75,7517:216:2,0.02
Caretta,caretta,51.75,-175.75,7517:215:4,0.06
Caretta,caretta,51.75,-175.25,7517:215:3,0.07
Caretta,caretta,53.25,-170.25,7517:130:1,0.01
Caretta,caretta,52.25,-174.75,7517:124:2,0.05
Caretta,caretta,52.25,-174.25,7517:124:1,0.06
Caretta,caretta,52.25,-173.75,7517:123:2,0.05
Caretta,caretta,52.25,-173.25,7517:123:1,0.05
Caretta,caretta,52.75,-172.25,7517:122:3,0.01
Caretta,caretta,52.25,-172.75,7517:122:2,0.05
Caretta,caretta,52.25,-172.25,7517:122:1,0.04
Caretta,caretta,52.75,-171.25,7517:121:3,0.03
Caretta,caretta,52.25,-171.75,7517:121:2,0.03
Caretta,caretta,52.25,-171.25,7517:121:1,0.07
Caretta,caretta,52.75,-170.75,7517:120:4,0.04
Caretta,caretta,52.75,-170.25,7517:120:3,0.04
Caretta,caretta,52.25,-170.75,7517:120:2,0.04
Caretta,caretta,52.25,-170.25,7517:120:1,0.01
Caretta,caretta,51.75,-174.75,7517:114:4,0.07
Caretta,caretta,51.75,-174.25,7517:114:3,0.07
Caretta,caretta,51.75,-173.75,7517:113:4,0.06
Caretta,caretta,51.75,-173.25,7517:113:3,0.08
Caretta,caretta,51.75,-172.75,7517:112:4,0.09
Caretta,caretta,51.75,-172.25,7517:112:3,0.03
Caretta,caretta,51.75,-171.75,7517:111:4,0.04
Caretta,caretta,55.75,-168.75,7516:458:4,0.02
Caretta,caretta,55.75,-168.25,7516:458:3,0.02
Caretta,caretta,55.75,-167.75,7516:457:4,0.02
Caretta,caretta,55.75,-167.25,7516:457:3,0.02
Caretta,caretta,55.25,-167.75,7516:457:2,0.02
Caretta,caretta,55.25,-167.25,7516:457:1,0.02
Caretta,caretta,55.75,-166.75,7516:456:4,0.02
Caretta,caretta,55.75,-166.25,7516:456:3,0.02
Caretta,caretta,55.25,-166.75,7516:456:2,0.02
Caretta,caretta,55.25,-166.25,7516:456:1,0.02
Caretta,caretta,55.75,-165.75,7516:455:4,0.02
