Mapping parameters for Cellarinella watersi ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 48 |  58,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,46,72,160,287
Temperature (°C),1,-2,-1.75,-0.41,1.89
Salinity (psu),1,32.4,32.94,34.07,34.57
Primary Production (mgC·m-3·day-1) ,1,1.29,2.29,9.5,14.43
Sea Ice Concentration (0-1 fraction),1,-0.66,0.09,0.63,0.66
Dissolved Bottom Oxygen (mmol·m-3),0,158.23,229.4,347.16,411.49
Distance to Land (km),0,3,6,138,197
 

Map data (HSPEC) for predicted occurrences (n = 1249): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cellarinella,watersi,-52.25,41.25,3504:121:1,0.03
Cellarinella,watersi,-52.25,41.75,3504:121:2,0.05
Cellarinella,watersi,-52.75,43.75,3504:123:4,0.12
Cellarinella,watersi,-52.75,44.25,3504:124:3,0.13
Cellarinella,watersi,-52.75,44.75,3504:124:4,0.14
Cellarinella,watersi,-53.25,44.25,3504:134:1,0.17
Cellarinella,watersi,-53.25,44.75,3504:134:2,0.17
Cellarinella,watersi,-52.75,45.25,3504:225:3,0.13
Cellarinella,watersi,-53.25,45.75,3504:235:2,0.01
Cellarinella,watersi,-53.25,47.25,3504:237:1,0.16
Cellarinella,watersi,-53.25,47.75,3504:237:2,0.08
Cellarinella,watersi,-53.25,48.75,3504:238:2,0.02
Cellarinella,watersi,-53.25,49.25,3504:239:1,0.01
Cellarinella,watersi,-54.25,49.75,3504:249:2,0.19
Cellarinella,watersi,-52.75,77.75,3507:227:4,0.07
Cellarinella,watersi,-66.25,47.75,3604:467:2,0.10
Cellarinella,watersi,-66.25,48.25,3604:468:1,0.01
Cellarinella,watersi,-66.25,48.75,3604:468:2,0.01
Cellarinella,watersi,-66.25,49.25,3604:469:1,0.15
Cellarinella,watersi,-65.75,51.25,3605:351:3,0.08
Cellarinella,watersi,-65.75,57.25,3605:457:3,0.15
Cellarinella,watersi,-66.75,60.75,3606:360:4,0.10
Cellarinella,watersi,-66.75,61.25,3606:361:3,0.17
Cellarinella,watersi,-66.75,61.75,3606:361:4,0.07
Cellarinella,watersi,-66.75,62.25,3606:362:3,0.07
Cellarinella,watersi,-66.75,62.75,3606:362:4,0.04
Cellarinella,watersi,-66.75,63.75,3606:363:4,0.03
Cellarinella,watersi,-66.75,64.25,3606:364:3,0.12
Cellarinella,watersi,-66.75,64.75,3606:364:4,0.14
Cellarinella,watersi,-69.25,69.25,3606:499:1,0.15
Cellarinella,watersi,-67.25,70.75,3607:370:2,0.04
Cellarinella,watersi,-67.75,70.75,3607:370:4,0.14
Cellarinella,watersi,-68.25,70.75,3607:380:2,0.19
Cellarinella,watersi,-66.75,77.25,3607:467:3,0.01
Cellarinella,watersi,-67.25,77.25,3607:477:1,0.12
Cellarinella,watersi,-67.75,78.75,3607:478:4,0.04
Cellarinella,watersi,-66.25,83.75,3608:363:2,0.02
Cellarinella,watersi,-66.75,84.75,3608:364:4,0.08
Cellarinella,watersi,-66.25,87.25,3608:467:1,0.08
Cellarinella,watersi,-64.25,96.75,3609:246:2,0.18
Cellarinella,watersi,-64.25,98.25,3609:248:1,0.09
Cellarinella,watersi,-65.75,91.75,3609:351:4,0.14
Cellarinella,watersi,-65.75,94.75,3609:354:4,0.16
Cellarinella,watersi,-64.25,101.25,3610:141:1,0.11
Cellarinella,watersi,-65.25,101.75,3610:351:2,0.14
Cellarinella,watersi,-66.25,108.75,3610:468:2,0.01
Cellarinella,watersi,-65.25,111.75,3611:351:2,0.16
Cellarinella,watersi,-65.75,113.75,3611:353:4,0.16
Cellarinella,watersi,-65.25,115.75,3611:455:2,0.11
Cellarinella,watersi,-67.25,118.75,3611:478:2,0.12
Cellarinella,watersi,-65.75,124.75,3612:354:4,0.16
Cellarinella,watersi,-65.75,128.25,3612:458:3,0.04
Cellarinella,watersi,-65.75,131.25,3613:351:3,0.07
Cellarinella,watersi,-66.25,148.25,3614:468:1,0.12
Cellarinella,watersi,-68.25,146.75,3614:486:2,0.08
Cellarinella,watersi,-68.25,147.25,3614:487:1,0.08
Cellarinella,watersi,-70.75,19.75,3701:209:4,0.15
Cellarinella,watersi,-70.25,70.25,3707:100:1,0.17
Cellarinella,watersi,-70.25,72.75,3707:102:2,0.19
Cellarinella,watersi,-56.75,-28.25,5502:468:3,0.11
Cellarinella,watersi,-59.75,-28.25,5502:498:3,0.13
Cellarinella,watersi,-53.75,-35.75,5503:235:4,0.15
Cellarinella,watersi,-53.75,-36.25,5503:236:3,0.08
Cellarinella,watersi,-53.75,-36.75,5503:236:4,0.04
Cellarinella,watersi,-53.75,-37.25,5503:237:3,0.04
Cellarinella,watersi,-53.75,-37.75,5503:237:4,0.05
