Mapping parameters for Centrolabrus exoletus (Rock cook)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 ,
Bounding Box (NSWE): ,80,33,-47,25

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,14,25
Temperature (°C),1,-0.57,9.86,13.14,16.82
Salinity (psu),1,5.21,29.86,35.14,37.3
Primary Production (mgC·m-3·day-1) ,1,1.16,4.34,18.56,29.41
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,208,259.4,286.87,408.48
Distance to Land (km),0,0,4,43,92
 

Map data (HSPEC) for predicted occurrences (n = 947): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Centrolabrus,exoletus,65.25,-40.75,7604:350:2,0.06
Centrolabrus,exoletus,65.25,-40.25,7604:350:1,0.05
Centrolabrus,exoletus,64.75,-41.25,7604:141:3,0.08
Centrolabrus,exoletus,64.25,-41.25,7604:141:1,0.13
Centrolabrus,exoletus,64.75,-40.75,7604:140:4,0.05
Centrolabrus,exoletus,64.75,-40.25,7604:140:3,0.06
Centrolabrus,exoletus,64.25,-40.75,7604:140:2,0.12
Centrolabrus,exoletus,64.25,-40.25,7604:140:1,0.14
Centrolabrus,exoletus,66.25,-37.75,7603:467:2,0.07
Centrolabrus,exoletus,66.25,-37.25,7603:467:1,0.06
Centrolabrus,exoletus,66.25,-36.25,7603:466:1,0.05
Centrolabrus,exoletus,66.25,-35.75,7603:465:2,0.05
Centrolabrus,exoletus,66.25,-35.25,7603:465:1,0.05
Centrolabrus,exoletus,65.75,-39.75,7603:459:4,0.06
Centrolabrus,exoletus,65.75,-39.25,7603:459:3,0.06
Centrolabrus,exoletus,65.25,-39.75,7603:459:2,0.05
Centrolabrus,exoletus,65.25,-39.25,7603:459:1,0.07
Centrolabrus,exoletus,65.75,-38.75,7603:458:4,0.07
Centrolabrus,exoletus,65.75,-38.25,7603:458:3,0.09
Centrolabrus,exoletus,65.25,-38.75,7603:458:2,0.11
Centrolabrus,exoletus,65.75,-37.75,7603:457:4,0.12
Centrolabrus,exoletus,65.75,-37.25,7603:457:3,0.10
Centrolabrus,exoletus,65.75,-36.75,7603:456:4,0.08
Centrolabrus,exoletus,65.75,-36.25,7603:456:3,0.07
Centrolabrus,exoletus,65.75,-35.75,7603:455:4,0.08
Centrolabrus,exoletus,67.25,-33.75,7603:373:2,0.01
Centrolabrus,exoletus,66.75,-34.25,7603:364:3,0.02
