Mapping parameters for Centroscymnus plunketi (Plunket shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  81 ,
Bounding Box (NSWE): ,-32,-56,136,-168

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,219,550,732,1550
Temperature (°C),1,-0.51,2.74,9.45,15.77
Salinity (psu),1,33.82,34.32,35.02,35.52
Primary Production (mgC·m-3·day-1) ,1,2.25,3.25,18.21,35.36
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,108.8,173.03,262.58,336.38
Distance to Land (km),0,7,64,364,605
 

Map data (HSPEC) for predicted occurrences (n = 1182): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Centroscymnus,plunketi,-49.25,-179.25,5417:499:1,0.03
Centroscymnus,plunketi,-44.25,-176.25,5417:246:1,0.18
Centroscymnus,plunketi,-43.75,-176.75,5417:236:4,0.01
Centroscymnus,plunketi,-43.75,-176.25,5417:236:3,0.01
Centroscymnus,plunketi,-42.25,-178.75,5417:228:2,0.05
Centroscymnus,plunketi,-42.25,-178.25,5417:228:1,0.07
Centroscymnus,plunketi,-42.25,-177.75,5417:227:2,0.08
Centroscymnus,plunketi,-44.75,-174.75,5417:144:4,0.13
Centroscymnus,plunketi,-44.75,-174.25,5417:144:3,0.05
Centroscymnus,plunketi,-44.25,-173.75,5417:143:2,0.06
Centroscymnus,plunketi,-43.75,-172.75,5417:132:4,0.10
Centroscymnus,plunketi,-43.75,-172.25,5417:132:3,0.09
Centroscymnus,plunketi,-42.75,-172.25,5417:122:3,0.13
Centroscymnus,plunketi,-42.75,-171.75,5417:121:4,0.08
Centroscymnus,plunketi,-35.75,-170.25,5317:350:3,0.02
Centroscymnus,plunketi,-35.25,-170.25,5317:350:1,0.07
Centroscymnus,plunketi,-32.75,-178.75,5317:228:4,0.03
Centroscymnus,plunketi,-32.25,-178.75,5317:228:2,0.07
Centroscymnus,plunketi,-34.75,-170.75,5317:140:4,0.03
Centroscymnus,plunketi,-37.25,-169.25,5316:479:1,0.15
Centroscymnus,plunketi,-36.75,-169.75,5316:469:4,0.16
Centroscymnus,plunketi,-36.25,-169.75,5316:469:2,0.02
Centroscymnus,plunketi,-36.25,-169.25,5316:469:1,0.05
Centroscymnus,plunketi,-35.75,-169.25,5316:459:3,0.02
Centroscymnus,plunketi,-51.25,175.75,3517:215:2,0.16
Centroscymnus,plunketi,-50.25,177.25,3517:207:1,0.17
Centroscymnus,plunketi,-50.25,176.75,3517:206:2,0.11
Centroscymnus,plunketi,-50.25,176.25,3517:206:1,0.06
Centroscymnus,plunketi,-50.75,175.75,3517:205:4,0.10
Centroscymnus,plunketi,-54.25,171.75,3517:141:2,0.05
Centroscymnus,plunketi,-54.75,170.75,3517:140:4,0.01
Centroscymnus,plunketi,-54.75,170.25,3517:140:3,0.15
Centroscymnus,plunketi,-53.25,174.25,3517:134:1,0.08
Centroscymnus,plunketi,-53.75,173.75,3517:133:4,0.04
Centroscymnus,plunketi,-53.75,173.25,3517:133:3,0.12
Centroscymnus,plunketi,-52.25,174.75,3517:124:2,0.12
Centroscymnus,plunketi,-55.25,169.25,3516:459:1,0.04
Centroscymnus,plunketi,-55.25,168.75,3516:458:2,0.01
Centroscymnus,plunketi,-55.25,168.25,3516:458:1,0.02
Centroscymnus,plunketi,-55.25,167.75,3516:457:2,0.02
Centroscymnus,plunketi,-55.25,167.25,3516:457:1,0.01
Centroscymnus,plunketi,-55.75,166.75,3516:456:4,0.01
Centroscymnus,plunketi,-55.75,166.25,3516:456:3,0.01
Centroscymnus,plunketi,-54.75,169.75,3516:249:4,0.12
Centroscymnus,plunketi,-54.75,169.25,3516:249:3,0.14
Centroscymnus,plunketi,-54.75,168.75,3516:248:4,0.19
Centroscymnus,plunketi,-54.75,168.25,3516:248:3,0.13
Centroscymnus,plunketi,-54.75,167.75,3516:247:4,0.11
Centroscymnus,plunketi,-54.75,167.25,3516:247:3,0.08
Centroscymnus,plunketi,-54.75,166.25,3516:246:3,0.05
Centroscymnus,plunketi,-54.75,165.75,3516:245:4,0.09
Centroscymnus,plunketi,-54.75,165.25,3516:245:3,0.06
Centroscymnus,plunketi,-54.25,165.75,3516:245:2,0.19
Centroscymnus,plunketi,-54.25,165.25,3516:245:1,0.10
Centroscymnus,plunketi,-53.75,165.75,3516:235:4,0.16
Centroscymnus,plunketi,-53.75,165.25,3516:235:3,0.06
