Mapping parameters for Cephalopholis microprion (Freckled hind)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,19,-24,97,168

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,30,52
Temperature (°C),1,24.26,26.02,29.31,33.51
Salinity (psu),1,28.66,30.82,35.16,38.46
Primary Production (mgC·m-3·day-1) ,1,1.02,2.02,19.29,44.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,53.26,104.39,207.71,280.28
Distance to Land (km),0,1,12,128,286
 

Map data (HSPEC) for predicted occurrences (n = 2898): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cephalopholis,microprion,4.75,99.25,1009:249:3,0.16
Cephalopholis,microprion,4.75,99.75,1009:249:4,0.04
Cephalopholis,microprion,5.25,98.25,1009:458:1,0.12
Cephalopholis,microprion,5.75,98.75,1009:458:4,0.12
Cephalopholis,microprion,5.25,99.25,1009:459:1,0.16
Cephalopholis,microprion,0.75,102.25,1010:102:3,0.13
Cephalopholis,microprion,1.75,100.75,1010:110:4,0.05
Cephalopholis,microprion,1.25,102.75,1010:112:2,0.13
Cephalopholis,microprion,2.25,100.75,1010:120:2,0.11
Cephalopholis,microprion,2.75,101.25,1010:121:3,0.09
Cephalopholis,microprion,4.25,104.25,1010:144:1,0.18
Cephalopholis,microprion,4.75,104.75,1010:144:4,0.18
Cephalopholis,microprion,1.75,107.25,1010:217:3,0.05
Cephalopholis,microprion,2.25,107.25,1010:227:1,0.14
Cephalopholis,microprion,2.25,107.75,1010:227:2,0.09
Cephalopholis,microprion,2.75,108.25,1010:228:3,0.18
Cephalopholis,microprion,3.25,105.25,1010:235:1,0.18
Cephalopholis,microprion,3.25,109.75,1010:239:2,0.14
Cephalopholis,microprion,5.75,103.75,1010:353:4,0.09
Cephalopholis,microprion,6.25,103.75,1010:363:2,0.09
Cephalopholis,microprion,6.25,104.25,1010:364:1,0.14
Cephalopholis,microprion,5.75,106.75,1010:456:4,0.18
Cephalopholis,microprion,6.25,107.25,1010:467:1,0.14
Cephalopholis,microprion,6.25,108.75,1010:468:2,0.05
Cephalopholis,microprion,9.25,105.75,1010:495:2,0.04
Cephalopholis,microprion,9.75,105.75,1010:495:4,0.02
Cephalopholis,microprion,1.25,111.25,1011:111:1,0.07
