Mapping parameters for Cephalopholis panamensis (Pacific graysby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,32,-3,-115,-80

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,30,41,80
Temperature (°C),1,18.26,23.51,28.67,32.87
Salinity (psu),1,30.08,31.32,34.77,36.99
Primary Production (mgC·m-3·day-1) ,1,0.49,1.49,38.71,64.97
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,6.92,213.01,350.89
Distance to Land (km),0,2,8,96,128
 

Map data (HSPEC) for predicted occurrences (n = 271): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cephalopholis,panamensis,29.25,-112.75,7211:392:2,0.12
Cephalopholis,panamensis,28.25,-114.75,7211:384:2,0.01
Cephalopholis,panamensis,28.25,-114.25,7211:384:1,0.05
Cephalopholis,panamensis,27.75,-114.75,7211:374:4,0.06
Cephalopholis,panamensis,27.75,-114.25,7211:374:3,0.13
Cephalopholis,panamensis,27.25,-114.75,7211:374:2,0.08
Cephalopholis,panamensis,27.25,-114.25,7211:374:1,0.16
Cephalopholis,panamensis,25.75,-113.25,7211:353:3,0.01
Cephalopholis,panamensis,23.75,-107.75,7210:237:4,0.05
Cephalopholis,panamensis,14.75,-93.75,7109:143:4,0.12
Cephalopholis,panamensis,14.25,-91.25,7109:141:1,0.06
Cephalopholis,panamensis,8.75,-84.25,7008:384:3,0.03
Cephalopholis,panamensis,29.25,-114.75,7211:394:2,0.21
Cephalopholis,panamensis,28.75,-114.25,7211:384:3,0.24
Cephalopholis,panamensis,27.25,-113.75,7211:373:2,0.27
Cephalopholis,panamensis,26.75,-114.25,7211:364:3,0.22
Cephalopholis,panamensis,26.75,-113.75,7211:363:4,0.23
Cephalopholis,panamensis,26.75,-113.25,7211:363:3,0.30
Cephalopholis,panamensis,26.25,-113.75,7211:363:2,0.33
Cephalopholis,panamensis,26.25,-113.25,7211:363:1,0.37
Cephalopholis,panamensis,26.75,-112.75,7211:362:4,0.38
Cephalopholis,panamensis,27.25,-109.75,7210:479:2,0.36
Cephalopholis,panamensis,18.25,-114.75,7111:384:2,0.20
Cephalopholis,panamensis,18.75,-111.25,7111:381:3,0.37
