Mapping parameters for Ceratoscopelus maderensis (Madeira lantern fish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41,
Bounding Box (NSWE): ,,20,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,51,238,658,1480
Temperature (°C),1,1.77,10.93,23.39,29.28
Salinity (psu),1,24.2,32.39,37.67,39.29
Primary Production (mgC·m-3·day-1) ,1,-0.51,0.49,11.05,64.12
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,85.19,182.56,269.56,363.86
Distance to Land (km),0,0,22,632,1644
 

Map data (HSPEC) for predicted occurrences (n = 15521): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ceratoscopelus,maderensis,36.75,6.75,1300:466:4,0.11
Ceratoscopelus,maderensis,36.75,7.25,1300:467:3,0.14
Ceratoscopelus,maderensis,36.75,7.75,1300:467:4,0.17
Ceratoscopelus,maderensis,36.75,8.25,1300:468:3,0.18
Ceratoscopelus,maderensis,33.75,10.25,1301:130:3,0.09
Ceratoscopelus,maderensis,33.75,10.75,1301:130:4,0.05
Ceratoscopelus,maderensis,34.25,10.25,1301:140:1,0.05
Ceratoscopelus,maderensis,34.25,11.25,1301:141:1,0.02
Ceratoscopelus,maderensis,34.25,11.75,1301:141:2,0.10
Ceratoscopelus,maderensis,34.75,11.75,1301:141:4,0.01
Ceratoscopelus,maderensis,34.75,12.25,1301:142:3,0.14
Ceratoscopelus,maderensis,35.25,11.25,1301:351:1,0.02
Ceratoscopelus,maderensis,35.25,11.75,1301:351:2,0.01
Ceratoscopelus,maderensis,35.25,12.25,1301:352:1,0.06
Ceratoscopelus,maderensis,36.25,10.75,1301:360:2,0.05
Ceratoscopelus,maderensis,36.75,10.75,1301:360:4,0.07
Ceratoscopelus,maderensis,37.75,13.25,1301:373:3,0.03
Ceratoscopelus,maderensis,32.25,23.25,1302:123:1,0.12
Ceratoscopelus,maderensis,30.75,28.75,1302:208:4,0.01
Ceratoscopelus,maderensis,30.75,29.25,1302:209:3,0.05
Ceratoscopelus,maderensis,31.75,26.25,1302:216:3,0.19
Ceratoscopelus,maderensis,31.75,26.75,1302:216:4,0.18
Ceratoscopelus,maderensis,31.75,27.25,1302:217:3,0.19
Ceratoscopelus,maderensis,31.75,27.75,1302:217:4,0.17
Ceratoscopelus,maderensis,31.75,28.25,1302:218:3,0.15
Ceratoscopelus,maderensis,31.75,28.75,1302:218:4,0.15
Ceratoscopelus,maderensis,31.75,29.25,1302:219:3,0.16
Ceratoscopelus,maderensis,32.25,26.25,1302:226:1,0.18
Ceratoscopelus,maderensis,32.25,26.75,1302:226:2,0.16
Ceratoscopelus,maderensis,32.75,26.25,1302:226:3,0.18
Ceratoscopelus,maderensis,32.75,26.75,1302:226:4,0.16
Ceratoscopelus,maderensis,32.25,27.25,1302:227:1,0.15
Ceratoscopelus,maderensis,32.25,27.75,1302:227:2,0.15
Ceratoscopelus,maderensis,32.75,27.25,1302:227:3,0.16
Ceratoscopelus,maderensis,32.75,27.75,1302:227:4,0.15
Ceratoscopelus,maderensis,32.25,28.25,1302:228:1,0.14
Ceratoscopelus,maderensis,32.25,28.75,1302:228:2,0.13
Ceratoscopelus,maderensis,32.75,28.25,1302:228:3,0.14
Ceratoscopelus,maderensis,32.75,28.75,1302:228:4,0.13
Ceratoscopelus,maderensis,32.25,29.25,1302:229:1,0.12
Ceratoscopelus,maderensis,32.25,29.75,1302:229:2,0.13
Ceratoscopelus,maderensis,32.75,29.25,1302:229:3,0.11
Ceratoscopelus,maderensis,32.75,29.75,1302:229:4,0.10
Ceratoscopelus,maderensis,33.25,26.25,1302:236:1,0.18
Ceratoscopelus,maderensis,33.25,26.75,1302:236:2,0.17
Ceratoscopelus,maderensis,33.75,26.25,1302:236:3,0.19
Ceratoscopelus,maderensis,33.75,26.75,1302:236:4,0.17
Ceratoscopelus,maderensis,33.25,27.25,1302:237:1,0.16
Ceratoscopelus,maderensis,33.25,27.75,1302:237:2,0.16
Ceratoscopelus,maderensis,33.75,27.25,1302:237:3,0.16
Ceratoscopelus,maderensis,33.75,27.75,1302:237:4,0.15
Ceratoscopelus,maderensis,33.25,28.25,1302:238:1,0.15
Ceratoscopelus,maderensis,33.25,28.75,1302:238:2,0.13
Ceratoscopelus,maderensis,33.75,28.25,1302:238:3,0.15
Ceratoscopelus,maderensis,33.75,28.75,1302:238:4,0.13
Ceratoscopelus,maderensis,33.25,29.25,1302:239:1,0.12
Ceratoscopelus,maderensis,33.25,29.75,1302:239:2,0.11
Ceratoscopelus,maderensis,33.75,29.25,1302:239:3,0.12
Ceratoscopelus,maderensis,33.75,29.75,1302:239:4,0.11
Ceratoscopelus,maderensis,34.25,25.75,1302:245:2,0.18
Ceratoscopelus,maderensis,34.75,25.25,1302:245:3,0.18
Ceratoscopelus,maderensis,34.75,25.75,1302:245:4,0.18
Ceratoscopelus,maderensis,34.25,26.25,1302:246:1,0.18
Ceratoscopelus,maderensis,34.25,26.75,1302:246:2,0.17
Ceratoscopelus,maderensis,34.75,26.75,1302:246:4,0.17
Ceratoscopelus,maderensis,34.25,27.25,1302:247:1,0.15
Ceratoscopelus,maderensis,34.25,27.75,1302:247:2,0.14
Ceratoscopelus,maderensis,34.75,27.25,1302:247:3,0.14
Ceratoscopelus,maderensis,34.75,27.75,1302:247:4,0.12
Ceratoscopelus,maderensis,34.25,28.25,1302:248:1,0.13
Ceratoscopelus,maderensis,34.25,28.75,1302:248:2,0.12
Ceratoscopelus,maderensis,34.75,28.25,1302:248:3,0.09
Ceratoscopelus,maderensis,34.75,28.75,1302:248:4,0.08
