Mapping parameters for Chaetodon larvatus (Hooded butterflyfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,4,8,12
Temperature (°C),1,21.48,25.05,30.01,34.21
Salinity (psu),1,34.18,36.18,38.84,39.34
Primary Production (mgC·m-3·day-1) ,1,1.89,2.89,20.87,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,48.12,209.03,400.13
Distance to Land (km),0,4,8,92,93
 

Map data (HSPEC) for predicted occurrences (n = 814): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chaetodon,larvatus,5.25,73.75,1007:353:2,0.16
Chaetodon,larvatus,5.75,73.25,1007:353:3,0.17
Chaetodon,larvatus,5.75,73.75,1007:353:4,0.09
Chaetodon,larvatus,6.25,72.75,1007:362:2,0.17
Chaetodon,larvatus,6.75,72.75,1007:362:4,0.10
Chaetodon,larvatus,6.25,73.25,1007:363:1,0.12
Chaetodon,larvatus,6.75,73.25,1007:363:3,0.07
Chaetodon,larvatus,7.25,72.75,1007:372:2,0.04
Chaetodon,larvatus,7.25,73.25,1007:373:1,0.03
Chaetodon,larvatus,8.25,73.25,1007:383:1,0.01
Chaetodon,larvatus,8.25,76.75,1007:486:2,0.04
Chaetodon,larvatus,8.75,76.75,1007:486:4,0.04
Chaetodon,larvatus,9.75,75.75,1007:495:4,0.15
Chaetodon,larvatus,9.25,76.25,1007:496:1,0.08
Chaetodon,larvatus,9.25,76.75,1007:496:2,0.03
Chaetodon,larvatus,9.75,76.25,1007:496:3,0.10
Chaetodon,larvatus,18.25,56.25,1105:486:1,0.12
Chaetodon,larvatus,18.25,56.75,1105:486:2,0.16
Chaetodon,larvatus,18.75,57.25,1105:487:3,0.01
Chaetodon,larvatus,19.25,57.75,1105:497:2,0.18
Chaetodon,larvatus,19.75,57.75,1105:497:4,0.09
Chaetodon,larvatus,10.75,72.75,1107:102:4,0.01
