Mapping parameters for Chaetodon paucifasciatus (Eritrean butterflyfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 ,
Bounding Box (NSWE): ,30,10,32,48

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,10,35,65
Temperature (°C),1,21.3,24.88,29.57,33.77
Salinity (psu),1,35.41,37.02,38.84,39.34
Primary Production (mgC·m-3·day-1) ,1,1.33,2.51,6.84,20.87
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,48.12,204.93,209.16
Distance to Land (km),0,1,5,86,126
 

Map data (HSPEC) for predicted occurrences (n = 180): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chaetodon,paucifasciatus,17.75,41.75,1104:371:4,0.16
Chaetodon,paucifasciatus,13.25,45.25,1104:235:1,0.03
Chaetodon,paucifasciatus,13.25,45.75,1104:235:2,0.06
Chaetodon,paucifasciatus,13.25,43.25,1104:133:1,0.18
Chaetodon,paucifasciatus,12.25,44.25,1104:124:1,0.13
Chaetodon,paucifasciatus,12.75,43.75,1104:123:4,0.09
Chaetodon,paucifasciatus,12.25,43.75,1104:123:2,0.17
Chaetodon,paucifasciatus,11.75,43.25,1104:113:3,0.16
Chaetodon,paucifasciatus,19.25,37.25,1103:497:1,0.03
Chaetodon,paucifasciatus,18.75,37.25,1103:487:3,0.07
Chaetodon,paucifasciatus,13.25,46.25,1104:236:1,0.20
Chaetodon,paucifasciatus,13.25,46.75,1104:236:2,0.23
Chaetodon,paucifasciatus,11.25,47.75,1104:217:2,0.25
Chaetodon,paucifasciatus,11.25,47.25,1104:217:1,0.37
Chaetodon,paucifasciatus,10.75,47.25,1104:207:3,0.32
Chaetodon,paucifasciatus,14.75,42.25,1104:142:3,0.25
Chaetodon,paucifasciatus,13.75,43.25,1104:133:3,0.27
Chaetodon,paucifasciatus,13.75,42.75,1104:132:4,0.30
Chaetodon,paucifasciatus,13.25,42.75,1104:132:2,0.27
Chaetodon,paucifasciatus,13.25,42.25,1104:132:1,0.37
Chaetodon,paucifasciatus,12.75,43.25,1104:123:3,0.22
Chaetodon,paucifasciatus,12.25,43.25,1104:123:1,0.23
Chaetodon,paucifasciatus,12.75,42.75,1104:122:4,0.27
Chaetodon,paucifasciatus,11.75,42.75,1104:112:4,0.25
Chaetodon,paucifasciatus,11.75,42.25,1104:112:3,0.29
Chaetodon,paucifasciatus,19.75,37.25,1103:497:3,0.35
Chaetodon,paucifasciatus,18.25,38.75,1103:488:2,0.27
Chaetodon,paucifasciatus,17.25,39.75,1103:479:2,0.29
Chaetodon,paucifasciatus,20.25,37.25,1203:207:1,0.44
Chaetodon,paucifasciatus,17.25,41.25,1104:371:1,0.46
Chaetodon,paucifasciatus,15.25,40.25,1104:350:1,0.56
Chaetodon,paucifasciatus,10.75,46.75,1104:206:4,0.41
Chaetodon,paucifasciatus,10.75,46.25,1104:206:3,0.51
Chaetodon,paucifasciatus,10.75,45.75,1104:205:4,0.53
Chaetodon,paucifasciatus,10.75,45.25,1104:205:3,0.56
