Mapping parameters for Cheilotrema saturnum (Black croaker)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,34,20,-121,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,15,46
Temperature (°C),1,10.29,17.12,24.19,24.69
Salinity (psu),1,31.82,33.42,35.58,36.42
Primary Production (mgC·m-3·day-1) ,1,0.5,1.56,47.53,87.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,2.03,8.17,237.17,253.89
Distance to Land (km),0,3,6,98,275
 

Map data (HSPEC) for predicted occurrences (n = 108): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cheilotrema,saturnum,27.25,-110.75,7211:370:2,0.01
Cheilotrema,saturnum,27.25,-110.25,7211:370:1,0.02
Cheilotrema,saturnum,26.25,-111.25,7211:361:1,0.12
Cheilotrema,saturnum,23.75,-111.75,7211:131:4,0.14
Cheilotrema,saturnum,22.75,-110.25,7211:120:3,0.18
Cheilotrema,saturnum,33.75,-119.25,7311:239:3,0.32
Cheilotrema,saturnum,26.25,-113.25,7211:363:1,0.32
Cheilotrema,saturnum,26.75,-111.25,7211:361:3,0.21
Cheilotrema,saturnum,30.25,-113.25,7311:103:1,0.52
Cheilotrema,saturnum,28.75,-113.75,7211:383:4,0.50
Cheilotrema,saturnum,27.75,-113.75,7211:373:4,0.50
Cheilotrema,saturnum,27.75,-110.75,7211:370:4,0.54
Cheilotrema,saturnum,26.75,-114.25,7211:364:3,0.48
Cheilotrema,saturnum,26.25,-113.75,7211:363:2,0.42
Cheilotrema,saturnum,25.25,-112.75,7211:352:2,0.45
Cheilotrema,saturnum,33.75,-120.25,7312:130:3,0.67
Cheilotrema,saturnum,33.75,-119.75,7311:239:4,0.79
Cheilotrema,saturnum,33.25,-119.75,7311:239:2,0.74
Cheilotrema,saturnum,27.75,-111.25,7211:371:3,0.70
Cheilotrema,saturnum,27.25,-111.75,7211:371:2,0.60
Cheilotrema,saturnum,23.75,-110.25,7211:130:3,0.70
Cheilotrema,saturnum,23.25,-110.25,7211:130:1,0.77
Cheilotrema,saturnum,33.25,-119.25,7311:239:1,0.86
Cheilotrema,saturnum,33.75,-118.75,7311:238:4,0.97
Cheilotrema,saturnum,33.75,-118.25,7311:238:3,0.97
Cheilotrema,saturnum,33.25,-118.75,7311:238:2,0.98
Cheilotrema,saturnum,33.25,-118.25,7311:238:1,1.00
Cheilotrema,saturnum,33.75,-117.75,7311:237:4,1.00
Cheilotrema,saturnum,33.25,-117.75,7311:237:2,1.00
Cheilotrema,saturnum,33.25,-117.25,7311:237:1,1.00
Cheilotrema,saturnum,32.75,-118.75,7311:228:4,0.95
Cheilotrema,saturnum,32.75,-118.25,7311:228:3,1.00
Cheilotrema,saturnum,32.75,-117.25,7311:227:3,0.86
Cheilotrema,saturnum,32.25,-117.25,7311:227:1,0.88
Cheilotrema,saturnum,32.25,-116.75,7311:226:2,1.00
Cheilotrema,saturnum,31.75,-116.75,7311:216:4,1.00
Cheilotrema,saturnum,31.25,-116.75,7311:216:2,0.99
Cheilotrema,saturnum,31.25,-116.25,7311:216:1,1.00
Cheilotrema,saturnum,30.75,-116.25,7311:206:3,0.98
Cheilotrema,saturnum,30.25,-116.25,7311:206:1,1.00
Cheilotrema,saturnum,30.75,-115.75,7311:205:4,1.00
Cheilotrema,saturnum,30.25,-115.75,7311:205:2,1.00
Cheilotrema,saturnum,31.75,-114.75,7311:114:4,0.87
Cheilotrema,saturnum,31.75,-114.25,7311:114:3,1.00
Cheilotrema,saturnum,31.25,-114.75,7311:114:2,1.00
Cheilotrema,saturnum,31.25,-114.25,7311:114:1,1.00
Cheilotrema,saturnum,31.75,-113.75,7311:113:4,1.00
Cheilotrema,saturnum,31.25,-113.75,7311:113:2,1.00
Cheilotrema,saturnum,31.25,-113.25,7311:113:1,1.00
Cheilotrema,saturnum,30.75,-114.75,7311:104:4,0.99
Cheilotrema,saturnum,30.75,-114.25,7311:104:3,0.97
Cheilotrema,saturnum,30.25,-114.75,7311:104:2,1.00
Cheilotrema,saturnum,30.25,-114.25,7311:104:1,1.00
Cheilotrema,saturnum,30.75,-113.25,7311:103:3,1.00
Cheilotrema,saturnum,30.75,-112.75,7311:102:4,1.00
Cheilotrema,saturnum,30.25,-112.75,7311:102:2,1.00
Cheilotrema,saturnum,29.25,-118.25,7211:498:1,1.00
Cheilotrema,saturnum,29.75,-115.75,7211:495:4,0.85
Cheilotrema,saturnum,29.75,-115.25,7211:495:3,1.00
Cheilotrema,saturnum,29.25,-115.25,7211:495:1,1.00
Cheilotrema,saturnum,28.75,-118.25,7211:488:3,1.00
