Mapping parameters for Chelon dumerili (Grooved mullet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47 |  51,
Bounding Box (NSWE): ,21,-36,-20,38

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,15.99,18.18,27.47,31.67
Salinity (psu),1,17.86,25.13,35.44,38.46
Primary Production (mgC·m-3·day-1) ,1,3.72,14.67,62.98,106.92
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,143.03,218.46,246.52
Distance to Land (km),0,1,2,26,222
 

Map data (HSPEC) for predicted occurrences (n = 365): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chelon,dumerili,20.75,-17.75,7201:207:4,0.12
Chelon,dumerili,18.75,-16.25,7101:486:3,0.16
Chelon,dumerili,9.75,-16.25,7001:496:3,0.11
Chelon,dumerili,9.75,-15.75,7001:495:4,0.14
Chelon,dumerili,9.75,-15.25,7001:495:3,0.12
Chelon,dumerili,8.75,-14.25,7001:384:3,0.01
Chelon,dumerili,8.25,-13.75,7001:383:2,0.17
Chelon,dumerili,7.75,-13.75,7001:373:4,0.09
Chelon,dumerili,7.25,-13.25,7001:373:1,0.10
Chelon,dumerili,-35.25,22.25,3302:352:1,0.04
Chelon,dumerili,-33.75,22.75,3302:132:4,0.19
Chelon,dumerili,-33.75,18.75,3301:238:4,0.13
Chelon,dumerili,-33.25,17.75,3301:237:2,0.02
Chelon,dumerili,-25.25,35.25,3203:455:1,0.19
Chelon,dumerili,-25.75,34.75,3203:354:4,0.11
Chelon,dumerili,-20.25,36.25,3203:206:1,0.17
Chelon,dumerili,-29.75,15.25,3201:495:3,0.07
Chelon,dumerili,-21.75,13.75,3201:113:4,0.01
Chelon,dumerili,-21.25,13.75,3201:113:2,0.01
Chelon,dumerili,-20.75,13.75,3201:103:4,0.06
Chelon,dumerili,-20.75,13.25,3201:103:3,0.03
Chelon,dumerili,-20.25,13.25,3201:103:1,0.11
