Mapping parameters for Chelonia mydas (green sea turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,61,-42,-97,-128

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,7.1,19.06,29.06,33.26
Salinity (psu),1,14.69,32.33,36.42,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.34,0.66,19.37,240.61
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,3.93,107.71,253.68,327.62
Distance to Land (km),0,0,12,547,1699
 

Map data (HSPEC) for predicted occurrences (n = 11888): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Chelonia,mydas,1.75,9.25,1000:219:3,0.06,0.095238095238095,1,0.60077657288705,1,1,1,1
Chelonia,mydas,4.75,6.75,1000:246:4,0.03,0.045454545454545,1,0.70374636747399,1,1,1,1
Chelonia,mydas,4.75,7.25,1000:247:3,0.03,0.045454545454545,1,0.66487808400541,1,1,1,1
Chelonia,mydas,4.25,9.75,1000:249:2,0.05,0.090909090909091,1,0.50427889661724,1,1,1,1
Chelonia,mydas,6.75,3.25,1000:363:3,0.08,0.090909090909091,1,0.92859498281328,1,1,1,1
Chelonia,mydas,6.75,3.75,1000:363:4,0.04,0.045454545454545,1,0.89624747451471,1,1,1,1
Chelonia,mydas,5.25,5.75,1000:455:2,0.03,0.045454545454545,1,0.73196961279629,1,1,1,1
Chelonia,mydas,5.75,5.75,1000:455:4,0.03,0.045454545454545,1,0.72678700920676,1,1,1,1
Chelonia,mydas,3.25,10.25,1001:130:1,0.02,0.045454545454545,1,0.47664958927907,1,1,1,1
Chelonia,mydas,1.25,43.75,1004:113:2,0.09,0.090909090909091,1,1,1,1,1,1
Chelonia,mydas,8.25,49.75,1004:489:2,0.18,0.18181818181818,1,1,0.99408389218428,1,1,1
Chelonia,mydas,2.75,99.75,1009:229:4,0.08,0.090909090909091,0.89596879141671,0.92766055498534,1,1,1,1
Chelonia,mydas,3.75,95.75,1009:235:4,0.06,0.066666666666667,0.89142566862559,1,1,1,1,1
Chelonia,mydas,3.25,99.25,1009:239:1,0.15,0.18181818181818,0.88651833307176,0.95030750871516,1,1,1,1
Chelonia,mydas,8.25,99.25,1009:489:1,0.04,0.045454545454545,0.91994734264555,0.94130588280641,1,1,1,1
Chelonia,mydas,0.25,102.75,1010:102:2,0.04,0.045454545454545,0.95855298723493,0.8684316492405,0.99752019633761,1,1,1
Chelonia,mydas,0.75,102.25,1010:102:3,0.03,0.045454545454545,0.94630917140417,0.80859085653915,0.99884003584272,1,1,1
Chelonia,mydas,0.75,102.75,1010:102:4,0.04,0.045454545454545,0.95649532136462,0.82868700178843,0.98872265826404,1,1,1
Chelonia,mydas,1.75,100.75,1010:110:4,0.03,0.045454545454545,0.90563950311569,0.79833572197393,1,1,1,1
Chelonia,mydas,1.75,101.25,1010:111:3,0.06,0.090909090909091,0.90802641369048,0.71178231704262,0.99815509026886,1,1,1
Chelonia,mydas,1.75,103.75,1010:113:4,0.04,0.045454545454545,0.99161914643788,0.9063150098805,0.96469862752917,1,1,1
Chelonia,mydas,7.25,109.75,1010:479:2,0.18,0.18095238095238,1,1,1,1,1,1
Chelonia,mydas,9.75,105.75,1010:495:4,0.03,0.045454545454545,1,0.82885340822527,0.89388359348417,1,1,1
Chelonia,mydas,1.25,111.25,1011:111:1,0.03,0.045454545454545,0.96187631516229,0.80389038829847,0.96411142788815,1,1,1
Chelonia,mydas,2.25,111.75,1011:121:2,0.04,0.045454545454545,0.9607028416225,0.84037124218584,0.98577601829676,1,1,1
Chelonia,mydas,4.25,114.25,1011:144:1,0.08,0.090909090909091,0.97759150550479,0.92341627177197,0.99156955696805,1,1,1
Chelonia,mydas,0.25,117.25,1011:207:1,0.09,0.090909090909091,0.99600877307709,0.99549772301499,1,1,1,1
Chelonia,mydas,1.25,117.75,1011:217:2,0.04,0.045454545454545,0.98620409284319,0.99029576481065,1,1,1,1
Chelonia,mydas,1.25,118.25,1011:218:1,0.09,0.090909090909091,0.99043749854679,0.99647323885202,1,1,1,1
Chelonia,mydas,3.75,117.25,1011:237:3,0.04,0.045454545454545,0.93680830455962,0.86864444187709,0.95671906547604,1,1,1
Chelonia,mydas,4.25,117.25,1011:247:1,0.04,0.045454545454545,0.91998866853259,0.88404509269732,1,1,1,1
Chelonia,mydas,5.25,118.25,1011:458:1,0.07,0.090909090909091,0.95110479082381,0.84726656699667,1,1,1,1
Chelonia,mydas,6.25,119.25,1011:469:1,0.10,0.1047619047619,1,1,1,1,1,1
Chelonia,mydas,9.25,117.25,1011:497:1,0.01,0.0095238095238095,0.99707189287457,1,1,1,1,1
Chelonia,mydas,0.75,121.25,1012:101:3,0.08,0.090909090909091,0.90495876130605,1,1,1,1,1
Chelonia,mydas,0.75,121.75,1012:101:4,0.08,0.090909090909091,0.90880025227864,1,1,1,1,1
Chelonia,mydas,0.75,122.25,1012:102:3,0.08,0.090909090909091,0.91366353716169,1,1,1,1,1
Chelonia,mydas,0.75,122.75,1012:102:4,0.17,0.18181818181818,0.92291236150833,1,1,1,1,1
Chelonia,mydas,2.25,125.75,1012:225:2,0.17,0.17142857142857,0.99926670619419,1,1,1,1,1
Chelonia,mydas,3.25,125.25,1012:235:1,0.07,0.076190476190476,0.94494541713169,1,1,1,1,1
Chelonia,mydas,7.75,148.25,1014:478:3,0.19,0.2,0.9558740706671,1,1,1,1,1
Chelonia,mydas,11.25,43.25,1104:113:1,0.09,0.090909090909091,1,0.99397126861678,1,1,1,1
Chelonia,mydas,14.75,43.25,1104:143:3,0.08,0.090909090909091,0.96416558765229,0.96496204605371,1,1,1,1
Chelonia,mydas,13.25,47.25,1104:237:1,0.02,0.019047619047619,1,1,1,1,1,1
Chelonia,mydas,18.25,40.25,1104:380:1,0.05,0.076190476190476,0.86849070957729,0.78203181074703,1,1,1,1
Chelonia,mydas,11.75,74.25,1107:114:3,0.17,0.17142857142857,1,1,1,1,1,1
Chelonia,mydas,18.75,73.25,1107:383:3,0.05,0.045454545454545,1,1,1,1,1,1
Chelonia,mydas,19.25,73.25,1107:393:1,0.05,0.045454545454545,1,1,1,1,1,1
Chelonia,mydas,16.25,94.75,1109:364:2,0.07,0.090909090909091,1,0.75589926929431,0.97571555393996,1,1,1
Chelonia,mydas,16.75,94.75,1109:364:4,0.04,0.045454545454545,1,0.79199854532878,1,1,1,1
Chelonia,mydas,16.25,95.25,1109:465:1,0.06,0.090909090909091,1,0.67181092865613,0.94803191042791,1,1,1
Chelonia,mydas,16.75,96.25,1109:466:3,0.07,0.13636363636364,1,0.54934141370985,0.93779566335519,1,1,1
Chelonia,mydas,16.25,97.75,1109:467:2,0.16,0.31818181818182,1,0.53245964828803,0.94481468008324,1,1,1
Chelonia,mydas,16.75,97.75,1109:467:4,0.02,0.045454545454545,1,0.51796596120545,0.91359084053058,1,1,1
Chelonia,mydas,10.25,106.25,1110:206:1,0.03,0.045454545454545,1,0.80581482089296,0.82033275096633,1,1,1
Chelonia,mydas,10.75,106.75,1110:206:4,0.03,0.045454545454545,1,0.85972315383876,0.8750734874028,1,1,1
Chelonia,mydas,18.25,105.75,1110:485:2,0.09,0.090909090909091,1,1,0.99042705771527,1,1,1
Chelonia,mydas,19.75,109.75,1110:499:4,0.14,0.13636363636364,1,1,1,1,1,1
Chelonia,mydas,11.25,115.25,1111:215:1,0.09,0.085714285714286,1,1,1,1,1,1
Chelonia,mydas,19.75,110.25,1111:390:3,0.05,0.045454545454545,1,1,1,1,1,1
Chelonia,mydas,16.75,119.75,1111:469:4,0.10,0.1047619047619,1,1,1,1,1,1
Chelonia,mydas,12.75,121.25,1112:121:3,0.09,0.090909090909091,1,0.98782248291569,1,1,1,1
Chelonia,mydas,14.75,121.25,1112:141:3,0.17,0.18181818181818,1,1,0.95541832052525,1,1,1
Chelonia,mydas,12.75,144.25,1114:124:3,0.11,0.11428571428571,1,1,1,1,1,1
Chelonia,mydas,11.75,166.75,1116:216:4,0.14,0.14285714285714,1,1,1,1,1,1
Chelonia,mydas,24.75,34.75,1203:144:4,0.18,0.59090909090909,1,0.30531462005509,1,1,1,1
Chelonia,mydas,23.75,35.25,1203:235:3,0.04,0.090909090909091,1,0.4169949373171,1,1,1,1
Chelonia,mydas,24.75,35.75,1203:245:4,0.02,0.066666666666667,1,0.31464917078456,1,1,1,1
Chelonia,mydas,26.75,33.75,1203:363:4,0.14,1,1,0.14346092412834,1,1,1,1
