Mapping parameters for Cherublemma emmelas (Black brotula)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,32,-16,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,102,179,386,740
Temperature (°C),1,17.63,21.16,28.93,33.13
Salinity (psu),1,29.83,31.6,34.66,36.36
Primary Production (mgC·m-3·day-1) ,1,0.46,1.46,35.69,62.92
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.32,4.94,201.16,258.95
Distance to Land (km),0,2,16,202,492
 

Map data (HSPEC) for predicted occurrences (n = 607): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cherublemma,emmelas,31.25,-116.25,7311:216:1,0.09
Cherublemma,emmelas,30.25,-115.75,7311:205:2,0.18
Cherublemma,emmelas,31.25,-114.75,7311:114:2,0.02
Cherublemma,emmelas,30.75,-113.25,7311:103:3,0.16
Cherublemma,emmelas,30.25,-112.75,7311:102:2,0.08
Cherublemma,emmelas,29.75,-173.75,7217:393:4,0.03
Cherublemma,emmelas,26.25,-174.75,7217:364:2,0.07
Cherublemma,emmelas,26.25,-174.25,7217:364:1,0.10
Cherublemma,emmelas,26.25,-173.75,7217:363:2,0.09
Cherublemma,emmelas,26.25,-173.25,7217:363:1,0.08
Cherublemma,emmelas,25.75,-174.25,7217:354:3,0.07
Cherublemma,emmelas,25.75,-173.75,7217:353:4,0.09
Cherublemma,emmelas,25.75,-173.25,7217:353:3,0.08
Cherublemma,emmelas,25.75,-172.25,7217:352:3,0.10
Cherublemma,emmelas,25.25,-172.25,7217:352:1,0.08
Cherublemma,emmelas,25.75,-171.75,7217:351:4,0.13
Cherublemma,emmelas,25.75,-171.25,7217:351:3,0.19
Cherublemma,emmelas,25.25,-171.75,7217:351:2,0.10
Cherublemma,emmelas,25.25,-171.25,7217:351:1,0.15
Cherublemma,emmelas,25.75,-170.25,7217:350:3,0.13
Cherublemma,emmelas,25.25,-170.25,7217:350:1,0.11
Cherublemma,emmelas,25.75,-169.75,7216:459:4,0.08
Cherublemma,emmelas,25.75,-169.25,7216:459:3,0.08
Cherublemma,emmelas,25.25,-169.75,7216:459:2,0.07
Cherublemma,emmelas,25.25,-169.25,7216:459:1,0.05
Cherublemma,emmelas,25.25,-168.75,7216:458:2,0.02
Cherublemma,emmelas,25.25,-168.25,7216:458:1,0.17
Cherublemma,emmelas,25.25,-167.75,7216:457:2,0.14
Cherublemma,emmelas,24.75,-168.25,7216:248:3,0.13
Cherublemma,emmelas,24.75,-167.75,7216:247:4,0.10
Cherublemma,emmelas,24.75,-167.25,7216:247:3,0.07
Cherublemma,emmelas,24.25,-167.75,7216:247:2,0.05
Cherublemma,emmelas,24.25,-167.25,7216:247:1,0.06
Cherublemma,emmelas,24.75,-166.75,7216:246:4,0.06
Cherublemma,emmelas,24.25,-166.75,7216:246:2,0.07
Cherublemma,emmelas,24.25,-165.75,7216:245:2,0.05
Cherublemma,emmelas,23.75,-166.75,7216:236:4,0.06
Cherublemma,emmelas,23.75,-166.25,7216:236:3,0.10
Cherublemma,emmelas,23.75,-165.75,7216:235:4,0.06
Cherublemma,emmelas,23.75,-165.25,7216:235:3,0.08
Cherublemma,emmelas,23.75,-164.75,7216:134:4,0.14
Cherublemma,emmelas,23.75,-164.25,7216:134:3,0.08
Cherublemma,emmelas,23.25,-164.75,7216:134:2,0.08
Cherublemma,emmelas,23.25,-164.25,7216:134:1,0.07
Cherublemma,emmelas,23.25,-163.75,7216:133:2,0.02
Cherublemma,emmelas,23.25,-163.25,7216:133:1,0.02
Cherublemma,emmelas,23.25,-162.75,7216:132:2,0.03
Cherublemma,emmelas,23.25,-162.25,7216:132:1,0.06
Cherublemma,emmelas,23.25,-161.75,7216:131:2,0.08
Cherublemma,emmelas,22.75,-162.25,7216:122:3,0.03
Cherublemma,emmelas,22.75,-161.25,7216:121:3,0.08
Cherublemma,emmelas,22.75,-160.75,7216:120:4,0.15
Cherublemma,emmelas,21.75,-160.75,7216:110:4,0.10
Cherublemma,emmelas,20.25,-157.25,7215:207:1,0.04
Cherublemma,emmelas,20.25,-156.75,7215:206:2,0.05
Cherublemma,emmelas,20.25,-156.25,7215:206:1,0.07
Cherublemma,emmelas,29.25,-118.25,7211:498:1,0.14
Cherublemma,emmelas,29.75,-117.25,7211:497:3,0.03
Cherublemma,emmelas,29.75,-116.75,7211:496:4,0.08
Cherublemma,emmelas,29.25,-116.75,7211:496:2,0.08
Cherublemma,emmelas,29.25,-116.25,7211:496:1,0.07
Cherublemma,emmelas,28.75,-115.75,7211:485:4,0.08
Cherublemma,emmelas,28.75,-115.25,7211:485:3,0.02
Cherublemma,emmelas,28.25,-115.75,7211:485:2,0.15
Cherublemma,emmelas,28.25,-115.25,7211:485:1,0.14
Cherublemma,emmelas,25.25,-115.75,7211:455:2,0.12
Cherublemma,emmelas,28.75,-114.75,7211:384:4,0.07
Cherublemma,emmelas,28.25,-114.75,7211:384:2,0.19
Cherublemma,emmelas,24.25,-112.75,7211:142:2,0.18
Cherublemma,emmelas,22.75,-107.25,7210:227:3,0.09
Cherublemma,emmelas,16.75,-169.75,7116:469:4,0.11
Cherublemma,emmelas,16.75,-169.25,7116:469:3,0.11
Cherublemma,emmelas,19.75,-110.75,7111:390:4,0.07
Cherublemma,emmelas,13.75,-89.75,7108:239:4,0.03
Cherublemma,emmelas,13.25,-88.75,7108:238:2,0.02
Cherublemma,emmelas,7.75,-163.25,7016:373:3,0.15
Cherublemma,emmelas,6.75,-162.25,7016:362:3,0.08
Cherublemma,emmelas,8.25,-159.75,7015:489:2,0.09
Cherublemma,emmelas,0.75,-90.25,7009:100:3,0.05
Cherublemma,emmelas,7.75,-85.75,7008:475:4,0.16
Cherublemma,emmelas,5.75,-88.25,7008:458:3,0.07
Cherublemma,emmelas,7.75,-84.25,7008:374:3,0.08
Cherublemma,emmelas,5.25,-80.75,7008:350:2,0.14
Cherublemma,emmelas,3.25,-88.25,7008:238:1,0.10
Cherublemma,emmelas,4.75,-77.75,7007:247:4,0.11
Cherublemma,emmelas,4.25,-77.25,7007:247:1,0.11
Cherublemma,emmelas,2.75,-78.25,7007:228:3,0.05
Cherublemma,emmelas,2.75,-77.75,7007:227:4,0.18
Cherublemma,emmelas,-15.75,-173.75,5117:353:4,0.11
Cherublemma,emmelas,-15.25,-173.75,5117:353:2,0.15
Cherublemma,emmelas,-14.25,-171.25,5117:141:1,0.05
Cherublemma,emmelas,-13.75,-171.25,5117:131:3,0.06
Cherublemma,emmelas,-11.25,-171.25,5117:111:1,0.17
Cherublemma,emmelas,-11.25,-170.75,5117:110:2,0.06
Cherublemma,emmelas,-11.75,-165.25,5116:215:3,0.04
Cherublemma,emmelas,-13.25,-163.25,5116:133:1,0.09
Cherublemma,emmelas,-13.25,-162.75,5116:132:2,0.03
Cherublemma,emmelas,-15.75,-142.25,5114:352:3,0.18
Cherublemma,emmelas,-15.75,-140.75,5114:350:4,0.07
Cherublemma,emmelas,-15.75,-140.25,5114:350:3,0.06
Cherublemma,emmelas,-14.25,-149.75,5114:249:2,0.03
Cherublemma,emmelas,-12.25,-148.25,5114:228:1,0.05
Cherublemma,emmelas,-11.75,-148.25,5114:218:3,0.04
Cherublemma,emmelas,-10.25,-94.75,5109:104:2,0.05
Cherublemma,emmelas,-15.75,-75.25,5107:455:3,0.08
Cherublemma,emmelas,-15.25,-75.75,5107:455:2,0.02
Cherublemma,emmelas,-14.25,-76.75,5107:246:2,0.05
Cherublemma,emmelas,-13.75,-76.75,5107:236:4,0.03
Cherublemma,emmelas,-13.25,-76.75,5107:236:2,0.01
Cherublemma,emmelas,-12.75,-77.25,5107:227:3,0.13
Cherublemma,emmelas,-12.25,-77.75,5107:227:2,0.17
Cherublemma,emmelas,-11.25,-78.25,5107:218:1,0.15
Cherublemma,emmelas,-4.75,-174.75,5017:144:4,0.08
Cherublemma,emmelas,-7.25,-80.25,5008:370:1,0.19
Cherublemma,emmelas,-6.75,-81.25,5008:361:3,0.09
Cherublemma,emmelas,-5.75,-81.25,5008:351:3,0.16
Cherublemma,emmelas,-1.75,-89.75,5008:219:4,0.10
Cherublemma,emmelas,-1.25,-88.25,5008:218:1,0.06
Cherublemma,emmelas,-3.25,-80.75,5008:130:2,0.11
Cherublemma,emmelas,-2.25,-80.75,5008:120:2,0.08
Cherublemma,emmelas,-0.25,-80.25,5008:100:1,0.17
Cherublemma,emmelas,-9.75,-78.75,5007:498:4,0.09
Cherublemma,emmelas,-8.75,-79.25,5007:489:3,0.02
Cherublemma,emmelas,25.75,-170.75,7217:350:4,0.27
Cherublemma,emmelas,25.25,-170.75,7217:350:2,0.21
Cherublemma,emmelas,22.25,-160.25,7216:120:1,0.30
Cherublemma,emmelas,21.75,-160.25,7216:110:3,0.20
Cherublemma,emmelas,21.75,-159.75,7215:219:4,0.30
Cherublemma,emmelas,21.75,-159.25,7215:219:3,0.32
Cherublemma,emmelas,21.25,-158.25,7215:218:1,0.37
Cherublemma,emmelas,20.75,-157.75,7215:207:4,0.21
Cherublemma,emmelas,28.75,-118.25,7211:488:3,0.22
Cherublemma,emmelas,27.75,-115.75,7211:475:4,0.26
Cherublemma,emmelas,27.75,-115.25,7211:475:3,0.20
Cherublemma,emmelas,29.25,-112.25,7211:392:1,0.31
Cherublemma,emmelas,28.25,-114.25,7211:384:1,0.25
Cherublemma,emmelas,27.75,-114.75,7211:374:4,0.27
Cherublemma,emmelas,27.25,-114.75,7211:374:2,0.30
Cherublemma,emmelas,23.25,-111.75,7211:131:2,0.35
Cherublemma,emmelas,11.25,-170.75,7117:110:2,0.20
Cherublemma,emmelas,18.75,-158.25,7115:488:3,0.26
Cherublemma,emmelas,18.25,-114.75,7111:384:2,0.23
Cherublemma,emmelas,13.75,-119.75,7111:239:4,0.34
Cherublemma,emmelas,10.25,-110.25,7111:100:1,0.33
Cherublemma,emmelas,18.75,-104.75,7110:384:4,0.24
