Mapping parameters for Chionoecetes opilio (snow crab)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  61 |  67,
Bounding Box (NSWE): ,79,29,127,-43

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,100,300,1400
Temperature (°C),1,-0.75,1.97,9.27,19.47
Salinity (psu),1,20.09,29.97,32.93,35.42
Primary Production (mgC·m-3·day-1) ,1,1.68,4.03,16.5,48.37
Sea Ice Concentration (0-1 fraction),1,-0.94,0,0.23,0.72
Dissolved Bottom Oxygen (mmol·m-3),0,2.1,158.1,339.57,366.58
Distance to Land (km),0,1,13,304,685
 

Map data (HSPEC) for predicted occurrences (n = 6060): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chionoecetes,opilio,34.25,127.25,1312:247:1,0.12
Chionoecetes,opilio,34.25,127.75,1312:247:2,0.08
Chionoecetes,opilio,34.75,127.25,1312:247:3,0.06
Chionoecetes,opilio,34.75,127.75,1312:247:4,0.08
Chionoecetes,opilio,34.25,128.25,1312:248:1,0.03
Chionoecetes,opilio,34.75,128.25,1312:248:3,0.16
Chionoecetes,opilio,34.75,128.75,1312:248:4,0.08
Chionoecetes,opilio,35.25,128.75,1312:458:2,0.11
Chionoecetes,opilio,35.25,129.25,1312:459:1,0.03
Chionoecetes,opilio,35.25,129.75,1312:459:2,0.02
Chionoecetes,opilio,35.75,129.25,1312:459:3,0.11
Chionoecetes,opilio,35.75,129.75,1312:459:4,0.08
