Mapping parameters for Chlamydoselachus anguineus (Frilled shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  31 |  34 |  41 |  47 |  61 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,74,-58,-169,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,120,1280,1570
Temperature (°C),1,4.6,11.82,26.47,30.67
Salinity (psu),1,23.53,33.29,35.69,37.6
Primary Production (mgC·m-3·day-1) ,1,0.24,2.97,47.03,110.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,106.42,263.6,339.03
Distance to Land (km),0,1,11,310,801
 

Map data (HSPEC) for predicted occurrences (n = 11772): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chlamydoselachus,anguineus,0.25,8.25,1000:208:1,0.13
Chlamydoselachus,anguineus,0.75,9.75,1000:209:4,0.19
Chlamydoselachus,anguineus,1.25,9.25,1000:219:1,0.17
Chlamydoselachus,anguineus,1.25,9.75,1000:219:2,0.14
Chlamydoselachus,anguineus,1.75,9.25,1000:219:3,0.13
Chlamydoselachus,anguineus,1.75,9.75,1000:219:4,0.04
Chlamydoselachus,anguineus,2.75,8.25,1000:228:3,0.08
Chlamydoselachus,anguineus,2.75,9.25,1000:229:3,0.18
Chlamydoselachus,anguineus,3.25,7.25,1000:237:1,0.09
Chlamydoselachus,anguineus,3.25,7.75,1000:237:2,0.04
Chlamydoselachus,anguineus,3.75,7.25,1000:237:3,0.07
Chlamydoselachus,anguineus,3.75,7.75,1000:237:4,0.02
Chlamydoselachus,anguineus,3.25,8.25,1000:238:1,0.02
Chlamydoselachus,anguineus,3.25,8.75,1000:238:2,0.03
Chlamydoselachus,anguineus,3.75,8.25,1000:238:3,0.02
Chlamydoselachus,anguineus,3.75,8.75,1000:238:4,0.12
Chlamydoselachus,anguineus,3.25,9.25,1000:239:1,0.11
Chlamydoselachus,anguineus,4.25,7.75,1000:247:2,0.18
Chlamydoselachus,anguineus,4.75,7.75,1000:247:4,0.15
Chlamydoselachus,anguineus,4.25,8.25,1000:248:1,0.09
Chlamydoselachus,anguineus,4.25,8.75,1000:248:2,0.06
Chlamydoselachus,anguineus,4.75,8.25,1000:248:3,0.10
Chlamydoselachus,anguineus,4.75,8.75,1000:248:4,0.03
Chlamydoselachus,anguineus,4.25,9.25,1000:249:1,0.02
Chlamydoselachus,anguineus,5.25,3.75,1000:353:2,0.17
Chlamydoselachus,anguineus,6.75,3.25,1000:363:3,0.01
Chlamydoselachus,anguineus,18.25,105.75,1110:485:2,0.02
Chlamydoselachus,anguineus,19.75,109.75,1110:499:4,0.02
Chlamydoselachus,anguineus,15.75,113.25,1111:353:3,0.05
Chlamydoselachus,anguineus,19.75,110.25,1111:390:3,0.01
Chlamydoselachus,anguineus,21.25,106.75,1210:216:2,0.01
Chlamydoselachus,anguineus,21.25,107.25,1210:217:1,0.02
Chlamydoselachus,anguineus,21.75,109.75,1210:219:4,0.11
Chlamydoselachus,anguineus,21.25,110.25,1211:110:1,0.14
Chlamydoselachus,anguineus,21.75,111.25,1211:111:3,0.07
Chlamydoselachus,anguineus,21.75,113.75,1211:113:4,0.16
Chlamydoselachus,anguineus,22.25,113.25,1211:123:1,0.14
Chlamydoselachus,anguineus,22.25,114.25,1211:124:1,0.08
Chlamydoselachus,anguineus,22.75,114.25,1211:124:3,0.16
Chlamydoselachus,anguineus,23.25,113.25,1211:133:1,0.01
Chlamydoselachus,anguineus,20.25,118.25,1211:208:1,0.03
Chlamydoselachus,anguineus,23.75,116.75,1211:236:4,0.14
Chlamydoselachus,anguineus,25.25,118.75,1211:458:2,0.11
Chlamydoselachus,anguineus,25.75,119.25,1211:459:3,0.07
Chlamydoselachus,anguineus,20.25,120.75,1212:100:2,0.15
Chlamydoselachus,anguineus,28.75,121.75,1212:381:4,0.14
Chlamydoselachus,anguineus,29.25,121.75,1212:391:2,0.09
Chlamydoselachus,anguineus,29.25,122.25,1212:392:1,0.06
Chlamydoselachus,anguineus,29.75,122.25,1212:392:3,0.05
Chlamydoselachus,anguineus,25.75,128.25,1212:458:3,0.14
Chlamydoselachus,anguineus,21.75,136.75,1213:216:4,0.11
Chlamydoselachus,anguineus,25.25,136.25,1213:456:1,0.15
Chlamydoselachus,anguineus,20.25,142.25,1214:102:1,0.02
Chlamydoselachus,anguineus,20.75,144.25,1214:104:3,0.03
Chlamydoselachus,anguineus,21.25,143.75,1214:113:2,0.01
Chlamydoselachus,anguineus,24.75,140.75,1214:140:4,0.12
Chlamydoselachus,anguineus,20.75,145.25,1214:205:3,0.10
Chlamydoselachus,anguineus,20.25,146.75,1214:206:2,0.06
Chlamydoselachus,anguineus,20.25,149.75,1214:209:2,0.19
Chlamydoselachus,anguineus,22.75,148.75,1214:228:4,0.15
Chlamydoselachus,anguineus,24.25,149.75,1214:249:2,0.11
Chlamydoselachus,anguineus,25.25,140.75,1214:350:2,0.08
Chlamydoselachus,anguineus,25.75,142.75,1214:352:4,0.09
