Mapping parameters for Chriodorus atherinoides (Hardhead halfbeak)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,21.59,24.91,27.82,32.02
Salinity (psu),1,31.49,34.5,36.31,36.81
Primary Production (mgC·m-3·day-1) ,1,-0.53,0.47,6.32,14.92
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,156.8,179.13,214.5,224.47
Distance to Land (km),0,0,4,106,152
 

Map data (HSPEC) for predicted occurrences (n = 787): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chriodorus,atherinoides,30.25,-87.25,7308:207:1,0.03
Chriodorus,atherinoides,32.75,-80.25,7308:120:3,0.01
Chriodorus,atherinoides,32.25,-80.75,7308:120:2,0.08
Chriodorus,atherinoides,31.75,-80.75,7308:110:4,0.08
Chriodorus,atherinoides,30.75,-80.75,7308:100:4,0.19
Chriodorus,atherinoides,35.25,-75.75,7307:455:2,0.01
Chriodorus,atherinoides,34.25,-77.25,7307:247:1,0.05
Chriodorus,atherinoides,34.75,-76.25,7307:246:3,0.12
Chriodorus,atherinoides,34.25,-76.75,7307:246:2,0.05
Chriodorus,atherinoides,33.25,-78.75,7307:238:2,0.11
Chriodorus,atherinoides,33.25,-78.25,7307:238:1,0.05
Chriodorus,atherinoides,33.75,-77.75,7307:237:4,0.08
Chriodorus,atherinoides,32.75,-79.25,7307:229:3,0.16
Chriodorus,atherinoides,32.25,-79.25,7307:229:1,0.05
Chriodorus,atherinoides,28.75,-96.75,7209:486:4,0.07
Chriodorus,atherinoides,28.75,-95.25,7209:485:3,0.13
Chriodorus,atherinoides,27.75,-96.25,7209:476:3,0.11
Chriodorus,atherinoides,29.25,-93.75,7209:393:2,0.02
Chriodorus,atherinoides,29.25,-93.25,7209:393:1,0.06
Chriodorus,atherinoides,28.75,-92.75,7209:382:4,0.09
Chriodorus,atherinoides,28.75,-91.25,7209:381:3,0.15
Chriodorus,atherinoides,29.25,-84.25,7208:394:1,0.15
Chriodorus,atherinoides,29.25,-81.25,7208:391:1,0.09
Chriodorus,atherinoides,28.75,-80.75,7208:380:4,0.05
Chriodorus,atherinoides,22.25,-88.25,7208:228:1,0.11
Chriodorus,atherinoides,25.25,-78.75,7207:458:2,0.15
Chriodorus,atherinoides,24.75,-78.25,7207:248:3,0.05
Chriodorus,atherinoides,24.25,-78.75,7207:248:2,0.13
Chriodorus,atherinoides,24.25,-78.25,7207:248:1,0.10
Chriodorus,atherinoides,20.75,-70.75,7207:100:4,0.07
Chriodorus,atherinoides,16.25,-87.75,7108:467:2,0.14
Chriodorus,atherinoides,11.25,-70.25,7107:110:1,0.15
Chriodorus,atherinoides,10.75,-66.75,7106:206:4,0.13
Chriodorus,atherinoides,10.75,-65.75,7106:205:4,0.06
Chriodorus,atherinoides,11.75,-64.75,7106:114:4,0.09
Chriodorus,atherinoides,8.75,-81.75,7008:381:4,0.12
Chriodorus,atherinoides,8.75,-81.25,7008:381:3,0.15
Chriodorus,atherinoides,8.75,-80.75,7008:380:4,0.07
Chriodorus,atherinoides,9.25,-79.75,7007:499:2,0.06
Chriodorus,atherinoides,8.75,-59.75,7005:489:4,0.07
Chriodorus,atherinoides,7.25,-57.25,7005:477:1,0.12
Chriodorus,atherinoides,7.25,-56.75,7005:476:2,0.08
Chriodorus,atherinoides,7.25,-54.25,7005:374:1,0.01
Chriodorus,atherinoides,6.75,-52.25,7005:362:3,0.05
Chriodorus,atherinoides,0.25,-46.75,7004:206:2,0.13
Chriodorus,atherinoides,-27.75,-48.25,5204:478:3,0.05
Chriodorus,atherinoides,-27.25,-48.75,5204:478:2,0.01
Chriodorus,atherinoides,-27.25,-48.25,5204:478:1,0.04
Chriodorus,atherinoides,-26.75,-48.25,5204:468:3,0.10
Chriodorus,atherinoides,-25.75,-48.75,5204:458:4,0.09
Chriodorus,atherinoides,-25.25,-48.75,5204:458:2,0.08
Chriodorus,atherinoides,-25.75,-45.75,5204:455:4,0.05
Chriodorus,atherinoides,-24.75,-46.75,5204:246:4,0.10
Chriodorus,atherinoides,-24.25,-46.25,5204:246:1,0.09
Chriodorus,atherinoides,-22.75,-41.75,5204:121:4,0.02
Chriodorus,atherinoides,-21.25,-40.75,5204:110:2,0.03
Chriodorus,atherinoides,-20.25,-40.25,5204:100:1,0.03
Chriodorus,atherinoides,-19.75,-40.25,5104:390:3,0.01
Chriodorus,atherinoides,-19.75,-39.75,5103:499:4,0.14
Chriodorus,atherinoides,-11.25,-37.25,5103:217:1,0.01
