Mapping parameters for Chromis verater (Threespot chromis)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,30,15,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,6,18,81,160
Temperature (°C),1,24.4,24.9,25.9,30.1
Salinity (psu),1,34.11,34.61,35.4,35.9
Primary Production (mgC·m-3·day-1) ,1,-0.42,0.58,2.04,3.04
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,7.74,41.6,208.55,257.84
Distance to Land (km),0,3,9,165,431
 

Map data (HSPEC) for predicted occurrences (n = 87): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chromis,verater,22.75,-109.75,7210:229:4,0.05
Chromis,verater,25.75,-109.75,7210:459:4,0.05
Chromis,verater,26.25,-109.75,7210:469:2,0.04
Chromis,verater,25.25,-110.25,7211:350:1,0.15
Chromis,verater,18.75,-110.75,7111:380:4,0.38
Chromis,verater,24.25,-110.25,7211:140:1,0.35
Chromis,verater,26.75,-110.25,7211:360:3,0.31
Chromis,verater,26.75,-111.25,7211:361:3,0.28
Chromis,verater,27.25,-110.75,7211:370:2,0.25
Chromis,verater,18.75,-111.25,7111:381:3,0.40
Chromis,verater,18.25,-114.75,7111:384:2,0.58
Chromis,verater,19.25,-110.75,7111:390:2,0.49
Chromis,verater,23.25,-109.25,7210:239:1,0.53
Chromis,verater,26.25,-111.25,7211:361:1,0.43
Chromis,verater,20.75,-157.25,7215:207:3,0.56
Chromis,verater,23.75,-109.25,7210:239:3,0.66
Chromis,verater,23.75,-109.75,7210:239:4,0.71
Chromis,verater,24.75,-110.75,7211:140:4,0.78
Chromis,verater,25.75,-111.25,7211:351:3,0.62
Chromis,verater,26.25,-110.75,7211:360:2,0.78
Chromis,verater,19.25,-154.75,7115:394:2,1.00
Chromis,verater,19.75,-154.75,7115:394:4,1.00
Chromis,verater,18.75,-155.75,7115:485:4,1.00
Chromis,verater,19.25,-155.25,7115:495:1,1.00
Chromis,verater,19.25,-155.75,7115:495:2,1.00
Chromis,verater,19.75,-155.25,7115:495:3,1.00
Chromis,verater,19.75,-155.75,7115:495:4,1.00
Chromis,verater,19.75,-156.25,7115:496:3,1.00
Chromis,verater,16.75,-169.25,7116:469:3,0.82
Chromis,verater,16.75,-169.75,7116:469:4,0.82
Chromis,verater,24.25,-109.75,7210:249:2,0.83
Chromis,verater,24.75,-110.25,7211:140:3,0.85
Chromis,verater,25.25,-110.75,7211:350:2,0.96
Chromis,verater,25.75,-110.75,7211:350:4,0.91
Chromis,verater,20.25,-155.25,7215:205:1,1.00
Chromis,verater,20.25,-155.75,7215:205:2,1.00
Chromis,verater,20.75,-155.75,7215:205:4,1.00
Chromis,verater,20.75,-156.25,7215:206:3,1.00
Chromis,verater,20.75,-156.75,7215:206:4,1.00
Chromis,verater,20.75,-157.75,7215:207:4,1.00
Chromis,verater,21.25,-156.25,7215:216:1,1.00
Chromis,verater,21.25,-156.75,7215:216:2,1.00
Chromis,verater,21.25,-157.25,7215:217:1,1.00
Chromis,verater,21.25,-157.75,7215:217:2,1.00
Chromis,verater,21.75,-157.75,7215:217:4,1.00
Chromis,verater,21.25,-158.25,7215:218:1,1.00
Chromis,verater,21.75,-158.25,7215:218:3,1.00
Chromis,verater,21.75,-159.25,7215:219:3,1.00
Chromis,verater,21.75,-159.75,7215:219:4,1.00
Chromis,verater,22.25,-159.25,7215:229:1,1.00
Chromis,verater,22.25,-159.75,7215:229:2,1.00
Chromis,verater,21.75,-160.25,7216:110:3,1.00
Chromis,verater,21.75,-160.75,7216:110:4,1.00
Chromis,verater,22.25,-160.25,7216:120:1,1.00
Chromis,verater,22.75,-160.75,7216:120:4,1.00
Chromis,verater,22.75,-161.25,7216:121:3,1.00
Chromis,verater,22.75,-162.25,7216:122:3,0.92
Chromis,verater,23.25,-161.75,7216:131:2,1.00
Chromis,verater,23.25,-162.25,7216:132:1,0.97
Chromis,verater,23.25,-162.75,7216:132:2,0.93
Chromis,verater,23.25,-163.25,7216:133:1,0.92
Chromis,verater,23.25,-164.25,7216:134:1,0.99
Chromis,verater,23.25,-164.75,7216:134:2,1.00
Chromis,verater,23.75,-164.25,7216:134:3,1.00
Chromis,verater,23.75,-164.75,7216:134:4,1.00
Chromis,verater,23.75,-165.75,7216:235:4,0.98
Chromis,verater,23.75,-166.25,7216:236:3,1.00
Chromis,verater,24.25,-166.75,7216:246:2,1.00
Chromis,verater,24.25,-167.25,7216:247:1,0.99
Chromis,verater,24.75,-167.75,7216:247:4,0.99
Chromis,verater,24.75,-168.25,7216:248:3,1.00
Chromis,verater,25.25,-167.75,7216:457:2,0.97
Chromis,verater,25.25,-168.25,7216:458:1,0.99
Chromis,verater,25.75,-169.25,7216:459:3,0.97
Chromis,verater,25.25,-170.25,7217:350:1,0.98
Chromis,verater,25.25,-170.75,7217:350:2,0.98
Chromis,verater,25.75,-170.75,7217:350:4,0.99
Chromis,verater,25.25,-171.25,7217:351:1,0.97
Chromis,verater,25.75,-171.25,7217:351:3,0.98
Chromis,verater,25.75,-171.75,7217:351:4,0.97
Chromis,verater,25.25,-172.25,7217:352:1,0.95
Chromis,verater,25.75,-173.25,7217:353:3,0.95
Chromis,verater,25.75,-173.75,7217:353:4,0.96
Chromis,verater,26.25,-173.25,7217:363:1,1.00
Chromis,verater,26.25,-173.75,7217:363:2,1.00
Chromis,verater,26.25,-174.25,7217:364:1,1.00
Chromis,verater,26.25,-174.75,7217:364:2,1.00


Occurrence cells used for creating environmental envelope (n = 32)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Chromis,verater,16.75,-169.25,7116:469:3,3664,26.6389274597168,0.989642977714539,34.8220672607422,34.6946296691895,0.581000000238419,0,175.126007080078,26
Chromis,verater,16.75,-169.75,7116:469:4,3767,26.6746463775635,1.40031802654266,34.8229942321777,34.6698684692383,0.586999987717718,0,134.081008911133,107
Chromis,verater,18.75,-155.75,7115:485:4,3363,25.3561038970947,1.46801900863647,34.8091812133789,34.6730003356934,1.32999999914318,0,125.922622680664,26
Chromis,verater,19.25,-154.75,7115:394:2,3853,25.1846961975098,1.09185898303986,34.8631553649902,34.6917419433594,1.1490000179037498,0,164.053482055664,25
Chromis,verater,19.25,-155.25,7115:495:1,1505,25.2196445465088,4.94797515869141,34.8552436828613,34.4550285339355,1.41499994788319,0,39.1801300048828,14
Chromis,verater,19.25,-155.75,7115:495:2,1471,25.4007263183594,3.45700931549072,34.8478050231934,34.5977058410645,1.4853337779641198,0,103.483909606934,9
Chromis,verater,19.75,-154.75,7115:394:4,2101,25.1356754302979,1.2598090171814,34.9301643371582,34.6815299987793,1.3920000055804802,0,141.216888427734,24
Chromis,verater,19.75,-155.25,7115:495:3,231,25.2077579498291,5.67529058456421,34.915096282959,34.6156768798828,1.4582388103008301,0,106.472229003906,3
Chromis,verater,19.75,-155.75,7115:495:4,368,25.3814601898193,8.98547458648682,34.8955078125,34.677562713623,1.52225000783801,0,132.267471313477,4
Chromis,verater,20.25,-155.25,7215:205:1,2178,25.1443748474121,1.36350500583649,34.981128692627,34.6703643798828,1.50799995753914,0,130.554351806641,23
Chromis,verater,20.25,-155.75,7215:205:2,663,25.3182010650635,25.3904266357422,34.9481925964355,34.8980751037598,1.56000000424683,0,208.996780395508,19
Chromis,verater,20.75,-156.25,7215:206:3,524,25.2746315002441,6.51952409744263,34.9979972839355,34.6003532409668,1.3073987793177402,0,93.9891967773438,14
Chromis,verater,20.75,-156.75,7215:206:4,259,25.4630069732666,16.0558032989502,34.9669609069824,34.8188095092773,1.23900000471622,0,197.487655639648,21
Chromis,verater,20.75,-157.25,7215:207:3,2025,25.6342792510986,1.76861500740051,34.9535827636719,34.6483764648438,0.957000011112541,0,107.551124572754,104
Chromis,verater,21.25,-156.75,7215:216:2,1251,25.1393985748291,10.4211740493774,35.0432357788086,34.2121315002441,1.3030000263825101,0,181.082122802734,23
Chromis,verater,21.25,-157.25,7215:217:1,589,25.3070030212402,25.4041652679443,35.0119857788086,34.9652328491211,1.15599995478988,0,208.549285888672,24
Chromis,verater,21.25,-157.75,7215:217:2,404,25.4346237182617,6.68282079696655,35.0475082397461,34.1257133483887,1.01500004529953,0,87.3426895141602,22
Chromis,verater,21.25,-158.25,7215:218:1,2368,25.6566429138184,2.03847193717957,35.0348129272461,34.6181678771973,0.934000010602176,0,93.4344863891602,24
Chromis,verater,21.75,-157.75,7215:217:4,1866,25.1010913848877,1.73332905769348,35.1234664916992,34.6190223693848,1.1210000375285698,0,105.566146850586,23
Chromis,verater,21.75,-158.25,7215:218:3,1551,25.3341274261475,4.43963813781738,35.0824737548828,34.3997497558594,1.12699996680021,0,40.4415283203125,24
Chromis,verater,21.75,-159.25,7215:219:3,2732,25.4960269927979,1.23294305801392,35.1162185668945,34.6803283691406,0.904000014998019,0,143.878845214844,25
Chromis,verater,21.75,-159.75,7215:219:4,2409,25.5478229522705,1.50671398639679,35.1069602966309,34.647632598877,0.861999986227602,0,120.80110168457,25
Chromis,verater,21.75,-160.25,7216:110:3,2059,25.6319007873535,4.44791507720947,35.0895538330078,34.4342422485352,0.722000026144087,0,41.6033554077148,25
Chromis,verater,22.25,-159.25,7215:229:1,1985,25.2335586547852,1.74499094486237,35.1752815246582,34.6488571166992,1.06999999843538,0,105.148391723633,21
Chromis,verater,22.25,-159.75,7215:229:2,2019,25.3460998535156,6.75266981124878,35.1358375549316,34.1058540344238,1.10200000926852,0,101.529083251953,21
Chromis,verater,22.25,-160.25,7216:120:1,3212,25.4729404449463,1.48857200145721,35.1225204467773,34.6479568481445,0.8769999840296799,0,119.93571472168,103
Chromis,verater,22.75,-152.75,7215:122:4,5125,24.4945278167725,1.01693499088287,35.1981201171875,34.6914100646973,0.531999976374209,0,171.573623657227,431
Chromis,verater,22.75,-161.25,7216:121:3,3344,25.3707962036133,1.68993604183197,35.1986465454102,34.6151962280273,0.579999992623925,0,105.641502380371,127
Chromis,verater,23.75,-166.25,7216:236:3,1272,25.4562301635742,25.2553234100342,35.3369407653809,35.2959938049316,0.630999973509461,0,210.064712524414,204
Chromis,verater,24.75,-168.25,7216:248:3,1483,25.3113403320313,3.74906301498413,35.3952751159668,34.4167404174805,0.68599998485297,0,44.9205360412598,126
Chromis,verater,25.25,-170.75,7217:350:2,2174,25.313850402832,1.49661302566528,35.4094772338867,34.6460151672363,0.842000008560717,0,120.277694702148,165
Chromis,verater,25.75,-173.75,7217:353:4,2934,25.2643451690674,1.19591903686523,35.4192008972168,34.677547454834,0.620000006165355,0,149.005950927734,106
