Mapping parameters for Chrysoblephus cristiceps (Daggerhead seabream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,-22,-35,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,37,65,100
Temperature (°C),1,7.54,14.49,23.73,24.63
Salinity (psu),1,34.23,34.73,35.73,36.23
Primary Production (mgC·m-3·day-1) ,1,8.14,21.89,101.64,124.67
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,44.28,214.12,254.97
Distance to Land (km),0,0,1,88,403
 

Map data (HSPEC) for predicted occurrences (n = 112): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chrysoblephus,cristiceps,-34.25,26.75,3302:246:2,0.03
Chrysoblephus,cristiceps,-30.75,15.75,3301:205:4,0.05
Chrysoblephus,cristiceps,-26.75,32.75,3203:362:4,0.10
Chrysoblephus,cristiceps,-25.75,33.25,3203:353:3,0.02
Chrysoblephus,cristiceps,-25.25,33.75,3203:353:2,0.05
Chrysoblephus,cristiceps,-25.25,33.25,3203:353:1,0.13
Chrysoblephus,cristiceps,-29.25,14.75,3201:394:2,0.10
Chrysoblephus,cristiceps,-34.75,22.75,3302:142:4,0.26
Chrysoblephus,cristiceps,-30.75,16.25,3301:206:3,0.38
Chrysoblephus,cristiceps,-29.25,32.25,3203:392:1,0.27
Chrysoblephus,cristiceps,-26.25,32.75,3203:362:2,0.24
Chrysoblephus,cristiceps,-28.25,15.25,3201:485:1,0.25
Chrysoblephus,cristiceps,-30.25,31.25,3303:101:1,0.46
Chrysoblephus,cristiceps,-31.25,18.25,3301:218:1,0.57
Chrysoblephus,cristiceps,-29.75,31.75,3203:391:4,0.45
Chrysoblephus,cristiceps,-28.75,32.25,3203:382:3,0.52
Chrysoblephus,cristiceps,-25.75,32.75,3203:352:4,0.42
Chrysoblephus,cristiceps,-29.75,15.25,3201:495:3,0.47
Chrysoblephus,cristiceps,-29.25,15.75,3201:495:2,0.49
Chrysoblephus,cristiceps,-27.75,15.75,3201:475:4,0.52
Chrysoblephus,cristiceps,-26.75,14.75,3201:364:4,0.49
Chrysoblephus,cristiceps,-22.25,14.25,3201:124:1,0.41
Chrysoblephus,cristiceps,-30.75,30.75,3303:100:4,0.71
Chrysoblephus,cristiceps,-33.75,27.75,3302:237:4,0.71
Chrysoblephus,cristiceps,-34.75,24.75,3302:144:4,0.76
Chrysoblephus,cristiceps,-33.25,18.25,3301:238:1,0.79
Chrysoblephus,cristiceps,-32.25,17.75,3301:227:2,0.74
Chrysoblephus,cristiceps,-28.25,32.25,3203:382:1,0.60
Chrysoblephus,cristiceps,-29.75,16.75,3201:496:4,0.77
Chrysoblephus,cristiceps,-27.25,15.25,3201:475:1,0.64
Chrysoblephus,cristiceps,-28.75,14.75,3201:384:4,0.63
Chrysoblephus,cristiceps,-25.25,14.75,3201:354:2,0.66
Chrysoblephus,cristiceps,-24.75,14.75,3201:144:4,0.71
Chrysoblephus,cristiceps,-24.25,14.75,3201:144:2,0.70
Chrysoblephus,cristiceps,-23.75,14.75,3201:134:4,0.67
Chrysoblephus,cristiceps,-23.75,14.25,3201:134:3,0.60
Chrysoblephus,cristiceps,-23.25,14.75,3201:134:2,0.63
Chrysoblephus,cristiceps,-22.75,14.75,3201:124:4,0.60
Chrysoblephus,cristiceps,-22.75,14.25,3201:124:3,0.63
Chrysoblephus,cristiceps,-31.25,30.25,3303:110:1,0.99
Chrysoblephus,cristiceps,-30.75,30.25,3303:100:3,1.00
Chrysoblephus,cristiceps,-30.25,30.75,3303:100:2,0.98
Chrysoblephus,cristiceps,-34.25,26.25,3302:246:1,1.00
Chrysoblephus,cristiceps,-34.25,25.75,3302:245:2,1.00
Chrysoblephus,cristiceps,-34.25,25.25,3302:245:1,1.00
Chrysoblephus,cristiceps,-33.25,28.25,3302:238:1,1.00
Chrysoblephus,cristiceps,-33.75,27.25,3302:237:3,1.00
Chrysoblephus,cristiceps,-33.25,27.75,3302:237:2,1.00
Chrysoblephus,cristiceps,-33.25,27.25,3302:237:1,1.00
Chrysoblephus,cristiceps,-33.75,26.75,3302:236:4,1.00
Chrysoblephus,cristiceps,-33.75,26.25,3302:236:3,1.00
Chrysoblephus,cristiceps,-33.75,25.75,3302:235:4,1.00
Chrysoblephus,cristiceps,-33.75,25.25,3302:235:3,1.00
Chrysoblephus,cristiceps,-32.25,29.25,3302:229:1,1.00
Chrysoblephus,cristiceps,-32.75,28.75,3302:228:4,1.00
Chrysoblephus,cristiceps,-32.75,28.25,3302:228:3,1.00
Chrysoblephus,cristiceps,-32.25,28.75,3302:228:2,1.00
Chrysoblephus,cristiceps,-31.75,29.75,3302:219:4,1.00
Chrysoblephus,cristiceps,-31.75,29.25,3302:219:3,1.00
Chrysoblephus,cristiceps,-31.25,29.75,3302:219:2,1.00
Chrysoblephus,cristiceps,-34.25,24.75,3302:144:2,1.00
Chrysoblephus,cristiceps,-34.25,24.25,3302:144:1,1.00
Chrysoblephus,cristiceps,-34.75,23.75,3302:143:4,0.89
Chrysoblephus,cristiceps,-34.75,23.25,3302:143:3,1.00
Chrysoblephus,cristiceps,-34.25,23.75,3302:143:2,1.00
Chrysoblephus,cristiceps,-34.25,23.25,3302:143:1,1.00
Chrysoblephus,cristiceps,-34.75,22.25,3302:142:3,1.00
Chrysoblephus,cristiceps,-34.25,22.75,3302:142:2,1.00
Chrysoblephus,cristiceps,-34.25,22.25,3302:142:1,1.00
Chrysoblephus,cristiceps,-34.75,21.75,3302:141:4,1.00
Chrysoblephus,cristiceps,-34.75,21.25,3302:141:3,0.91
Chrysoblephus,cristiceps,-34.25,21.75,3302:141:2,1.00
Chrysoblephus,cristiceps,-34.25,21.25,3302:141:1,1.00
Chrysoblephus,cristiceps,-34.75,20.75,3302:140:4,1.00
Chrysoblephus,cristiceps,-34.75,20.25,3302:140:3,1.00
Chrysoblephus,cristiceps,-34.25,20.75,3302:140:2,1.00
Chrysoblephus,cristiceps,-34.25,20.25,3302:140:1,1.00
Chrysoblephus,cristiceps,-33.75,24.75,3302:134:4,1.00
Chrysoblephus,cristiceps,-33.75,23.75,3302:133:4,1.00
Chrysoblephus,cristiceps,-34.75,19.75,3301:249:4,1.00
Chrysoblephus,cristiceps,-34.75,19.25,3301:249:3,1.00
Chrysoblephus,cristiceps,-34.25,19.25,3301:249:1,1.00
Chrysoblephus,cristiceps,-34.25,18.75,3301:248:2,1.00
Chrysoblephus,cristiceps,-34.25,18.25,3301:248:1,1.00
Chrysoblephus,cristiceps,-32.75,18.25,3301:228:3,1.00
Chrysoblephus,cristiceps,-32.25,18.25,3301:228:1,1.00
Chrysoblephus,cristiceps,-32.75,17.75,3301:227:4,0.95
Chrysoblephus,cristiceps,-31.75,18.25,3301:218:3,1.00
Chrysoblephus,cristiceps,-31.75,17.75,3301:217:4,1.00
Chrysoblephus,cristiceps,-31.25,17.75,3301:217:2,1.00
Chrysoblephus,cristiceps,-30.75,17.75,3301:207:4,1.00
Chrysoblephus,cristiceps,-30.75,17.25,3301:207:3,1.00
Chrysoblephus,cristiceps,-30.25,17.25,3301:207:1,1.00
Chrysoblephus,cristiceps,-29.75,31.25,3203:391:3,1.00
Chrysoblephus,cristiceps,-29.25,31.75,3203:391:2,1.00
Chrysoblephus,cristiceps,-29.25,31.25,3203:391:1,1.00
Chrysoblephus,cristiceps,-28.75,31.75,3203:381:4,1.00
Chrysoblephus,cristiceps,-29.75,17.25,3201:497:3,1.00
Chrysoblephus,cristiceps,-29.25,17.25,3201:497:1,1.00
Chrysoblephus,cristiceps,-29.25,16.75,3201:496:2,1.00
Chrysoblephus,cristiceps,-29.75,15.75,3201:495:4,0.95
Chrysoblephus,cristiceps,-28.75,16.75,3201:486:4,1.00
Chrysoblephus,cristiceps,-28.25,16.25,3201:486:1,0.84
Chrysoblephus,cristiceps,-27.75,15.25,3201:475:3,1.00
Chrysoblephus,cristiceps,-26.75,15.25,3201:465:3,0.98
Chrysoblephus,cristiceps,-26.25,15.25,3201:465:1,0.98
Chrysoblephus,cristiceps,-28.25,14.75,3201:384:2,1.00
Chrysoblephus,cristiceps,-26.25,14.75,3201:364:2,0.96
Chrysoblephus,cristiceps,-25.75,14.75,3201:354:4,0.94
Chrysoblephus,cristiceps,-24.75,14.25,3201:144:3,1.00
Chrysoblephus,cristiceps,-23.25,14.25,3201:134:1,1.00
Chrysoblephus,cristiceps,-22.25,13.75,3201:123:2,0.94


Occurrence cells used for creating environmental envelope (n = 71)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Chrysoblephus,cristiceps,-34.75,20.25,3302:140:3,52,17.9208240509033,15.4163007736206,35.5106086730957,35.2265510559082,26.1540003120899,0,191.946914672852,17
Chrysoblephus,cristiceps,-34.75,18.75,3301:248:4,198,17.9342727661133,12.0791139602661,35.5196380615234,35.0561714172363,21.4970000088215,0,201.866790771484,84
Chrysoblephus,cristiceps,-34.75,19.25,3301:249:3,112,17.5954570770264,14.1225967407227,35.5129356384277,35.1850051879883,27.2739995270967,0,192.28662109375,22
Chrysoblephus,cristiceps,-34.75,19.75,3301:249:4,65,17.7349910736084,17.905517578125,35.5199508666992,35.410343170166,26.169000193476702,0,236.494018554688,13
Chrysoblephus,cristiceps,-34.75,21.25,3302:141:3,67,18.1103343963623,14.1578855514526,35.4898452758789,35.2371978759766,20.6560008227825,0,174.801116943359,88
Chrysoblephus,cristiceps,-34.75,20.75,3302:140:4,56,18.0444946289063,13.9480695724487,35.5112228393555,35.2240295410156,22.0289994031191,0,173.910598754883,84
Chrysoblephus,cristiceps,-34.25,20.75,3302:140:2,33,17.6046619415283,14.6474437713623,35.4358367919922,35.2525863647461,32.0396646857262,0,187.215621948242,4
Chrysoblephus,cristiceps,-34.25,20.25,3302:140:1,101,17.42893409729,15.1666202545166,35.4307823181152,35.2615852355957,34.5344841480255,0,195.365234375,0
Chrysoblephus,cristiceps,-34.25,17.75,3301:247:2,640,17.9657554626465,8.80160045623779,35.4960327148438,34.6167297363281,22.2919993102551,0,206.935928344727,92
Chrysoblephus,cristiceps,-34.25,18.25,3301:248:1,202,17.2260971069336,13.6025438308716,35.3631858825684,35.2131309509277,44.5979982614517,0,196.5751953125,21
Chrysoblephus,cristiceps,-34.25,18.75,3301:248:2,66,16.8527660369873,17.1387481689453,35.4248237609863,35.4017639160156,50.1630008220673,0,228.940444946289,18
Chrysoblephus,cristiceps,-34.25,19.25,3301:249:1,49,17.0607395172119,16.3451805114746,35.389030456543,35.318473815918,41.881687939167,0,216.04850769043,6
Chrysoblephus,cristiceps,-34.25,22.25,3302:142:1,74,18.1782608032227,14.1808891296387,35.4703674316406,35.3098640441895,26.527000591158902,0,180.7939453125,20
Chrysoblephus,cristiceps,-34.25,25.75,3302:245:2,187,20.088737487793,17.0086116790771,35.4023933410645,35.371452331543,30.74000030756,0,191.914810180664,88
Chrysoblephus,cristiceps,-34.25,25.25,3302:245:1,117,19.5303592681885,16.3919944763184,35.410041809082,35.4957809448242,34.6410013735294,0,192.728973388672,85
Chrysoblephus,cristiceps,-34.25,32.25,3303:142:1,3191,20.9962196350098,2.11551690101624,35.530029296875,34.81396484375,8.14200006425381,0,209.977737426758,403
Chrysoblephus,cristiceps,-34.25,24.75,3302:144:2,94,19.1685256958008,15.0361995697021,35.4139633178711,35.4944763183594,38.2039994001389,0,192.02864074707,18
Chrysoblephus,cristiceps,-34.25,24.25,3302:144:1,115,18.9030094146729,14.4899110794067,35.4189834594727,35.3493270874023,39.9679988622665,0,191.78157043457,21
Chrysoblephus,cristiceps,-34.25,23.75,3302:143:2,138,18.7133274078369,13.6721019744873,35.4304504394531,35.354923248291,37.7559997141361,0,190.331115722656,49
