Mapping parameters for Ciliatocardium ciliatum ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 27,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,38,155,335
Temperature (°C),1,-1.65,-0.01,5.76,14.12
Salinity (psu),1,23.54,33.42,34.99,36.02
Primary Production (mgC·m-3·day-1) ,1,0.54,3.07,11.5,17.9
Sea Ice Concentration (0-1 fraction),1,-0.92,0,0.23,0.93
Dissolved Bottom Oxygen (mmol·m-3),0,230.92,298.89,330.91,362.65
Distance to Land (km),0,0,1,288,468
 

Map data (HSPEC) for predicted occurrences (n = 4369): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ciliatocardium,ciliatum,49.25,0.25,1400:390:1,0.04
Ciliatocardium,ciliatum,50.25,0.25,1500:100:1,0.16
Ciliatocardium,ciliatum,50.25,0.75,1500:100:2,0.16
Ciliatocardium,ciliatum,50.75,0.25,1500:100:3,0.10
Ciliatocardium,ciliatum,50.75,0.75,1500:100:4,0.03
Ciliatocardium,ciliatum,50.75,1.25,1500:101:3,0.18
Ciliatocardium,ciliatum,51.25,0.75,1500:110:2,0.02
Ciliatocardium,ciliatum,51.25,1.25,1500:111:1,0.12
Ciliatocardium,ciliatum,51.25,1.75,1500:111:2,0.19
Ciliatocardium,ciliatum,51.75,1.25,1500:111:3,0.05
Ciliatocardium,ciliatum,51.25,2.25,1500:112:1,0.19
Ciliatocardium,ciliatum,51.25,2.75,1500:112:2,0.11
Ciliatocardium,ciliatum,51.75,2.75,1500:112:4,0.12
Ciliatocardium,ciliatum,52.25,1.25,1500:121:1,0.15
Ciliatocardium,ciliatum,53.25,4.25,1500:134:1,0.04
Ciliatocardium,ciliatum,54.25,3.75,1500:143:2,0.18
Ciliatocardium,ciliatum,54.25,4.25,1500:144:1,0.16
Ciliatocardium,ciliatum,54.25,4.75,1500:144:2,0.19
Ciliatocardium,ciliatum,54.75,4.25,1500:144:3,0.18
Ciliatocardium,ciliatum,54.75,4.75,1500:144:4,0.18
Ciliatocardium,ciliatum,53.75,5.75,1500:235:4,0.17
Ciliatocardium,ciliatum,53.75,6.25,1500:236:3,0.14
Ciliatocardium,ciliatum,53.75,6.75,1500:236:4,0.17
Ciliatocardium,ciliatum,53.75,7.25,1500:237:3,0.12
Ciliatocardium,ciliatum,53.75,7.75,1500:237:4,0.14
Ciliatocardium,ciliatum,54.75,5.25,1500:245:3,0.18
Ciliatocardium,ciliatum,54.25,8.25,1500:248:1,0.04
Ciliatocardium,ciliatum,54.75,8.25,1500:248:3,0.19
Ciliatocardium,ciliatum,55.25,8.75,1500:458:2,0.12
Ciliatocardium,ciliatum,58.25,6.25,1500:486:1,0.02
Ciliatocardium,ciliatum,58.25,7.25,1500:487:1,0.12
Ciliatocardium,ciliatum,59.75,5.75,1500:495:4,0.19
Ciliatocardium,ciliatum,59.25,6.75,1500:496:2,0.01
Ciliatocardium,ciliatum,59.75,6.25,1500:496:3,0.01
Ciliatocardium,ciliatum,59.75,6.75,1500:496:4,0.01
Ciliatocardium,ciliatum,59.25,9.75,1500:499:2,0.01
Ciliatocardium,ciliatum,56.75,10.25,1501:360:3,0.04
Ciliatocardium,ciliatum,57.25,10.75,1501:370:2,0.18
Ciliatocardium,ciliatum,57.25,11.25,1501:371:1,0.09
Ciliatocardium,ciliatum,57.25,11.75,1501:371:2,0.03
Ciliatocardium,ciliatum,58.25,11.75,1501:381:2,0.03
Ciliatocardium,ciliatum,59.25,10.75,1501:390:2,0.13
Ciliatocardium,ciliatum,59.75,10.25,1501:390:3,0.02
Ciliatocardium,ciliatum,59.75,10.75,1501:390:4,0.13
Ciliatocardium,ciliatum,59.25,11.25,1501:391:1,0.17
Ciliatocardium,ciliatum,60.25,3.75,1600:103:2,0.18
Ciliatocardium,ciliatum,60.75,3.75,1600:103:4,0.14
Ciliatocardium,ciliatum,60.25,4.25,1600:104:1,0.17
Ciliatocardium,ciliatum,61.75,2.25,1600:112:3,0.07
Ciliatocardium,ciliatum,61.25,3.25,1600:113:1,0.10
Ciliatocardium,ciliatum,62.25,0.25,1600:120:1,0.06
Ciliatocardium,ciliatum,62.25,1.25,1600:121:1,0.16
Ciliatocardium,ciliatum,62.25,3.25,1600:123:1,0.13
Ciliatocardium,ciliatum,62.75,3.25,1600:123:3,0.06
Ciliatocardium,ciliatum,60.75,5.75,1600:205:4,0.01
Ciliatocardium,ciliatum,60.75,6.75,1600:206:4,0.01
Ciliatocardium,ciliatum,60.75,7.25,1600:207:3,0.01
Ciliatocardium,ciliatum,61.75,5.75,1600:215:4,0.04
Ciliatocardium,ciliatum,61.75,6.75,1600:216:4,0.01
Ciliatocardium,ciliatum,61.25,7.75,1600:217:2,0.01
Ciliatocardium,ciliatum,62.75,8.75,1600:228:4,0.01
Ciliatocardium,ciliatum,64.75,5.75,1600:245:4,0.07
Ciliatocardium,ciliatum,64.25,6.75,1600:246:2,0.16
Ciliatocardium,ciliatum,65.75,5.75,1600:455:4,0.04
Ciliatocardium,ciliatum,65.25,6.25,1600:456:1,0.19
Ciliatocardium,ciliatum,65.75,6.25,1600:456:3,0.18
Ciliatocardium,ciliatum,65.75,6.75,1600:456:4,0.08
Ciliatocardium,ciliatum,65.75,7.25,1600:457:3,0.14
Ciliatocardium,ciliatum,65.75,7.75,1600:457:4,0.09
Ciliatocardium,ciliatum,65.75,8.25,1600:458:3,0.03
Ciliatocardium,ciliatum,65.75,8.75,1600:458:4,0.17
Ciliatocardium,ciliatum,66.25,6.25,1600:466:1,0.15
Ciliatocardium,ciliatum,66.25,6.75,1600:466:2,0.16
Ciliatocardium,ciliatum,66.25,7.25,1600:467:1,0.05
Ciliatocardium,ciliatum,66.75,7.75,1600:467:4,0.11
Ciliatocardium,ciliatum,66.25,8.25,1600:468:1,0.06
Ciliatocardium,ciliatum,67.25,8.25,1600:478:1,0.08
Ciliatocardium,ciliatum,67.25,8.75,1600:478:2,0.07
Ciliatocardium,ciliatum,64.75,11.75,1601:141:4,0.18
Ciliatocardium,ciliatum,65.25,12.25,1601:352:1,0.19
Ciliatocardium,ciliatum,65.25,12.75,1601:352:2,0.02
Ciliatocardium,ciliatum,66.25,13.25,1601:363:1,0.16
Ciliatocardium,ciliatum,66.75,13.75,1601:363:4,0.14
Ciliatocardium,ciliatum,67.75,15.75,1601:475:4,0.14
Ciliatocardium,ciliatum,64.75,35.25,1603:245:3,0.01
Ciliatocardium,ciliatum,64.75,35.75,1603:245:4,0.04
Ciliatocardium,ciliatum,64.75,36.25,1603:246:3,0.05
Ciliatocardium,ciliatum,64.75,36.75,1603:246:4,0.04
Ciliatocardium,ciliatum,64.75,37.75,1603:247:4,0.12
Ciliatocardium,ciliatum,65.25,34.25,1603:354:1,0.02
Ciliatocardium,ciliatum,65.25,34.75,1603:354:2,0.08
Ciliatocardium,ciliatum,67.25,31.75,1603:371:2,0.02
Ciliatocardium,ciliatum,67.25,32.25,1603:372:1,0.14
Ciliatocardium,ciliatum,69.25,32.75,1603:392:2,0.13
Ciliatocardium,ciliatum,66.25,42.25,1604:362:1,0.15
Ciliatocardium,ciliatum,66.25,42.75,1604:362:2,0.14
Ciliatocardium,ciliatum,66.25,43.25,1604:363:1,0.17
Ciliatocardium,ciliatum,66.25,43.75,1604:363:2,0.10
Ciliatocardium,ciliatum,66.25,44.25,1604:364:1,0.15
Ciliatocardium,ciliatum,67.25,43.75,1604:373:2,0.19
Ciliatocardium,ciliatum,67.25,44.25,1604:374:1,0.17
Ciliatocardium,ciliatum,67.25,44.75,1604:374:2,0.04
Ciliatocardium,ciliatum,67.75,44.25,1604:374:3,0.19
Ciliatocardium,ciliatum,66.75,45.75,1604:465:4,0.17
Ciliatocardium,ciliatum,66.75,46.25,1604:466:3,0.14
Ciliatocardium,ciliatum,66.75,46.75,1604:466:4,0.16
Ciliatocardium,ciliatum,66.75,47.25,1604:467:3,0.16
Ciliatocardium,ciliatum,66.75,47.75,1604:467:4,0.12
Ciliatocardium,ciliatum,67.25,45.25,1604:475:1,0.18
Ciliatocardium,ciliatum,67.25,45.75,1604:475:2,0.17
Ciliatocardium,ciliatum,67.25,46.25,1604:476:1,0.18
Ciliatocardium,ciliatum,68.25,51.25,1605:381:1,0.07
Ciliatocardium,ciliatum,68.25,52.25,1605:382:1,0.09
Ciliatocardium,ciliatum,68.25,52.75,1605:382:2,0.02
Ciliatocardium,ciliatum,68.75,55.25,1605:485:3,0.03
Ciliatocardium,ciliatum,68.75,55.75,1605:485:4,0.04
Ciliatocardium,ciliatum,68.75,56.25,1605:486:3,0.08
Ciliatocardium,ciliatum,68.75,56.75,1605:486:4,0.11
Ciliatocardium,ciliatum,68.75,57.25,1605:487:3,0.12
Ciliatocardium,ciliatum,68.75,57.75,1605:487:4,0.15
Ciliatocardium,ciliatum,68.75,58.25,1605:488:3,0.13
Ciliatocardium,ciliatum,68.75,58.75,1605:488:4,0.04
Ciliatocardium,ciliatum,68.25,59.25,1605:489:1,0.04
Ciliatocardium,ciliatum,68.25,59.75,1605:489:2,0.04
Ciliatocardium,ciliatum,68.75,59.25,1605:489:3,0.07
Ciliatocardium,ciliatum,68.75,59.75,1605:489:4,0.07
Ciliatocardium,ciliatum,68.75,60.25,1606:380:3,0.06
Ciliatocardium,ciliatum,68.75,60.75,1606:380:4,0.07
Ciliatocardium,ciliatum,69.25,60.25,1606:390:1,0.19
Ciliatocardium,ciliatum,69.25,60.75,1606:390:2,0.12
Ciliatocardium,ciliatum,79.75,8.25,1700:498:3,0.17
Ciliatocardium,ciliatum,71.25,16.75,1701:216:2,0.15
Ciliatocardium,ciliatum,72.25,16.75,1701:226:2,0.04
Ciliatocardium,ciliatum,72.25,18.75,1701:228:2,0.15
Ciliatocardium,ciliatum,72.25,19.25,1701:229:1,0.16
Ciliatocardium,ciliatum,72.25,19.75,1701:229:2,0.18
Ciliatocardium,ciliatum,73.75,16.25,1701:236:3,0.11
Ciliatocardium,ciliatum,75.25,14.75,1701:354:2,0.02
Ciliatocardium,ciliatum,75.75,14.25,1701:354:3,0.08
Ciliatocardium,ciliatum,75.75,14.75,1701:354:4,0.14
Ciliatocardium,ciliatum,76.25,14.25,1701:364:1,0.04
Ciliatocardium,ciliatum,75.75,15.25,1701:455:3,0.01
Ciliatocardium,ciliatum,70.25,24.75,1702:104:2,0.03
Ciliatocardium,ciliatum,71.75,21.75,1702:111:4,0.10
Ciliatocardium,ciliatum,71.75,22.75,1702:112:4,0.14
Ciliatocardium,ciliatum,72.25,20.25,1702:120:1,0.08
Ciliatocardium,ciliatum,72.25,20.75,1702:120:2,0.07
Ciliatocardium,ciliatum,72.25,21.25,1702:121:1,0.19
Ciliatocardium,ciliatum,72.25,21.75,1702:121:2,0.14
Ciliatocardium,ciliatum,72.25,22.25,1702:122:1,0.15
Ciliatocardium,ciliatum,72.75,22.75,1702:122:4,0.05
Ciliatocardium,ciliatum,72.75,23.25,1702:123:3,0.10
Ciliatocardium,ciliatum,73.25,23.75,1702:133:2,0.01
Ciliatocardium,ciliatum,73.25,24.75,1702:134:2,0.13
Ciliatocardium,ciliatum,73.25,25.75,1702:235:2,0.02
Ciliatocardium,ciliatum,73.25,26.75,1702:236:2,0.06
Ciliatocardium,ciliatum,74.75,27.75,1702:247:4,0.17
Ciliatocardium,ciliatum,74.75,28.25,1702:248:3,0.06
Ciliatocardium,ciliatum,74.25,29.75,1702:249:2,0.05
Ciliatocardium,ciliatum,79.75,21.75,1702:391:4,0.05
Ciliatocardium,ciliatum,75.25,29.25,1702:459:1,0.11
Ciliatocardium,ciliatum,75.25,29.75,1702:459:2,0.08
Ciliatocardium,ciliatum,73.75,30.25,1703:130:3,0.08
Ciliatocardium,ciliatum,74.25,30.25,1703:140:1,0.14
Ciliatocardium,ciliatum,78.25,29.75,1702:489:2,0.17
Ciliatocardium,ciliatum,79.25,28.75,1702:498:2,0.19
Ciliatocardium,ciliatum,79.75,28.75,1702:498:4,0.12
Ciliatocardium,ciliatum,79.25,29.25,1702:499:1,0.17
Ciliatocardium,ciliatum,79.25,29.75,1702:499:2,0.15
Ciliatocardium,ciliatum,79.75,29.25,1702:499:3,0.10
Ciliatocardium,ciliatum,79.75,29.75,1702:499:4,0.10
Ciliatocardium,ciliatum,74.75,30.25,1703:140:3,0.06
Ciliatocardium,ciliatum,71.75,38.75,1703:218:4,0.19
Ciliatocardium,ciliatum,71.75,39.25,1703:219:3,0.14
Ciliatocardium,ciliatum,75.75,30.75,1703:350:4,0.17
Ciliatocardium,ciliatum,75.25,31.25,1703:351:1,0.11
Ciliatocardium,ciliatum,75.75,31.25,1703:351:3,0.17
Ciliatocardium,ciliatum,75.75,31.75,1703:351:4,0.17
Ciliatocardium,ciliatum,79.25,30.25,1703:390:1,0.14
Ciliatocardium,ciliatum,79.25,30.75,1703:390:2,0.12
Ciliatocardium,ciliatum,79.75,30.25,1703:390:3,0.09
Ciliatocardium,ciliatum,79.75,30.75,1703:390:4,0.08
Ciliatocardium,ciliatum,79.25,31.25,1703:391:1,0.12
Ciliatocardium,ciliatum,79.25,31.75,1703:391:2,0.12
Ciliatocardium,ciliatum,79.75,31.25,1703:391:3,0.08
Ciliatocardium,ciliatum,79.75,31.75,1703:391:4,0.08
Ciliatocardium,ciliatum,79.25,32.25,1703:392:1,0.12
Ciliatocardium,ciliatum,79.25,32.75,1703:392:2,0.13
Ciliatocardium,ciliatum,79.75,32.25,1703:392:3,0.08
Ciliatocardium,ciliatum,79.75,32.75,1703:392:4,0.08
Ciliatocardium,ciliatum,79.25,33.25,1703:393:1,0.15
Ciliatocardium,ciliatum,79.25,33.75,1703:393:2,0.14
Ciliatocardium,ciliatum,79.75,33.25,1703:393:3,0.09
Ciliatocardium,ciliatum,79.75,33.75,1703:393:4,0.08
Ciliatocardium,ciliatum,79.25,34.25,1703:394:1,0.14
Ciliatocardium,ciliatum,79.25,34.75,1703:394:2,0.13
Ciliatocardium,ciliatum,79.75,34.25,1703:394:3,0.09
Ciliatocardium,ciliatum,79.75,34.75,1703:394:4,0.10
Ciliatocardium,ciliatum,79.25,35.25,1703:495:1,0.10
Ciliatocardium,ciliatum,79.25,35.75,1703:495:2,0.10
Ciliatocardium,ciliatum,79.75,35.25,1703:495:3,0.10
Ciliatocardium,ciliatum,79.75,35.75,1703:495:4,0.11
Ciliatocardium,ciliatum,79.25,36.25,1703:496:1,0.10
Ciliatocardium,ciliatum,79.75,36.25,1703:496:3,0.11
Ciliatocardium,ciliatum,79.75,36.75,1703:496:4,0.12
Ciliatocardium,ciliatum,79.75,37.25,1703:497:3,0.13
Ciliatocardium,ciliatum,79.75,37.75,1703:497:4,0.13
Ciliatocardium,ciliatum,79.25,38.75,1703:498:2,0.19
Ciliatocardium,ciliatum,79.75,38.25,1703:498:3,0.14
Ciliatocardium,ciliatum,79.75,38.75,1703:498:4,0.16
Ciliatocardium,ciliatum,79.75,39.25,1703:499:3,0.04
Ciliatocardium,ciliatum,79.75,39.75,1703:499:4,0.04
Ciliatocardium,ciliatum,71.75,40.75,1704:110:4,0.18
Ciliatocardium,ciliatum,72.25,40.75,1704:120:2,0.15
Ciliatocardium,ciliatum,72.75,41.25,1704:121:3,0.08
Ciliatocardium,ciliatum,73.25,42.25,1704:132:1,0.16
Ciliatocardium,ciliatum,73.25,42.75,1704:132:2,0.17
Ciliatocardium,ciliatum,73.75,43.25,1704:133:3,0.12
Ciliatocardium,ciliatum,73.25,44.25,1704:134:1,0.15
Ciliatocardium,ciliatum,73.25,44.75,1704:134:2,0.04
Ciliatocardium,ciliatum,73.75,44.75,1704:134:4,0.12
